"entry"	"yield"	"row"	"col"
3	827	12	1
10	877.3	11	1
7	977.1	10	1
5	944.8	9	1
8	877.5	8	1
4	841	7	1
6	1236.5	6	1
1	912.9	5	1
9	1140.5	4	1
11	860	3	1
2	986.4	2	1
12	841.9	1	1
4	751.4	12	2
3	797.9	11	2
9	857.5	10	2
1	863.8	9	2
12	1041.9	8	2
2	840.5	7	2
10	1211.2	6	2
5	967.6	5	2
8	1092.9	4	2
7	1000.6	3	2
6	823.4	2	2
11	763.2	1	2
7	904.4	12	3
1	949.5	11	3
12	993.5	10	3
11	1050.8	9	3
6	966.8	8	3
9	837.3	7	3
2	1111.1	6	3
8	884.8	5	3
4	968.3	4	3
3	966.8	3	3
10	824.1	2	3
5	846.1	1	3
5	852.5	12	4
12	795.2	11	4
2	974.6	10	4
8	945.1	9	4
9	1257.4	8	4
1	892.8	7	4
7	1196.6	6	4
4	1122.5	5	4
3	975	4	4
6	958.6	3	4
11	794.3	2	4
10	995.5	1	4
2	1002.4	12	5
11	891.3	11	5
6	1005.7	10	5
10	1005.3	9	5
5	1151.4	8	5
3	1014.4	7	5
4	1205	6	5
12	1076.2	5	5
1	824.3	4	5
9	1034.6	3	5
8	990.9	2	5
7	942.1	1	5
8	1048.6	12	6
2	971.6	11	6
10	1010.8	10	6
9	1278	9	6
3	1101.8	8	6
7	829.9	7	6
1	1216.4	6	6
11	993.3	5	6
5	716.6	4	6
12	1092.5	3	6
4	1040.6	2	6
6	1215.7	1	6
6	960.6	12	7
9	1003.8	11	7
8	972.8	10	7
3	1240.7	9	7
7	1021.2	8	7
11	1064.7	7	7
5	1361.9	6	7
10	1115.5	5	7
12	840.4	4	7
2	1211.5	3	7
1	943.9	2	7
4	1169.2	1	7
1	868	12	8
6	759.3	11	8
3	880.6	10	8
12	1147.7	9	8
10	952.2	8	8
8	1095.5	7	8
9	1371.4	6	8
7	981.1	5	8
11	883.5	4	8
4	1133.4	3	8
5	738.9	2	8
2	747.1	1	8
10	686	12	9
4	887.7	11	9
5	722.4	10	9
6	1056	9	9
11	827.7	8	9
12	1165.6	7	9
8	1428.3	6	9
2	953.5	5	9
7	968.5	4	9
1	712.4	3	9
3	716.9	2	9
9	681.7	1	9
12	805.8	12	10
5	916.8	11	10
11	722.1	10	10
2	1262.3	9	10
4	813	8	10
10	1227.9	7	10
3	1428.2	6	10
9	926.8	5	10
6	692.5	4	10
8	603.9	3	10
7	993.3	2	10
1	964.8	1	10
11	889.2	12	11
7	739.6	11	11
1	778.6	10	11
4	1363.2	9	11
2	900.1	8	11
6	1504.6	7	11
12	916.4	6	11
3	740.6	5	11
10	861.5	4	11
5	676.9	3	11
9	1163.1	2	11
8	1093.9	1	11
9	811	12	12
8	760.8	11	12
4	962.2	10	12
7	1109.3	9	12
1	1022.8	8	12
5	926.1	7	12
11	703.4	6	12
6	1038	5	12
2	962.7	4	12
10	1029	3	12
12	953.4	2	12
3	1457.4	1	12
