"eid"	"year"	"loc"	"block"	"gen"	"yield"	"testwt"
"1"	1997	"Ame"	"B1"	"Belle"	151.1	32
"1"	1997	"Ame"	"B1"	"Brawn"	171.9	33.3
"1"	1997	"Ame"	"B1"	"Burton"	158.9	33.7
"1"	1997	"Ame"	"B1"	"Chairman"	151.7	32.7
"1"	1997	"Ame"	"B1"	"Chaps"	155.6	34.4
"1"	1997	"Ame"	"B1"	"Classic"	153.8	34.6
"1"	1997	"Ame"	"B1"	"Dane"	145.9	33.9
"1"	1997	"Ame"	"B1"	"Don"	150.8	36.9
"1"	1997	"Ame"	"B1"	"Gem"	146.2	33.1
"1"	1997	"Ame"	"B1"	"Hazel"	140.2	34.3
"1"	1997	"Ame"	"B1"	"IN09201"	154.6	30.8
"1"	1997	"Ame"	"B1"	"Jerry"	151.4	36.3
"1"	1997	"Ame"	"B1"	"Jim"	142.9	35.3
"1"	1997	"Ame"	"B1"	"Milton"	154.6	32.8
"1"	1997	"Ame"	"B1"	"Newdak"	160.2	31.5
"1"	1997	"Ame"	"B1"	"Ogle"	173.8	33
"1"	1997	"Ame"	"B1"	"Pal"	152.4	31.2
"1"	1997	"Ame"	"B1"	"Prairie"	147.8	32.4
"1"	1997	"Ame"	"B1"	"Premier"	156.9	36.6
"1"	1997	"Ame"	"B1"	"Rodeo"	175.1	33.4
"1"	1997	"Ame"	"B1"	"Sheldon"	163.9	36.2
"1"	1997	"Ame"	"B1"	"Starter"	131.5	35.5
"1"	1997	"Ame"	"B1"	"Troy"	148.5	30
"1"	1997	"Ame"	"B1"	"Valley"	156.8	34.5
"1"	1997	"Ame"	"B1"	"Webster"	150.8	32.3
"1"	1997	"Ame"	"B1"	"IAN979-5-1-22"	162.9	31.8
"1"	1997	"Ame"	"B1"	"Blaze"	180.9	33.8
"1"	1997	"Ame"	"B1"	"MN 93272"	140.6	33.3
"1"	1997	"Ame"	"B1"	"Jud"	155.5	33.7
"1"	1997	"Ame"	"B1"	"OH1149"	166.5	35.7
"1"	1997	"Ame"	"B1"	"OH1087"	154.9	32.8
"1"	1997	"Ame"	"B1"	"Jay"	153.6	35.9
"1"	1997	"Ame"	"B1"	"Riser"	144	37.8
"1"	1997	"Ame"	"B1"	"Vista"	173.8	52.7
"1"	1997	"Ame"	"B1"	"WIX6356-1"	150.1	35.9
"1"	1997	"Ame"	"B2"	"Pal"	130	32.2
"1"	1997	"Ame"	"B2"	"Gem"	155.9	33.8
"1"	1997	"Ame"	"B2"	"MN 93272"	129.1	32.7
"1"	1997	"Ame"	"B2"	"Newdak"	159.6	32.4
"1"	1997	"Ame"	"B2"	"Burton"	165.1	35.2
"1"	1997	"Ame"	"B2"	"Troy"	158.2	32.5
"1"	1997	"Ame"	"B2"	"Jud"	165.5	35.6
"1"	1997	"Ame"	"B2"	"Vista"	169.1	34.1
"1"	1997	"Ame"	"B2"	"Valley"	161.9	35.9
"1"	1997	"Ame"	"B2"	"Chaps"	175	34.9
"1"	1997	"Ame"	"B2"	"Rodeo"	185	34.7
"1"	1997	"Ame"	"B2"	"OH1087"	169.6	32.7
"1"	1997	"Ame"	"B2"	"OH1149"	164.3	36.3
"1"	1997	"Ame"	"B2"	"Blaze"	182.2	35.3
"1"	1997	"Ame"	"B2"	"Prairie"	177.9	31.7
"1"	1997	"Ame"	"B2"	"WIX6356-1"	145.8	34.7
"1"	1997	"Ame"	"B2"	"IN09201"	159	35.9
"1"	1997	"Ame"	"B2"	"Chairman"	149.6	33.5
"1"	1997	"Ame"	"B2"	"Ogle"	158.1	32.9
"1"	1997	"Ame"	"B2"	"Belle"	154	36.2
"1"	1997	"Ame"	"B2"	"HyproBlend"	137.5	34
"1"	1997	"Ame"	"B2"	"IAN979-5-1-22"	154	32.5
"1"	1997	"Ame"	"B2"	"Sheldon"	162.5	35.3
"1"	1997	"Ame"	"B2"	"Premier"	139.1	36.6
"1"	1997	"Ame"	"B2"	"Don"	145.2	35
"1"	1997	"Ame"	"B2"	"Jim"	166.9	35.8
"1"	1997	"Ame"	"B2"	"Dane"	149.2	31.6
"1"	1997	"Ame"	"B2"	"Milton"	173.9	34.2
"1"	1997	"Ame"	"B2"	"Classic"	182.2	34.8
"1"	1997	"Ame"	"B2"	"Jay"	175.6	34.7
"1"	1997	"Ame"	"B2"	"ACStewart"	167.5	33.4
"1"	1997	"Ame"	"B2"	"Jerry"	163.2	36.8
"1"	1997	"Ame"	"B2"	"Riser"	144.5	35.1
"1"	1997	"Ame"	"B2"	"Brawn"	167.1	34.3
"1"	1997	"Ame"	"B2"	"Starter"	133.1	35.2
"1"	1997	"Ame"	"B3"	"Don"	157.8	35.4
"1"	1997	"Ame"	"B3"	"IAN979-5-1-22"	162.9	32.9
"1"	1997	"Ame"	"B3"	"Valley"	191.7	36.3
"1"	1997	"Ame"	"B3"	"Blaze"	215.1	35
"1"	1997	"Ame"	"B3"	"Gem"	167.2	33.4
"1"	1997	"Ame"	"B3"	"Troy"	157.7	32.9
"1"	1997	"Ame"	"B3"	"Ogle"	192.2	33.5
"1"	1997	"Ame"	"B3"	"Newdak"	169.7	29.7
"1"	1997	"Ame"	"B3"	"Jay"	168.7	34.9
"1"	1997	"Ame"	"B3"	"OH1087"	173	33.2
"1"	1997	"Ame"	"B3"	"Riser"	150.7	35.4
"1"	1997	"Ame"	"B3"	"Burton"	175.1	35.1
"1"	1997	"Ame"	"B3"	"HyproBlend"	153.2	34.2
"1"	1997	"Ame"	"B3"	"Milton"	169	34.5
"1"	1997	"Ame"	"B3"	"Sheldon"	169.8	35.8
"1"	1997	"Ame"	"B3"	"Classic"	166.3	33.9
"1"	1997	"Ame"	"B3"	"Premier"	151.3	37.7
"1"	1997	"Ame"	"B3"	"MN 93272"	133.7	32.9
"1"	1997	"Ame"	"B3"	"Pal"	140.6	30.7
"1"	1997	"Ame"	"B3"	"IN09201"	167.7	35.7
"1"	1997	"Ame"	"B3"	"Dane"	144.8	32.6
"1"	1997	"Ame"	"B3"	"Vista"	170.9	33
"1"	1997	"Ame"	"B3"	"Starter"	153.3	35.6
"1"	1997	"Ame"	"B3"	"Belle"	175	33.3
"1"	1997	"Ame"	"B3"	"Rodeo"	179.1	33.6
"1"	1997	"Ame"	"B3"	"Jerry"	170	36.1
"1"	1997	"Ame"	"B3"	"Prairie"	188.5	32.1
