loc	year	nitro	yield
Jackson	1962	0	46.5
Jackson	1962	67	59
Jackson	1962	134	71.9
Jackson	1962	201	73.1
Jackson	1962	268	74.5
Jackson	1962	335	75.5
Jackson	1963	0	29.3
Jackson	1963	67	55.2
Jackson	1963	134	77.3
Jackson	1963	201	88
Jackson	1963	268	89.4
Jackson	1963	335	87
Jackson	1964	0	28.8
Jackson	1964	67	37.6
Jackson	1964	134	55.2
Jackson	1964	201	66.8
Jackson	1964	268	67
Jackson	1964	335	67.8
Jackson	1965	0	25.8
Jackson	1965	67	47.6
Jackson	1965	134	60.5
Jackson	1965	201	70.2
Jackson	1965	268	68
Jackson	1965	335	73
Jackson	1966	0	23.4
Jackson	1966	67	45.2
Jackson	1966	134	53.3
Jackson	1966	201	61.3
Jackson	1966	268	57.6
Jackson	1966	335	59.8
Knoxville	1962	0	44.6
Knoxville	1962	67	73
Knoxville	1962	134	75.2
Knoxville	1962	201	83.3
Knoxville	1962	268	78.4
Knoxville	1962	335	80.9
Knoxville	1963	0	45.1
Knoxville	1963	67	73.2
Knoxville	1963	134	89.3
Knoxville	1963	201	91.2
Knoxville	1963	268	91.4
Knoxville	1963	335	88
Knoxville	1964	0	60.9
Knoxville	1964	67	75.9
Knoxville	1964	134	83.7
Knoxville	1964	201	84.3
Knoxville	1964	268	81.8
Knoxville	1964	335	84.5
Knoxville	1965	0	59.4
Knoxville	1965	67	67.4
Knoxville	1965	134	69.6
Knoxville	1965	201	62.9
Knoxville	1965	268	67
Knoxville	1965	335	61.2
Knoxville	1966	0	63
Knoxville	1966	67	61.3
Knoxville	1966	134	63.4
Knoxville	1966	201	59.4
Knoxville	1966	268	57.8
Knoxville	1966	335	58.3
