row	col	gen	yield
1	1	G022	742
1	10	G112	916
1	11	G001	833
1	12	G121	1013
1	2	G031	767
1	3	G122	937
1	4	G052	764
1	5	G061	1084
1	6	G121	1096
1	7	G082	1121
1	8	G091	1057
1	9	G122	927
10	1	G026	845
10	10	G116	888
10	11	G005	712
10	12	G121	896
10	2	G035	963
10	3	G122	832
10	4	G056	788
10	5	G065	812
10	6	G121	967
10	7	G086	958
10	8	G095	914
10	9	G122	721
11	1	G025	893
11	10	G115	837
11	11	G121	716
11	12	G015	857
11	2	G122	845
11	3	G045	1011
11	4	G055	788
11	5	G121	864
11	6	G075	894
11	7	G085	929
11	8	G122	708
11	9	G105	793
12	1	G122	880
12	10	G121	902
12	11	G004	786
12	12	G014	870
12	2	G033	922
12	3	G044	718
12	4	G121	936
12	5	G064	826
12	6	G074	840
12	7	G122	888
12	8	G094	788
12	9	G104	767
13	1	G024	916
13	10	G114	861
13	11	G003	783
13	12	G122	718
13	2	G034	769
13	3	G121	882
13	4	G054	816
13	5	G063	807
13	6	G122	808
13	7	G084	894
13	8	G093	827
13	9	G121	776
14	1	G023	843
14	10	G113	800
14	11	G122	683
14	12	G013	907
14	2	G121	916
14	3	G043	731
14	4	G053	942
14	5	G122	862
14	6	G073	815
14	7	G083	894
14	8	G121	942
14	9	G103	782
15	1	G121	1040
15	10	G122	744
15	11	G002	907
15	12	G012	923
15	2	G032	902
15	3	G042	839
15	4	G122	966
15	5	G062	796
15	6	G072	936
15	7	G121	878
15	8	G092	894
15	9	G102	819
2	1	G021	943
2	10	G111	1090
2	11	G121	878
2	12	G011	1109
2	2	G122	775
2	3	G041	929
2	4	G051	793
2	5	G121	1104
2	6	G071	919
2	7	G081	786
2	8	G122	816
2	9	G101	1023
3	1	G121	738
3	10	G122	853
3	11	G010	821
3	12	G020	894
3	2	G040	727
3	3	G050	666
3	4	G122	926
3	5	G070	837
3	6	G080	881
3	7	G121	798
3	8	G100	869
3	9	G110	898
4	1	G030	791
4	10	G120	1050
4	11	G009	898
4	12	G121	975
4	2	G039	892
4	3	G122	912
4	4	G060	1133
4	5	G069	931
4	6	G121	1031
4	7	G090	1063
4	8	G099	1060
4	9	G122	855
5	1	G029	755
5	10	G119	959
5	11	G121	829
5	12	G019	895
5	2	G122	650
5	3	G049	975
5	4	G059	976
5	5	G121	940
5	6	G079	911
5	7	G089	983
5	8	G122	840
5	9	G109	968
6	1	G122	692
6	10	G121	985
6	11	G008	852
6	12	G018	999
6	2	G038	917
6	3	G048	1017
6	4	G121	981
6	5	G068	971
6	6	G078	931
6	7	G122	971
6	8	G098	937
6	9	G108	977
7	1	G028	741
7	10	G118	1043
7	11	G007	814
7	12	G122	866
7	2	G037	882
7	3	G121	995
7	4	G058	1036
7	5	G067	967
7	6	G122	973
7	7	G088	942
7	8	G097	858
7	9	G121	810
8	1	G027	851
8	10	G117	919
8	11	G122	630
8	12	G017	782
8	2	G121	824
8	3	G047	924
8	4	G057	948
8	5	G122	807
8	6	G077	922
8	7	G087	941
8	8	G121	850
8	9	G107	780
9	1	G121	938
9	10	G122	848
9	11	G006	688
9	12	G016	832
9	2	G036	922
9	3	G046	1046
9	4	G122	796
9	5	G066	810
9	6	G076	963
9	7	G121	1006
9	8	G096	854
9	9	G106	878
