row	block	dose	height
1	1	2500	1299.2
1	2	250	1369.2
1	3	0	1169.5
1	4	2500	1219.1
1	5	2500	1120
1	6	5000	1031.5
1	7	250	1076.4
1	8	1000	1099.6
2	1	5000	875.9
2	2	1500	844.2
2	3	1500	975.8
2	4	0	971.7
2	5	5000	827
2	6	250	846.5
2	7	0	917.9
2	8	1500	947.4
3	1	1000	960.7
3	2	2500	968.7
3	3	500	873.4
3	4	5000	607.6
3	5	1000	671.9
3	6	1000	667.8
3	7	1500	627.6
3	8	250	787.1
4	1	500	1004
4	2	5000	975.5
4	3	5000	797.8
4	4	1000	1000
4	5	500	972.2
4	6	500	853.6
4	7	2500	776.4
4	8	0	898.3
5	1	0	1173.2
5	2	500	1322.4
5	3	250	1069.7
5	4	250	1343.3
5	5	0	1083.7
5	6	0	1087.1
5	7	500	960.4
5	8	500	1174.9
6	1	250	1031.9
6	2	0	1172.6
6	3	2500	1093.3
6	4	1500	999.4
6	5	250	1146.9
6	6	1500	990.2
6	7	5000	852.4
6	8	2500	1003.3
7	1	1500	1421.1
7	2	1000	1418.9
7	3	1000	1169.6
7	4	500	1181.3
7	5	1500	993.8
7	6	2500	1021.9
7	7	1000	1006.2
7	8	5000	947.6
