"sex"	"age"	"score"	"count"
"M"	"0.0-2.0"	"S1"	7836
"M"	"2.0-2.5"	"S1"	16656
"M"	"2.5-3.0"	"S1"	9542
"M"	"3.0-3.5"	"S1"	17942
"M"	"3.5-4.0"	"S1"	9556
"M"	"4.0-4.5"	"S1"	14453
"M"	"4.5-5.0"	"S1"	8159
"M"	"5.0-8.0"	"S1"	40484
"M"	"8.0+"	"S1"	15991
"M"	"0.0-2.0"	"S2"	3139
"M"	"2.0-2.5"	"S2"	4532
"M"	"2.5-3.0"	"S2"	1092
"M"	"3.0-3.5"	"S2"	1223
"M"	"3.5-4.0"	"S2"	458
"M"	"4.0-4.5"	"S2"	592
"M"	"4.5-5.0"	"S2"	272
"M"	"5.0-8.0"	"S2"	1205
"M"	"8.0+"	"S2"	433
"M"	"0.0-2.0"	"S3"	1754
"M"	"2.0-2.5"	"S3"	2330
"M"	"2.5-3.0"	"S3"	441
"M"	"3.0-3.5"	"S3"	449
"M"	"3.5-4.0"	"S3"	156
"M"	"4.0-4.5"	"S3"	229
"M"	"4.5-5.0"	"S3"	99
"M"	"5.0-8.0"	"S3"	464
"M"	"8.0+"	"S3"	170
"F"	"0.0-2.0"	"S1"	12846
"F"	"2.0-2.5"	"S1"	26023
"F"	"2.5-3.0"	"S1"	14207
"F"	"3.0-3.5"	"S1"	23486
"F"	"3.5-4.0"	"S1"	13202
"F"	"4.0-4.5"	"S1"	18100
"F"	"4.5-5.0"	"S1"	10833
"F"	"5.0-8.0"	"S1"	52397
"F"	"8.0+"	"S1"	20943
"F"	"0.0-2.0"	"S2"	2455
"F"	"2.0-2.5"	"S2"	3355
"F"	"2.5-3.0"	"S2"	809
"F"	"3.0-3.5"	"S2"	711
"F"	"3.5-4.0"	"S2"	315
"F"	"4.0-4.5"	"S2"	336
"F"	"4.5-5.0"	"S2"	201
"F"	"5.0-8.0"	"S2"	763
"F"	"8.0+"	"S2"	252
"F"	"0.0-2.0"	"S3"	930
"F"	"2.0-2.5"	"S3"	1087
"F"	"2.5-3.0"	"S3"	199
"F"	"3.0-3.5"	"S3"	190
"F"	"3.5-4.0"	"S3"	67
"F"	"4.0-4.5"	"S3"	104
"F"	"4.5-5.0"	"S3"	48
"F"	"5.0-8.0"	"S3"	167
"F"	"8.0+"	"S3"	76
