"gen"	"site"	"yield"	"state"
"Eagle"	"Turretfield"	2.87	"SA"
"Gamenya"	"Turretfield"	1.32	"SA"
"Halberd"	"Turretfield"	2.47	"SA"
"Heron"	"Turretfield"	2.32	"SA"
"Pinnacle"	"Turretfield"	2.37	"SA"
"Oxley"	"Turretfield"	3.76	"SA"
"WW-15"	"Turretfield"	3.14	"SA"
"WW-11B"	"Turretfield"	3.57	"SA"
"WW-97-2"	"Turretfield"	3.08	"SA"
"RAC-88"	"Turretfield"	2.74	"SA"
"RAC-185"	"Turretfield"	3.82	"SA"
"RAC-255"	"Turretfield"	2.44	"SA"
"Songlen"	"Turretfield"	2.93	"SA"
"Timson"	"Turretfield"	2.19	"SA"
"64-WO-2-22"	"Turretfield"	2.11	"SA"
"64-WO-2-29"	"Turretfield"	3.39	"SA"
"MM/68/1"	"Turretfield"	2.97	"SA"
"MMC/21/9"	"Turretfield"	2.98	"SA"
"8/20/09"	"Turretfield"	3.98	"SA"
"JL-157"	"Turretfield"	2.9	"SA"
"KL-21"	"Turretfield"	2.46	"SA"
"QX-333"	"Turretfield"	2.51	"SA"
"Eagle"	"Urania"	2.44	"SA"
"Gamenya"	"Urania"	2.01	"SA"
"Halberd"	"Urania"	2.35	"SA"
"Heron"	"Urania"	2.6	"SA"
"Pinnacle"	"Urania"	2.33	"SA"
"Oxley"	"Urania"	3.45	"SA"
"WW-15"	"Urania"	3.19	"SA"
"WW-11B"	"Urania"	3.27	"SA"
"WW-97-2"	"Urania"	3.3	"SA"
"RAC-88"	"Urania"	2.64	"SA"
"RAC-185"	"Urania"	3.65	"SA"
"RAC-255"	"Urania"	3.03	"SA"
"Songlen"	"Urania"	2.3	"SA"
"Timson"	"Urania"	1.91	"SA"
"64-WO-2-22"	"Urania"	2.18	"SA"
"64-WO-2-29"	"Urania"	2.77	"SA"
"MM/68/1"	"Urania"	2.64	"SA"
"MMC/21/9"	"Urania"	2.9	"SA"
"8/20/09"	"Urania"	3.76	"SA"
"JL-157"	"Urania"	2.95	"SA"
"KL-21"	"Urania"	2.87	"SA"
"QX-333"	"Urania"	2.6	"SA"
"Eagle"	"Nangari"	2.62	"SA"
"Gamenya"	"Nangari"	2.35	"SA"
"Halberd"	"Nangari"	2.67	"SA"
"Heron"	"Nangari"	2.76	"SA"
"Pinnacle"	"Nangari"	2.61	"SA"
"Oxley"	"Nangari"	3.01	"SA"
"WW-15"	"Nangari"	3.18	"SA"
"WW-11B"	"Nangari"	2.89	"SA"
"WW-97-2"	"Nangari"	2.64	"SA"
"RAC-88"	"Nangari"	2.39	"SA"
"RAC-185"	"Nangari"	2.82	"SA"
"RAC-255"	"Nangari"	2.96	"SA"
"Songlen"	"Nangari"	2.82	"SA"
"Timson"	"Nangari"	2.61	"SA"
"64-WO-2-22"	"Nangari"	3.23	"SA"
"64-WO-2-29"	"Nangari"	2.74	"SA"
"MM/68/1"	"Nangari"	2.51	"SA"
"MMC/21/9"	"Nangari"	2.58	"SA"
"8/20/09"	"Nangari"	2.8	"SA"
"JL-157"	"Nangari"	2.39	"SA"
"KL-21"	"Nangari"	2.6	"SA"
"QX-333"	"Nangari"	2.48	"SA"
"Eagle"	"WaggaMay"	3.21	"NSW"
"Gamenya"	"WaggaMay"	2.22	"NSW"
"Halberd"	"WaggaMay"	2.76	"NSW"
"Heron"	"WaggaMay"	2.25	"NSW"
"Pinnacle"	"WaggaMay"	2.97	"NSW"
"Oxley"	"WaggaMay"	4.14	"NSW"
"WW-15"	"WaggaMay"	4.17	"NSW"
"WW-11B"	"WaggaMay"	3.39	"NSW"
"WW-97-2"	"WaggaMay"	3.19	"NSW"
"RAC-88"	"WaggaMay"	3.5	"NSW"
