"year"	"crop"	"row"	"col"	"framerow"	"yield"	"total"
1929	"soybeans"	1	1	1	865	NA
1929	"soybeans"	1	2	1	925	NA
1929	"soybeans"	1	3	1	735	NA
1929	"soybeans"	1	4	1	765	NA
1929	"soybeans"	1	5	1	785	NA
1929	"soybeans"	1	6	1	863	NA
1929	"soybeans"	1	7	1	865	NA
1929	"soybeans"	1	8	1	785	NA
1929	"soybeans"	1	9	1	865	NA
1929	"soybeans"	1	10	1	922	NA
1929	"soybeans"	1	11	1	852	NA
1929	"soybeans"	1	12	1	824	NA
1929	"soybeans"	1	13	1	871	NA
1929	"soybeans"	1	14	1	955	NA
1929	"soybeans"	1	15	1	854	NA
1929	"soybeans"	1	16	1	850	NA
1929	"soybeans"	1	17	1	843	NA
1929	"soybeans"	1	18	1	815	NA
1929	"soybeans"	1	19	1	791	NA
1929	"soybeans"	1	20	1	855	NA
1929	"soybeans"	1	21	1	835	NA
1929	"soybeans"	1	22	1	810	NA
1929	"soybeans"	1	23	1	915	NA
1929	"soybeans"	1	24	1	815	NA
1929	"soybeans"	1	25	1	895	NA
1929	"soybeans"	1	26	1	848	NA
1929	"soybeans"	1	27	1	841	NA
1929	"soybeans"	1	28	1	842	NA
1929	"soybeans"	1	29	1	829	NA
1929	"soybeans"	1	30	1	745	NA
1929	"soybeans"	1	1	2	898	NA
1929	"soybeans"	1	2	2	879	NA
1929	"soybeans"	1	3	2	845	NA
1929	"soybeans"	1	4	2	818	NA
1929	"soybeans"	1	5	2	790	NA
1929	"soybeans"	1	6	2	853	NA
1929	"soybeans"	1	7	2	928	NA
1929	"soybeans"	1	8	2	923	NA
1929	"soybeans"	1	9	2	968	NA
1929	"soybeans"	1	10	2	915	NA
1929	"soybeans"	1	11	2	918	NA
1929	"soybeans"	1	12	2	912	NA
1929	"soybeans"	1	13	2	876	NA
1929	"soybeans"	1	14	2	1011	NA
1929	"soybeans"	1	15	2	896	NA
1929	"soybeans"	1	16	2	885	NA
1929	"soybeans"	1	17	2	892	NA
1929	"soybeans"	1	18	2	870	NA
1929	"soybeans"	1	19	2	860	NA
1929	"soybeans"	1	20	2	878	NA
1929	"soybeans"	1	21	2	900	NA
1929	"soybeans"	1	22	2	888	NA
1929	"soybeans"	1	23	2	881	NA
1929	"soybeans"	1	24	2	853	NA
1929	"soybeans"	1	25	2	865	NA
1929	"soybeans"	1	26	2	875	NA
1929	"soybeans"	1	27	2	801	NA
1929	"soybeans"	1	28	2	863	NA
1929	"soybeans"	1	29	2	825	NA
1929	"soybeans"	1	30	2	815	NA
1930	"wheat"	1	1	1	237	650
1930	"wheat"	1	2	1	220	615
1930	"wheat"	1	3	1	255	661
1930	"wheat"	1	4	1	240	680
1930	"wheat"	1	5	1	280	767
1930	"wheat"	1	6	1	220	684
1930	"wheat"	1	7	1	225	633
1930	"wheat"	1	8	1	227	640
1930	"wheat"	1	9	1	212	611
1930	"wheat"	1	10	1	250	652
1930	"wheat"	1	11	1	244	705
1930	"wheat"	1	12	1	212	607
1930	"wheat"	1	13	1	210	603
1930	"wheat"	1	14	1	185	552
1930	"wheat"	1	15	1	190	566
1930	"wheat"	1	16	1	194	565
1930	"wheat"	1	17	1	180	523
1930	"wheat"	1	18	1	205	565
1930	"wheat"	1	19	1	183	540
1930	"wheat"	1	20	1	204	542
1930	"wheat"	1	21	1	195	555
1930	"wheat"	1	22	1	195	564
1930	"wheat"	1	23	1	220	561
1930	"wheat"	1	24	1	235	585
1930	"wheat"	1	25	1	227	597
1930	"wheat"	1	26	1	190	545
1930	"wheat"	1	27	1	210	563
1930	"wheat"	1	28	1	206	582
1930	"wheat"	1	29	1	195	565
1930	"wheat"	1	30	1	210	605
1930	"wheat"	1	1	2	169	469
1930	"wheat"	1	2	2	185	504
1930	"wheat"	1	3	2	190	513
1930	"wheat"	1	4	2	170	495
1930	"wheat"	1	5	2	193	527
1930	"wheat"	1	6	2	168	515
1930	"wheat"	1	7	2	183	536
1930	"wheat"	1	8	2	170	473
1930	"wheat"	1	9	2	197	550
1930	"wheat"	1	10	2	214	515
1930	"wheat"	1	11	2	182	596
1930	"wheat"	1	12	2	180	506
1930	"wheat"	1	13	2	194	555
1930	"wheat"	1	14	2	140	474
1930	"wheat"	1	15	2	170	507
1930	"wheat"	1	16	2	156	460
1930	"wheat"	1	17	2	155	451
1930	"wheat"	1	18	2	166	465
1930	"wheat"	1	19	2	155	448
1930	"wheat"	1	20	2	180	480
1930	"wheat"	1	21	2	165	470
1930	"wheat"	1	22	2	173	492
1930	"wheat"	1	23	2	170	485
1930	"wheat"	1	24	2	195	516
1930	"wheat"	1	25	2	185	482
1930	"wheat"	1	26	2	140	424
1930	"wheat"	1	27	2	158	449
1930	"wheat"	1	28	2	185	503
1930	"wheat"	1	29	2	175	506
1930	"wheat"	1	30	2	175	507
1930	"wheat"	1	1	3	160	452
1930	"wheat"	1	2	3	173	480
1930	"wheat"	1	3	3	205	548
1930	"wheat"	1	4	3	179	533
1930	"wheat"	1	5	3	165	460
1930	"wheat"	1	6	3	170	517
1930	"wheat"	1	7	3	156	483
1930	"wheat"	1	8	3	170	488
1930	"wheat"	1	9	3	165	473
1930	"wheat"	1	10	3	205	490
1930	"wheat"	1	11	3	173	554
1930	"wheat"	1	12	3	170	480
1930	"wheat"	1	13	3	170	489
1930	"wheat"	1	14	3	154	496
1930	"wheat"	1	15	3	158	460
1930	"wheat"	1	16	3	156	470
1930	"wheat"	1	17	3	153	451
1930	"wheat"	1	18	3	176	500
1930	"wheat"	1	19	3	162	494
1930	"wheat"	1	20	3	206	557
1930	"wheat"	1	21	3	175	491
1930	"wheat"	1	22	3	175	487
1930	"wheat"	1	23	3	169	470
1930	"wheat"	1	24	3	193	511
1930	"wheat"	1	25	3	200	510
1930	"wheat"	1	26	3	128	387
1930	"wheat"	1	27	3	170	484
1930	"wheat"	1	28	3	204	562
1930	"wheat"	1	29	3	185	526
1930	"wheat"	1	30	3	182	505
1930	"wheat"	1	1	4	227	603
1930	"wheat"	1	2	4	206	569
1930	"wheat"	1	3	4	268	702
1930	"wheat"	1	4	4	250	712
1930	"wheat"	1	5	4	214	623
1930	"wheat"	1	6	4	212	629
1930	"wheat"	1	7	4	220	621
1930	"wheat"	1	8	4	214	606
1930	"wheat"	1	9	4	225	628
1930	"wheat"	1	10	4	250	660
1930	"wheat"	1	11	4	230	642
1930	"wheat"	1	12	4	210	596
1930	"wheat"	1	13	4	200	569
1930	"wheat"	1	14	4	165	542
1930	"wheat"	1	15	4	194	551
1930	"wheat"	1	16	4	170	525
1930	"wheat"	1	17	4	195	542
1930	"wheat"	1	18	4	192	538
1930	"wheat"	1	19	4	180	520
1930	"wheat"	1	20	4	195	532
1930	"wheat"	1	21	4	205	549
1930	"wheat"	1	22	4	230	660
1930	"wheat"	1	23	4	240	638
1930	"wheat"	1	24	4	250	647
1930	"wheat"	1	25	4	214	550
1930	"wheat"	1	26	4	215	605
1930	"wheat"	1	27	4	201	575
1930	"wheat"	1	28	4	230	615
1930	"wheat"	1	29	4	202	559
1930	"wheat"	1	30	4	183	515
