"row"	"col"	"plot"	"year"	"crop"	"yield"
1	1	1	1923	"oats"	1923
1	2	51	1923	"oats"	2066
1	3	101	1923	"oats"	1943
1	4	151	1923	"oats"	2142
1	5	201	1923	"oats"	1923
1	6	251	1923	"oats"	1964
10	1	10	1923	"oats"	2040
10	2	60	1923	"oats"	2132
10	3	110	1923	"oats"	2060
10	4	160	1923	"oats"	1907
10	5	210	1923	"oats"	2193
10	6	260	1923	"oats"	2244
11	1	11	1923	"oats"	1550
11	2	61	1923	"oats"	1816
11	3	111	1923	"oats"	2162
11	4	161	1923	"oats"	1709
11	5	211	1923	"oats"	1811
11	6	261	1923	"oats"	3407
12	1	12	1923	"oats"	1775
12	2	62	1923	"oats"	1805
12	3	112	1923	"oats"	1821
12	4	162	1923	"oats"	1775
12	5	212	1923	"oats"	1948
12	6	262	1923	"oats"	4534
13	1	13	1923	"oats"	1892
13	2	63	1923	"oats"	1760
13	3	113	1923	"oats"	1627
13	4	163	1923	"oats"	1734
13	5	213	1923	"oats"	1867
13	6	263	1923	"oats"	4539
14	1	14	1923	"oats"	1841
14	2	64	1923	"oats"	1913
14	3	114	1923	"oats"	1642
14	4	164	1923	"oats"	1719
14	5	214	1923	"oats"	1867
14	6	264	1923	"oats"	2984
15	1	15	1923	"oats"	2122
15	2	65	1923	"oats"	1882
15	3	115	1923	"oats"	1438
15	4	165	1923	"oats"	1637
15	5	215	1923	"oats"	1760
15	6	265	1923	"oats"	2040
16	1	16	1923	"oats"	2020
16	2	66	1923	"oats"	2183
16	3	116	1923	"oats"	1663
16	4	166	1923	"oats"	1775
16	5	216	1923	"oats"	1724
16	6	266	1923	"oats"	1907
17	1	17	1923	"oats"	1892
17	2	67	1923	"oats"	1698
17	3	117	1923	"oats"	1403
17	4	167	1923	"oats"	1800
17	5	217	1923	"oats"	1821
17	6	267	1923	"oats"	1795
18	1	18	1923	"oats"	1601
18	2	68	1923	"oats"	1693
18	3	118	1923	"oats"	1714
18	4	168	1923	"oats"	1464
18	5	218	1923	"oats"	1652
18	6	268	1923	"oats"	1739
19	1	19	1923	"oats"	1637
19	2	69	1923	"oats"	1795
19	3	119	1923	"oats"	1627
19	4	169	1923	"oats"	1795
19	5	219	1923	"oats"	1663
19	6	269	1923	"oats"	1805
2	1	2	1923	"oats"	1846
2	2	52	1923	"oats"	1943
2	3	102	1923	"oats"	1923
2	4	152	1923	"oats"	2055
2	5	202	1923	"oats"	1760
2	6	252	1923	"oats"	2020
20	1	20	1923	"oats"	1301
20	2	70	1923	"oats"	1668
20	3	120	1923	"oats"	1617
20	4	170	1923	"oats"	1703
20	5	220	1923	"oats"	1714
20	6	270	1923	"oats"	1989
21	1	21	1923	"oats"	1617
21	2	71	1923	"oats"	1688
21	3	121	1923	"oats"	1688
21	4	171	1923	"oats"	1703
21	5	221	1923	"oats"	1744
21	6	271	1923	"oats"	1882
22	1	22	1923	"oats"	1464
22	2	72	1923	"oats"	1719
22	3	122	1923	"oats"	1790
22	4	172	1923	"oats"	1882
22	5	222	1923	"oats"	1824
22	6	272	1923	"oats"	1867
23	1	23	1923	"oats"	1892
23	2	73	1923	"oats"	1933
23	3	123	1923	"oats"	1673
23	4	173	1923	"oats"	1703
23	5	223	1923	"oats"	1749
23	6	273	1923	"oats"	1907
24	1	24	1923	"oats"	1617
24	2	74	1923	"oats"	1709
24	3	124	1923	"oats"	1596
24	4	174	1923	"oats"	1617
24	5	224	1923	"oats"	1505
24	6	274	1923	"oats"	1780
25	1	25	1923	"oats"	1576
25	2	75	1923	"oats"	1561
25	3	125	1923	"oats"	1591
25	4	175	1923	"oats"	1887
25	5	225	1923	"oats"	1601
25	6	275	1923	"oats"	1749
26	1	26	1923	"oats"	1897
26	2	76	1923	"oats"	1545
26	3	126	1923	"oats"	1627
26	4	176	1923	"oats"	1637
26	5	226	1923	"oats"	1622
26	6	276	1923	"oats"	1556
27	1	27	1923	"oats"	1591
27	2	77	1923	"oats"	1627
27	3	127	1923	"oats"	1816
27	4	177	1923	"oats"	1724
27	5	227	1923	"oats"	1652
27	6	277	1923	"oats"	1637
28	1	28	1923	"oats"	1520
28	2	78	1923	"oats"	1566
28	3	128	1923	"oats"	1632
28	4	178	1923	"oats"	1673
28	5	228	1923	"oats"	1663
28	6	278	1923	"oats"	1545
29	1	29	1923	"oats"	1601
29	2	79	1923	"oats"	1459
29	3	129	1923	"oats"	1576
29	4	179	1923	"oats"	1693
29	5	229	1923	"oats"	1464
29	6	279	1923	"oats"	1413
3	1	3	1923	"oats"	1907
3	2	53	1923	"oats"	2096
3	3	103	1923	"oats"	1816
3	4	153	1923	"oats"	1851
3	5	203	1923	"oats"	1882
3	6	253	1923	"oats"	2127
30	1	30	1923	"oats"	1668
30	2	80	1923	"oats"	1907
30	3	130	1923	"oats"	1795
30	4	180	1923	"oats"	1729
30	5	230	1923	"oats"	1673
30	6	280	1923	"oats"	1678
31	1	31	1923	"oats"	2632
31	2	81	1923	"oats"	1943
31	3	131	1923	"oats"	2122
31	4	181	1923	"oats"	1683
31	5	231	1923	"oats"	1673
31	6	281	1923	"oats"	1836
32	1	32	1923	"oats"	2433
32	2	82	1923	"oats"	2224
32	3	132	1923	"oats"	1897
32	4	182	1923	"oats"	1800
32	5	232	1923	"oats"	1744
32	6	282	1923	"oats"	1811
33	1	33	1923	"oats"	2540
33	2	83	1923	"oats"	2050
33	3	133	1923	"oats"	1749
33	4	183	1923	"oats"	1703
33	5	233	1923	"oats"	1754
33	6	283	1923	"oats"	1836
34	1	34	1923	"oats"	1790
34	2	84	1923	"oats"	1734
34	3	134	1923	"oats"	1612
34	4	184	1923	"oats"	1821
34	5	234	1923	"oats"	1693
34	6	284	1923	"oats"	2132
35	1	35	1923	"oats"	2040
35	2	85	1923	"oats"	1989
35	3	135	1923	"oats"	1663
35	4	185	1923	"oats"	1550
35	5	235	1923	"oats"	1535
35	6	285	1923	"oats"	1800
36	1	36	1923	"oats"	2142
36	2	86	1923	"oats"	2142
36	3	136	1923	"oats"	1816
36	4	186	1923	"oats"	1882
36	5	236	1923	"oats"	1612
36	6	286	1923	"oats"	1765
37	1	37	1923	"oats"	2015
37	2	87	1923	"oats"	2137
37	3	137	1923	"oats"	1999
37	4	187	1923	"oats"	2009
37	5	237	1923	"oats"	1617
37	6	287	1923	"oats"	1913
38	1	38	1923	"oats"	1984
38	2	88	1923	"oats"	2066
38	3	138	1923	"oats"	2280
38	4	188	1923	"oats"	2086
38	5	238	1923	"oats"	1418
38	6	288	1923	"oats"	1525
39	1	39	1923	"oats"	1964
39	2	89	1923	"oats"	2040
39	3	139	1923	"oats"	2198
39	4	189	1923	"oats"	2458
39	5	239	1923	"oats"	1658
39	6	289	1923	"oats"	1688
4	1	4	1923	"oats"	1831
4	2	54	1923	"oats"	2045
4	3	104	1923	"oats"	1780
4	4	154	1923	"oats"	1964
4	5	204	1923	"oats"	1729
4	6	254	1923	"oats"	2290
40	1	40	1923	"oats"	2025
40	2	90	1923	"oats"	1907
40	3	140	1923	"oats"	2372
40	4	190	1923	"oats"	1918
40	5	240	1923	"oats"	1142
40	6	290	1923	"oats"	1566
41	1	41	1923	"oats"	2208
41	2	91	1923	"oats"	2224
41	3	141	1923	"oats"	2448
41	4	191	1923	"oats"	1795
41	5	241	1923	"oats"	1209
41	6	291	1923	"oats"	1285
42	1	42	1923	"oats"	2015
42	2	92	1923	"oats"	1530
42	3	142	1923	"oats"	1795
42	4	192	1923	"oats"	1714
42	5	242	1923	"oats"	1515
42	6	292	1923	"oats"	1576
43	1	43	1923	"oats"	1933
43	2	93	1923	"oats"	1632
43	3	143	1923	"oats"	1081
43	4	193	1923	"oats"	1811
43	5	243	1923	"oats"	1214
43	6	293	1923	"oats"	1714
44	1	44	1923	"oats"	1872
44	2	94	1923	"oats"	1724
44	3	144	1923	"oats"	1311
44	4	194	1923	"oats"	2091
44	5	244	1923	"oats"	1703
44	6	294	1923	"oats"	1948
45	1	45	1923	"oats"	1698
45	2	95	1923	"oats"	1678
45	3	145	1923	"oats"	1596
45	4	195	1923	"oats"	1948
45	5	245	1923	"oats"	2071
45	6	295	1923	"oats"	1693
5	1	5	1923	"oats"	1851
5	2	55	1923	"oats"	2377
5	3	105	1923	"oats"	2550
5	4	155	1923	"oats"	2601
5	5	205	1923	"oats"	2229
5	6	255	1923	"oats"	2642
6	1	6	1923	"oats"	1918
6	2	56	1923	"oats"	2137
6	3	106	1923	"oats"	2764
6	4	156	1923	"oats"	2836
6	5	206	1923	"oats"	2157
6	6	256	1923	"oats"	2315
7	1	7	1923	"oats"	2091
7	2	57	1923	"oats"	2310
7	3	107	1923	"oats"	2780
7	4	157	1923	"oats"	2723
7	5	207	1923	"oats"	2188
7	6	257	1923	"oats"	1989
8	1	8	1923	"oats"	2208
8	2	58	1923	"oats"	2178
8	3	108	1923	"oats"	2377
8	4	158	1923	"oats"	2275
8	5	208	1923	"oats"	2280
8	6	258	1923	"oats"	1958
9	1	9	1923	"oats"	1913
9	2	59	1923	"oats"	1902
9	3	109	1923	"oats"	2224
9	4	159	1923	"oats"	2234
9	5	209	1923	"oats"	2071
9	6	259	1923	"oats"	1913
1	1	1	1924	"wheat"	15.1
1	2	51	1924	"wheat"	17
1	3	101	1924	"wheat"	18.5
1	4	151	1924	"wheat"	14.6
1	5	201	1924	"wheat"	10.4
1	6	251	1924	"wheat"	11.6
10	1	10	1924	"wheat"	19.1
10	2	60	1924	"wheat"	18.3
10	3	110	1924	"wheat"	9.8
10	4	160	1924	"wheat"	11.6
10	5	210	1924	"wheat"	11.3
10	6	260	1924	"wheat"	14.7
11	1	11	1924	"wheat"	10.7
11	2	61	1924	"wheat"	13.5
11	3	111	1924	"wheat"	15
11	4	161	1924	"wheat"	12.3
11	5	211	1924	"wheat"	10.9
11	6	261	1924	"wheat"	20.6
12	1	12	1924	"wheat"	16.3
12	2	62	1924	"wheat"	11.9
12	3	112	1924	"wheat"	13.2
12	4	162	1924	"wheat"	14.8
12	5	212	1924	"wheat"	14.3
12	6	262	1924	"wheat"	29.7
13	1	13	1924	"wheat"	16.5
13	2	63	1924	"wheat"	14.2
13	3	113	1924	"wheat"	14.4
13	4	163	1924	"wheat"	15.7
13	5	213	1924	"wheat"	16.3
13	6	263	1924	"wheat"	30.6
14	1	14	1924	"wheat"	16.6
14	2	64	1924	"wheat"	16
14	3	114	1924	"wheat"	10.3
14	4	164	1924	"wheat"	14
14	5	214	1924	"wheat"	17.6
14	6	264	1924	"wheat"	21.3
15	1	15	1924	"wheat"	19.6
15	2	65	1924	"wheat"	18.7
15	3	115	1924	"wheat"	14.8
15	4	165	1924	"wheat"	16.6
15	5	215	1924	"wheat"	15.7
15	6	265	1924	"wheat"	16.7
16	1	16	1924	"wheat"	18.4
16	2	66	1924	"wheat"	17.9
16	3	116	1924	"wheat"	14
16	4	166	1924	"wheat"	14.3
16	5	216	1924	"wheat"	12
16	6	266	1924	"wheat"	14.9
17	1	17	1924	"wheat"	16
17	2	67	1924	"wheat"	15.8
17	3	117	1924	"wheat"	17.8
17	4	167	1924	"wheat"	15
17	5	217	1924	"wheat"	14.6
17	6	267	1924	"wheat"	17.3
18	1	18	1924	"wheat"	16.2
18	2	68	1924	"wheat"	14.6
