"long"	"lat"	"mass"	"time"	"seconds"	"dist"	"moist"	"elev"
-93.97842	43.927265	16.54	0	3	116	18.5	1030.58
-93.978421	43.927228	22.52	3	3	159	16.7	1030.58
-93.978422	43.927184	27.01	6	3	169	17.2	1029.92
-93.978422	43.927131	30.24	9	3	221	17.2	1029.92
-93.97842	43.927076	30.95	12	3	234	17.3	1029.59
-93.97842	43.927022	33.57	15	3	227	17.5	1029.59
-93.978419	43.926966	32.78	18	3	240	17.9	1029.59
-93.978417	43.926911	36.15	21	3	242	17.5	1029.59
-93.978415	43.926856	30.83	24	3	239	17.3	1029.26
-93.978417	43.9268	31.53	27	3	242	17.2	1029.26
-93.978415	43.926746	36.23	30	3	233	17.4	1029.59
-93.978414	43.92669	37.62	33	3	248	17.3	1029.26
-93.978412	43.926634	36.42	36	3	243	17.5	1028.94
-93.978411	43.926579	36.48	39	3	244	17.5	1028.94
-93.978411	43.926524	36.25	42	3	240	17.6	1028.94
-93.978411	43.926469	40.19	45	3	239	17.3	1028.94
-93.978408	43.926414	38.63	48	3	236	17.1	1028.94
-93.978409	43.926359	39.85	51	3	239	17.2	1028.94
-93.978407	43.926304	39.59	54	3	239	17.3	1028.94
-93.978406	43.926249	38.94	57	3	237	17.4	1029.26
-93.978404	43.926195	40.82	60	3	232	17.4	1029.26
-93.978403	43.92614	37.17	63	3	233	17.6	1029.92
-93.978402	43.926086	42.67	66	3	238	16.9	1030.25
-93.978401	43.926033	39.77	69	3	230	17.1	1030.9
-93.978399	43.925978	39.74	72	3	236	16.8	1031.56
-93.978397	43.925925	39.04	75	3	232	16.9	1032.22
-93.978395	43.925871	38.48	78	3	235	17	1032.87
-93.978394	43.925818	40.13	81	3	227	17	1033.53
-93.978393	43.925764	38.22	84	3	231	16.7	1034.18
-93.978391	43.925711	36.92	87	3	229	16.9	1035.17
-93.978389	43.925658	33.11	90	3	227	16.6	1036.15
-93.978389	43.925605	34.87	93	3	229	16.7	1037.14
-93.978388	43.925552	36.87	96	3	225	16.4	1038.12
-93.978386	43.9255	36.83	99	3	229	16.7	1039.43
-93.978385	43.925448	33.05	102	3	225	17.4	1040.42
-93.978385	43.925396	32.17	105	3	227	17.4	1042.06
-93.978383	43.925344	30.12	108	3	225	17.6	1043.37
-93.978382	43.925291	29.17	111	3	227	17.4	1044.35
-93.978381	43.925239	28.53	114	3	227	17.8	1045.34
-93.978381	43.925189	23.05	117	3	220	17.4	1046.65
-93.97838	43.925149	18.77	120	3	182	17.4	1047.96
-93.97838	43.925116	20.73	123	3	134	17.4	1049.27
-93.978379	43.925083	28.96	126	3	138	17.5	1049.6
-93.97838	43.925041	28.22	129	3	182	17.6	1050.58
-93.978379	43.924995	26.56	132	3	195	18.1	1051.24
-93.978379	43.924946	30.13	135	3	209	17.5	1052.22
-93.97838	43.924896	31.01	138	3	211	17.6	1052.88
-93.978379	43.924846	32.33	141	3	221	17.2	1053.21
-93.978378	43.924796	32.03	144	3	213	17.2	1053.86
-93.97838	43.924745	32.05	147	3	218	16.7	1054.19
-93.97838	43.924694	34.51	150	3	217	16.9	1054.52
-93.97838	43.924643	34.07	153	3	219	17	1055.18
-93.978381	43.92459	36.86	156	3	221	16.6	1054.85
-93.978382	43.924538	36.01	159	3	228	16.8	1055.18
-93.978383	43.924484	39.19	162	3	229	16.9	1055.18
-93.978384	43.92443	38.67	165	3	232	17.1	1055.5
-93.978385	43.924376	39.17	168	3	233	16.8	1055.5
-93.978386	43.924321	37.14	171	3	238	16.7	1056.16
-93.978386	43.924268	36.44	174	3	232	17.1	1055.83
-93.978386	43.924213	38.36	177	3	232	17	1055.83
-93.978386	43.924158	37.7	180	3	237	16.9	1055.18
-93.978386	43.924104	38.84	183	3	235	17	1055.18
-93.978389	43.924049	37.92	186	3	237	16.9	1054.85
-93.978389	43.923994	36.57	189	3	236	17.1	1055.18
-93.97839	43.92394	37.56	192	3	237	17	1054.85
-93.978389	43.923886	40.29	195	3	235	17.6	1054.85
-93.978389	43.923833	37.64	198	3	230	17.4	1054.85
-93.978389	43.923778	37.99	201	3	231	17.6	1055.18
-93.978389	43.923724	37.51	204	3	238	17	1054.85
-93.978389	43.923671	39.15	207	3	230	17	1055.18
-93.97839	43.923617	34.72	210	3	237	17.2	1055.5
-93.978389	43.923563	36.7	213	3	235	17.2	1055.5
-93.97839	43.923509	35.99	216	3	236	16.7	1055.18
-93.97839	43.923455	38.27	219	3	235	16.9	1055.5
-93.97839	43.923401	36.75	222	3	235	16.9	1055.18
-93.97839	43.923347	38.61	225	3	230	16.7	1055.18
-93.978391	43.923293	38.01	228	3	236	16.7	1055.18
-93.978391	43.92324	37.88	231	3	231	16.9	1055.5
-93.978392	43.923185	39.5	234	3	238	16.7	1055.5
-93.978392	43.923131	39.06	237	3	236	16.9	1055.83
-93.978392	43.923076	40.37	240	3	235	16.7	1055.5
-93.978392	43.923022	38.92	243	3	233	16.7	1055.18
-93.978391	43.922968	41.31	246	3	238	16.6	1055.18
-93.97839	43.922913	41.49	249	3	232	16.7	1055.18
-93.978392	43.922858	40.5	252	3	239	16.5	1055.18
-93.978393	43.922804	38.67	255	3	239	16.4	1055.18
-93.978393	43.92275	38.73	258	3	233	16.8	1054.85
-93.978393	43.922695	40.33	261	3	238	16.9	1054.85
-93.978394	43.92264	40.51	264	3	233	17.3	1054.85
-93.978395	43.922585	39.09	267	3	239	17.6	1054.85
-93.978396	43.922532	38.19	270	3	236	17.7	1054.52
-93.978394	43.922479	38.12	273	3	232	17.4	1054.85
-93.978393	43.922425	38.11	276	3	226	17.6	1054.85
-93.978392	43.922371	39.65	279	3	233	17.1	1054.85
-93.978392	43.922317	39.78	282	3	236	17.2	1054.52
-93.978392	43.922264	40.11	285	3	231	16.9	1055.18
-93.978391	43.92221	39.9	288	3	236	16.6	1055.18
-93.978391	43.922155	38.22	291	3	230	16.8	1054.85
-93.978392	43.922101	40.85	294	3	238	16.9	1054.85
-93.978391	43.922046	41.1	297	3	235	16.9	1054.85
-93.978391	43.921992	37.71	300	3	235	16.8	1054.52
-93.978391	43.921938	38.52	303	3	236	16.9	1054.52
-93.978392	43.921883	40.93	306	3	235	17.2	1054.52
-93.978392	43.921829	38.25	309	3	237	17.1	1054.52
-93.978391	43.921775	39.74	312	3	233	16.9	1054.19
-93.97839	43.921721	39.55	315	3	237	17	1054.52
-93.97839	43.921666	39.66	318	3	231	16.9	1054.19
-93.97839	43.921611	39.23	321	3	236	16.9	1054.19
-93.978391	43.921557	39.33	324	3	235	17	1053.86
-93.978391	43.921502	40.35	327	3	235	17	1053.54
-93.978392	43.921447	36.03	330	3	237	17.2	1053.54
-93.978392	43.921393	42.48	333	3	236	17.1	1053.54
-93.978391	43.921339	40.37	336	3	231	17.6	1053.21
-93.978391	43.921285	38.56	339	3	232	17.4	1053.54
-93.978391	43.921231	41.14	342	3	232	17	1053.54
-93.978392	43.921178	41.35	345	3	232	16.8	1054.19
-93.978393	43.921123	0	348	3	230	17.4	1053.21
-93.978394	43.921068	0	351	3	236	17.3	1053.54
-93.978286	43.921057	31.63	375	3	186	16.3	1053.54
-93.978286	43.92111	34.53	378	3	219	16.4	1053.54
-93.978284	43.921164	36.69	381	3	236	16.4	1052.88
-93.978283	43.921219	34.97	384	3	238	16.6	1052.88
-93.978283	43.921274	35.17	387	3	238	16.9	1052.55
-93.978283	43.921328	33.86	390	3	235	16.9	1052.88
-93.978283	43.921381	37.01	393	3	235	16.9	1052.88
-93.978283	43.921436	37.03	396	3	235	16.6	1053.21
-93.978283	43.921491	38.18	399	3	238	16.9	1053.21
-93.978282	43.921548	38.68	402	3	246	16.8	1053.54
-93.978282	43.921604	38.3	405	3	243	16.7	1053.54
-93.978282	43.92166	37.74	408	3	244	16.7	1053.86
-93.978282	43.921716	37.03	411	3	244	16.9	1053.54
-93.978281	43.921773	35.67	414	3	245	16.8	1053.86
-93.978282	43.921828	39.13	417	3	247	16.8	1053.86
-93.978283	43.921884	37.59	420	3	245	16.9	1054.19
-93.978283	43.92194	39.08	423	3	241	16.9	1054.19
-93.978283	43.921996	37.53	426	3	242	16.7	1053.86
-93.978284	43.922052	36.59	429	3	244	16.4	1053.86
-93.978284	43.922107	36.61	432	3	239	16.9	1053.86
-93.978284	43.922163	37.84	435	3	244	16.6	1053.86
-93.978284	43.92222	37.92	438	3	244	16.9	1053.86
-93.978285	43.922276	42.28	441	3	242	16.9	1054.19
-93.978285	43.922333	40.98	444	3	244	16.7	1054.19
-93.978285	43.922389	41.45	447	3	248	16.9	1054.19
-93.978286	43.922445	36.58	450	3	242	17.2	1054.19
-93.978287	43.922502	41.13	453	3	244	17.2	1053.86
-93.978286	43.922559	39.03	456	3	250	17.2	1054.52
-93.978287	43.922616	39.56	459	3	245	17.1	1053.86
-93.978286	43.922672	40.25	462	3	243	16.9	1054.19
-93.978286	43.922729	40.72	465	3	245	16.9	1054.19
-93.978286	43.922785	40.49	468	3	246	16.7	1054.19
-93.978286	43.922842	38.58	471	3	247	16.6	1054.19
-93.978286	43.922899	40.27	474	3	245	16.5	1054.52
-93.978286	43.922956	37.18	477	3	245	16.4	1054.52
-93.978286	43.923012	37.58	480	3	248	16.9	1054.52
-93.978286	43.923069	37.03	483	3	238	16.7	1054.85
-93.978285	43.923125	35.91	486	3	243	17.1	1055.18
-93.978286	43.923182	36.18	489	3	246	16.5	1054.85
-93.978286	43.923239	37.05	492	3	250	16.4	1054.85
-93.978286	43.923297	40	495	3	244	17	1054.85
-93.978285	43.923355	36.49	498	3	252	17	1054.85
-93.978284	43.923412	36.85	501	3	252	17	1054.52
-93.978284	43.923469	36.01	504	3	243	17	1054.52
-93.978285	43.923526	38.86	507	3	246	16.9	1054.85
-93.978285	43.923583	39.37	627	3	250	17.1	1054.85
-93.978283	43.92364	39.69	630	3	245	16.9	1054.52
-93.978284	43.923698	37.99	633	3	247	16.6	1054.19
-93.978284	43.923755	39.21	636	3	244	17.1	1054.19
-93.978284	43.923812	42.97	639	3	247	17.5	1054.19
-93.978283	43.923869	39.71	642	3	248	17.3	1054.19
-93.978284	43.923925	38.11	645	3	242	17.4	1054.19
-93.978284	43.923983	36.82	648	3	248	17.2	1054.19
-93.978283	43.924039	39.17	651	3	243	17.1	1054.19
-93.978282	43.924097	35.92	654	3	251	17.3	1054.19
-93.978281	43.924153	36.9	657	3	241	16.9	1054.19
-93.978281	43.924209	38.88	660	3	242	16.8	1054.52
-93.97828	43.924266	37.78	663	3	250	16.8	1054.52
-93.97828	43.924322	39.58	666	3	246	16.7	1054.19
-93.97828	43.924379	38.42	669	3	246	16.7	1053.86
-93.978279	43.924437	38.21	672	3	251	17.2	1053.86
-93.978279	43.924494	39.5	675	3	252	17.2	1054.19
-93.978279	43.924552	38.74	678	3	253	17	1053.54
-93.978277	43.924609	39.82	681	3	253	17.2	1053.21
-93.978277	43.924666	39.68	684	3	244	17.6	1052.55
-93.978276	43.924722	42.86	687	3	244	17.2	1051.9
-93.978276	43.924778	42.58	690	3	240	17	1051.24
-93.978276	43.924837	37.91	693	3	251	17.3	1049.93
-93.978277	43.924895	40.32	696	3	258	17.1	1048.94
-93.978278	43.924954	40.37	699	3	261	17.2	1048.29
-93.978278	43.925011	41.61	702	3	257	17.6	1047.3
-93.978277	43.92507	39.2	705	3	260	17.6	1045.99
-93.978278	43.925127	38.91	708	3	247	18	1044.68
-93.978278	43.925185	40.11	711	3	257	17.6	1043.37
-93.978279	43.925241	37.14	714	3	245	17.9	1041.73
-93.978281	43.925297	36.19	717	3	238	18	1040.42
-93.978281	43.925354	39.75	720	3	242	17.9	1039.43
-93.978281	43.925409	40.47	723	3	239	17.8	1038.12
-93.978282	43.925465	43.55	726	3	235	17.9	1036.81
-93.978284	43.925521	40.73	729	3	236	17.1	1035.5
-93.978285	43.925577	38.95	732	3	248	17.3	1034.84
-93.978286	43.925632	42.28	735	3	239	17.2	1034.18
-93.978287	43.925689	39.98	738	3	244	17.2	1032.87
-93.978288	43.925744	39.96	741	3	244	17.2	1032.22
-93.97829	43.9258	42.22	744	3	238	17.2	1031.23
-93.97829	43.925857	43.33	747	3	247	16.9	1030.25
-93.978291	43.925913	43.65	750	3	243	17.2	1029.59
-93.978293	43.925969	42.93	753	3	243	17.1	1028.94
-93.978294	43.926026	39.82	756	3	245	17.2	1028.28
-93.978295	43.926083	41.51	759	3	247	17.3	1027.62
-93.978296	43.92614	42.26	762	3	245	17.4	1027.3
-93.978298	43.926195	41.16	765	3	245	17.6	1026.97
-93.9783	43.92625	41.76	768	3	241	17.7	1026.97
-93.978302	43.926307	39.14	771	3	241	17.8	1026.97
-93.978304	43.926363	38.7	774	3	242	17.6	1026.64
-93.978304	43.926418	36.87	777	3	241	17.2	1026.64
-93.978306	43.926475	33.59	780	3	242	17.6	1026.31
-93.978307	43.92653	35.83	783	3	239	17.5	1026.31
-93.978306	43.926585	35.69	786	3	243	17.7	1025.98
-93.978306	43.92664	38.22	789	3	241	17.7	1025.98
-93.978306	43.926695	32.84	792	3	241	17.7	1025.98
-93.978308	43.92675	20.88	795	3	241	17.4	1025.66
-93.978309	43.926804	25.34	798	3	239	17.1	1026.31
-93.97831	43.926861	31.05	801	3	241	17.4	1026.31
-93.97831	43.926916	32.21	804	3	251	17.7	1025.98
-93.97831	43.926971	31.11	807	3	231	17.9	1025.98
-93.978312	43.927026	28.67	810	3	239	17.6	1025.98
-93.978313	43.927082	20.55	813	3	245	18.5	1025.66
-93.978315	43.927139	21.39	816	3	246	17.6	1025.33
-93.978315	43.927195	12.08	819	3	244	18	1025.66
-93.978321	43.927246	1.6	822	3	239	18.3	1025.98
-93.978201	43.927152	22.55	843	3	241	17.4	1025.98
-93.978199	43.927096	28.73	846	3	241	17.7	1025.98
-93.978197	43.92704	30.72	849	3	245	17.4	1025.98
-93.978196	43.926984	32.57	852	3	242	17.6	1025.66
-93.978194	43.926928	34.57	855	3	243	17.6	1025.66
-93.978193	43.926873	34.49	858	3	241	17.7	1025.66
-93.978193	43.926818	36.53	861	3	233	17.1	1025.98
-93.978191	43.926762	35.43	864	3	242	17.6	1025.66
-93.97819	43.926707	38.13	867	3	243	17.3	1025.66
-93.97819	43.926653	41.71	870	3	236	17.7	1025.66
-93.978189	43.926597	37.43	873	3	242	17.6	1025.66
-93.97819	43.926542	34.55	876	3	238	17.4	1025.66
-93.978189	43.926486	35.84	879	3	238	17.4	1025.66
-93.978189	43.926429	30.9	882	3	245	17.2	1025.66
-93.978186	43.926373	32.55	885	3	247	17.3	1025.33
-93.978185	43.92632	35.35	888	3	245	17.4	1025.66
-93.978184	43.926265	37.15	891	3	226	17.1	1026.31
-93.978182	43.92621	40.96	894	3	236	17.5	1026.31
-93.978181	43.926156	38.39	897	3	239	17.9	1026.97
-93.97818	43.926101	39.52	900	3	238	18.1	1026.97
-93.978177	43.926047	37.08	903	3	235	17.9	1027.95
-93.978176	43.925993	36.71	906	3	236	17.3	1028.28
-93.978176	43.92594	37.31	909	3	231	17.1	1028.94
-93.978173	43.925885	42.58	912	3	235	17.5	1028.94
-93.978171	43.925832	38.55	915	3	232	17.6	1029.59
-93.97817	43.925778	39.17	918	3	235	17.2	1029.92
-93.97817	43.925725	34.23	921	3	226	17.2	1030.9
-93.97817	43.925673	38.76	924	3	231	17.6	1031.89
-93.978168	43.92562	34.74	927	3	226	18	1032.87
-93.978167	43.925567	36.94	930	3	231	18	1033.53
-93.978165	43.925516	35.99	933	3	221	18	1034.51
-93.978165	43.925464	34.93	936	3	223	18.2	1035.82
-93.978164	43.925413	36.51	939	3	221	18.5	1037.14
-93.978165	43.925361	34.97	942	3	224	18.5	1038.45
-93.978164	43.925309	35.21	945	3	227	18.2	1039.76
-93.978163	43.925258	33.95	948	3	224	18.2	1040.74
-93.978162	43.925206	31.92	951	3	223	18	1042.06
-93.978161	43.925155	34.93	954	3	223	18	1043.7
-93.97816	43.925103	35.23	957	3	229	17.9	1044.68
-93.97816	43.925051	36.24	960	3	225	17.8	1045.66
-93.97816	43.924999	32.56	963	3	225	17.7	1046.98
-93.97816	43.924945	34.61	966	3	232	17.8	1047.96
-93.978159	43.924892	38.09	969	3	230	17.6	1048.94
-93.97816	43.924841	36.24	972	3	221	17.3	1049.93
-93.978158	43.924787	36.9	975	3	230	17.1	1050.26
-93.978157	43.924733	37.8	978	3	231	17.8	1051.24
-93.978158	43.92468	34.45	981	3	226	17.8	1051.9
-93.978159	43.924627	39.11	984	3	229	17.4	1052.88
-93.978158	43.924573	38.3	987	3	229	17.6	1053.21
-93.978159	43.924519	37.32	990	3	238	17.1	1053.54
-93.978159	43.924465	38.18	993	3	232	17.2	1054.19
-93.97816	43.924409	38.53	996	3	242	17.1	1054.19
-93.97816	43.924353	36.02	999	3	243	17.1	1054.19
-93.978161	43.924297	35.96	1002	3	241	17.4	1054.19
-93.978162	43.924241	38.4	1005	3	242	17	1053.86
-93.978161	43.924184	40.92	1008	3	247	17.4	1053.54
