"yield"	"rep"	"gen"	"env"	"year"	"loc"
2729	"R1"	"Evan"	"A77"	"77"	"Aurora"
2662	"R1"	"Wilk"	"A77"	"77"	"Aurora"
2638	"R1"	"Chip"	"A77"	"77"	"Aurora"
2680	"R1"	"Hodg"	"A77"	"77"	"Aurora"
2598	"R1"	"S200"	"A77"	"77"	"Aurora"
2908	"R1"	"Cors"	"A77"	"77"	"Aurora"
2732	"R1"	"Well"	"A77"	"77"	"Aurora"
2753	"R1"	"Evan"	"C77"	"77"	"Chazy"
2628	"R1"	"Wilk"	"C77"	"77"	"Chazy"
2154	"R1"	"Chip"	"C77"	"77"	"Chazy"
2146	"R1"	"Hodg"	"C77"	"77"	"Chazy"
782	"R1"	"S200"	"C77"	"77"	"Chazy"
1825	"R1"	"Cors"	"C77"	"77"	"Chazy"
1288	"R1"	"Well"	"C77"	"77"	"Chazy"
1157	"R1"	"Evan"	"V77"	"77"	"Valatie"
1263	"R1"	"Wilk"	"V77"	"77"	"Valatie"
2081	"R1"	"Chip"	"V77"	"77"	"Valatie"
2599	"R1"	"Hodg"	"V77"	"77"	"Valatie"
2699	"R1"	"S200"	"V77"	"77"	"Valatie"
1948	"R1"	"Cors"	"V77"	"77"	"Valatie"
2480	"R1"	"Well"	"V77"	"77"	"Valatie"
1461	"R1"	"Evan"	"V78"	"78"	"Valatie"
1265	"R1"	"Wilk"	"V78"	"78"	"Valatie"
1087	"R1"	"Chip"	"V78"	"78"	"Valatie"
2320	"R1"	"Hodg"	"V78"	"78"	"Valatie"
1937	"R1"	"S200"	"V78"	"78"	"Valatie"
2230	"R1"	"Cors"	"V78"	"78"	"Valatie"
1354	"R1"	"Well"	"V78"	"78"	"Valatie"
3502	"R1"	"Evan"	"A79"	"79"	"Aurora"
2714	"R1"	"Wilk"	"A79"	"79"	"Aurora"
2547	"R1"	"Chip"	"A79"	"79"	"Aurora"
3237	"R1"	"Hodg"	"A79"	"79"	"Aurora"
3618	"R1"	"S200"	"A79"	"79"	"Aurora"
3386	"R1"	"Cors"	"A79"	"79"	"Aurora"
2648	"R1"	"Well"	"A79"	"79"	"Aurora"
2874	"R1"	"Evan"	"C79"	"79"	"Chazy"
