col	row	rep	gen	yield
1	1	R1	ANGAS	483
1	2	R1	BT_SCHOMBURG	526
1	3	R1	DGR/MNX-9-9e	557
1	4	R1	EXCALIBUR	564
1	5	R1	JANZ	498
1	6	R1	MACHETE	510
1	7	R1	MEERING	344
1	8	R1	MOLINEUX	600
1	9	R1	SCHOMBURGK	466
1	10	R1	SPEAR	370
1	11	R1	STILETTO	448
1	12	R1	TATIARA	513
1	13	R1	TRIDENT	481
1	14	R1	WYUNA	430
1	15	R1	YARRALINKA	355
1	16	R1	AMERY	445
1	17	R1	AROONA	447
1	18	R1	BATAVIA	400
1	19	R1	BEULAH	460
1	20	R1	BLADE	371
1	21	R1	CADOUX	420
1	22	R1	CORRIGIN	453
2	1	R1	CUNNINGHAM	400
2	2	R1	M5075	405
2	3	R1	DOLLARBIRD	442
2	4	R1	GOROKE	444
2	5	R1	HALBERD	557
2	6	R1	HOUTMAN	446
2	7	R1	KATUNGA	470
2	8	R1	KIATA	515
2	9	R1	KITE	364
2	10	R1	KULIN	477
2	11	R1	LARK	377
2	12	R1	LOWAN	525
2	13	R1	OSPREY	408
2	14	R1	OUYEN	605
2	15	R1	OXLEY	437
2	16	R1	PELSART	440
2	17	R1	PEROUSE	446
2	18	R1	ROSELLA	534
2	19	R1	SHRIKE	510
2	20	R1	SUNBRI	603
2	21	R1	SUNFIELD	442
2	22	R1	SUNLAND	506
3	1	R1	SWIFT	569
3	2	R1	TASMAN	514
3	3	R1	WARBLER	487
3	4	R1	WILGOYNE	557
3	5	R1	RAC655	750
3	6	R1	RAC696	710
3	7	R1	RAC710	773
3	8	R1	RAC750	747
3	9	R1	RAC759	683
3	10	R1	RAC772	701
3	11	R1	RAC777	658
3	12	R1	RAC779	682
3	13	R1	RAC787	667
3	14	R1	RAC791	699
3	15	R1	RAC792	585
3	16	R1	RAC798	645
3	17	R1	RAC804	642
3	18	R1	RAC805	630
3	19	R1	RAC806	729
3	20	R1	RAC807	714
3	21	R1	RAC808	651
3	22	R1	RAC809	820
4	1	R1	RAC810	734
4	2	R1	RAC811	767
4	3	R1	RAC812	693
4	4	R1	RAC813	790
4	5	R1	RAC814	714
4	6	R1	RAC815	747
4	7	R1	RAC816	815
4	8	R1	RAC817	762
4	9	R1	RAC818	684
4	10	R1	RAC819	827
4	11	R1	RAC820	819
4	12	R1	RAC821	689
4	13	R1	VF519	758
4	14	R1	WW1402	705
4	15	R1	WW1477	565
4	16	R1	WI216	799
