row	column	yield	gen	rep
1	1	2555	G18	R3
1	10	2660	G07	R6
1	2	2930	G05	R3
1	3	2885	G06	R3
1	4	2110	G24	R3
1	5	3260	G12	R3
1	6	2450	G23	R6
1	7	2870	G14	R6
1	8	2755	G05	R6
1	9	2600	G16	R6
10	1	2865	G14	R2
10	10	3185	G15	R5
10	2	2470	G03	R2
10	3	2825	G06	R2
10	4	2770	G17	R2
10	5	2640	G25	R2
10	6	2985	G19	R5
10	7	3005	G06	R5
10	8	3015	G23	R5
10	9	2940	G02	R5
11	1	2945	G14	R1
11	10	2440	G25	R4
11	2	2295	G24	R1
11	3	2700	G09	R1
11	4	2770	G19	R1
11	5	2925	G04	R1
11	6	2390	G24	R4
11	7	3125	G22	R4
11	8	3045	G23	R4
11	9	2805	G21	R4
12	1	3365	G12	R1
12	10	3190	G20	R4
12	2	2970	G22	R1
12	3	3155	G07	R1
12	4	3155	G17	R1
12	5	3080	G02	R1
12	6	3055	G19	R4
12	7	3155	G17	R4
12	8	3150	G18	R4
12	9	3095	G16	R4
13	1	3125	G11	R1
13	10	2855	G05	R4
13	2	2885	G21	R1
13	3	3240	G06	R1
13	4	3120	G16	R1
13	5	3265	G01	R1
13	6	3085	G04	R4
13	7	3110	G02	R4
13	8	2885	G03	R4
13	9	3165	G01	R4
14	1	3230	G15	R1
14	10	3205	G15	R4
14	2	2745	G25	R1
14	3	3305	G10	R1
14	4	2990	G20	R1
14	5	3390	G05	R1
14	6	3335	G14	R4
14	7	3705	G12	R4
14	8	3560	G13	R4
14	9	3455	G11	R4
15	1	3245	G13	R1
15	10	3155	G10	R4
15	2	3055	G23	R1
15	3	3520	G08	R1
15	4	3085	G18	R1
15	5	3380	G03	R1
15	6	2850	G09	R4
15	7	3070	G07	R4
15	8	3355	G08	R4
15	9	3030	G06	R4
2	1	2960	G02	R3
2	10	2905	G01	R6
2	2	3225	G14	R3
2	3	3000	G20	R3
2	4	3145	G08	R3
2	5	2575	G21	R3
2	6	2415	G17	R6
2	7	3115	G08	R6
2	8	2310	G24	R6
2	9	3285	G15	R6
3	1	2625	G09	R3
3	10	2395	G25	R6
3	2	2925	G16	R3
3	3	3060	G22	R3
3	4	3180	G15	R3
3	5	3005	G03	R3
3	6	2820	G11	R6
3	7	2815	G02	R6
3	8	2890	G18	R6
3	9	2930	G09	R6
4	1	2650	G11	R3
4	10	2620	G13	R6
4	2	2450	G23	R3
4	3	2335	G04	R3
4	4	2450	G17	R3
4	5	2610	G10	R3
4	6	2535	G04	R6
4	7	2805	G20	R6
4	8	2500	G06	R6
4	9	2735	G22	R6
5	1	2305	G25	R3
5	10	2910	G19	R6
5	2	2965	G07	R3
5	3	3040	G13	R3
5	4	2765	G01	R3
5	5	2725	G19	R3
5	6	2850	G10	R6
5	7	2650	G21	R6
5	8	3330	G12	R6
5	9	2645	G03	R6
6	1	2310	G10	R2
6	10	2420	G21	R5
6	2	1910	G24	R2
6	3	2515	G02	R2
6	4	2385	G13	R2
6	5	2245	G16	R2
6	6	2415	G05	R5
6	7	2425	G17	R5
6	8	2360	G09	R5
6	9	2725	G13	R5
7	1	2590	G18	R2
7	10	2815	G04	R5
7	2	3125	G07	R2
7	3	3190	G15	R2
7	4	2715	G21	R2
7	5	3055	G04	R2
7	6	3325	G08	R5
7	7	2235	G25	R5
7	8	3370	G12	R5
7	9	2760	G16	R5
8	1	2770	G22	R2
8	10	2520	G18	R5
8	2	2645	G11	R2
8	3	2840	G19	R2
8	4	2965	G05	R2
8	5	3365	G08	R2
8	6	2730	G22	R5
8	7	2945	G14	R5
8	8	2305	G01	R5
8	9	2745	G10	R5
9	1	2795	G01	R2
9	10	3105	G07	R5
9	2	2825	G20	R2
9	3	2700	G23	R2
9	4	2805	G09	R2
9	5	3410	G12	R2
9	6	3090	G11	R5
9	7	2895	G03	R5
9	8	3295	G20	R5
9	9	2400	G24	R5
