"gen"	"group"	"rep"	"yield"
"G01"	"hybrid"	"R1"	8.171
"G02"	"hybrid"	"R1"	7.049
"G03"	"hybrid"	"R1"	8.067
"G04"	"hybrid"	"R1"	7.855
"G05"	"hybrid"	"R1"	8.815
"G06"	"hybrid"	"R1"	7.211
"G07"	"hybrid"	"R1"	6.557
"G08"	"hybrid"	"R1"	7.999
"G09"	"hybrid"	"R1"	9.31
"G10"	"hybrid"	"R1"	7.372
"G11"	"hybrid"	"R1"	7.142
"G12"	"hybrid"	"R1"	8.265
"G13"	"hybrid"	"R1"	7.413
"G14"	"hybrid"	"R1"	7.13
"G15"	"hybrid"	"R1"	7.089
"G16"	"parent"	"R1"	5.832
"G17"	"parent"	"R1"	7.619
"G18"	"parent"	"R1"	8.427
"G19"	"parent"	"R1"	7.311
"G20"	"parent"	"R1"	6.01
"G21"	"parent"	"R1"	6.514
"G22"	"parent"	"R1"	7.832
"G23"	"parent"	"R1"	7.914
"G24"	"parent"	"R1"	7.448
"G25"	"parent"	"R1"	7.014
"G26"	"parent"	"R1"	6.375
"G27"	"parent"	"R1"	7.042
"G28"	"parent"	"R1"	5.998
"G29"	"parent"	"R1"	7.175
"G30"	"parent"	"R1"	7.425
"G31"	"parent"	"R1"	7.453
"G32"	"parent"	"R1"	7.073
"G33"	"check"	"R1"	7.235
"G34"	"check"	"R1"	6.984
"G35"	"check"	"R1"	7.185
"G01"	"hybrid"	"R2"	7.951
"G02"	"hybrid"	"R2"	7.792
"G03"	"hybrid"	"R2"	8.597
"G04"	"hybrid"	"R2"	7.601
"G05"	"hybrid"	"R2"	8.259
"G06"	"hybrid"	"R2"	8.115
"G07"	"hybrid"	"R2"	8.388
"G08"	"hybrid"	"R2"	8.701
"G09"	"hybrid"	"R2"	8.31
"G10"	"hybrid"	"R2"	8.198
"G11"	"hybrid"	"R2"	6.98
"G12"	"hybrid"	"R2"	9.097
"G13"	"hybrid"	"R2"	8.807
"G14"	"hybrid"	"R2"	7.99
"G15"	"hybrid"	"R2"	8.543
"G16"	"parent"	"R2"	5.671
"G17"	"parent"	"R2"	5.58
"G18"	"parent"	"R2"	8.327
"G19"	"parent"	"R2"	6.984
"G20"	"parent"	"R2"	7.124
"G21"	"parent"	"R2"	7.366
"G22"	"parent"	"R2"	7.251
"G23"	"parent"	"R2"	7.994
"G24"	"parent"	"R2"	7.808
"G25"	"parent"	"R2"	8.799
"G26"	"parent"	"R2"	7.716
"G27"	"parent"	"R2"	6.531
"G28"	"parent"	"R2"	6.888
"G29"	"parent"	"R2"	7.756
"G30"	"parent"	"R2"	7.531
"G31"	"parent"	"R2"	7.568
"G32"	"parent"	"R2"	8.244
"G33"	"check"	"R2"	7.362
"G34"	"check"	"R2"	7.723
"G35"	"check"	"R2"	6.958
"G01"	"hybrid"	"R3"	8.074
"G02"	"hybrid"	"R3"	7.626
"G03"	"hybrid"	"R3"	6.772
"G04"	"hybrid"	"R3"	7.273
"G05"	"hybrid"	"R3"	7.621
"G06"	"hybrid"	"R3"	8.488
"G07"	"hybrid"	"R3"	6.895
"G08"	"hybrid"	"R3"	8.253
"G09"	"hybrid"	"R3"	9.194
"G10"	"hybrid"	"R3"	8.246
"G11"	"hybrid"	"R3"	8.653
"G12"	"hybrid"	"R3"	8.514
"G13"	"hybrid"	"R3"	10.128
"G14"	"hybrid"	"R3"	8.088
"G15"	"hybrid"	"R3"	7.893
"G16"	"parent"	"R3"	6.042
"G17"	"parent"	"R3"	8.488
"G18"	"parent"	"R3"	7.065
"G19"	"parent"	"R3"	7.24
"G20"	"parent"	"R3"	6.536
"G21"	"parent"	"R3"	7.24
"G22"	"parent"	"R3"	7.116
"G23"	"parent"	"R3"	7.519
"G24"	"parent"	"R3"	7.327
"G25"	"parent"	"R3"	7.301
"G26"	"parent"	"R3"	6.59
"G27"	"parent"	"R3"	6.699
"G28"	"parent"	"R3"	6.926
"G29"	"parent"	"R3"	7.528
"G30"	"parent"	"R3"	7.091
"G31"	"parent"	"R3"	7.607
"G32"	"parent"	"R3"	6.839
"G33"	"check"	"R3"	7.445
"G34"	"check"	"R3"	7.735
"G35"	"check"	"R3"	7.417
