loc	nitro	rep	gen	yield
L1	0	R1	G1	1979
L1	30	R1	G1	4572
L1	60	R1	G1	5630
L1	90	R1	G1	7153
L1	120	R1	G1	7223
L1	150	R1	G1	7239
L2	0	R1	G1	3617
L2	30	R1	G1	6065
L2	60	R1	G1	6092
L2	90	R1	G1	5916
L2	120	R1	G1	7191
L2	150	R1	G1	5805
L3	0	R1	G1	4320
L3	30	R1	G1	5862
L3	60	R1	G1	5136
L3	90	R1	G1	6336
L3	120	R1	G1	5571
L3	150	R1	G1	6765
L1	0	R1	G1	1511
L1	30	R1	G1	4340
L1	60	R1	G1	6780
L1	90	R1	G1	6504
L1	120	R1	G1	7107
L1	150	R1	G1	6829
L2	0	R1	G1	3580
L2	30	R1	G1	5463
L2	60	R1	G1	6571
L2	90	R1	G1	6982
L2	120	R1	G1	6109
L2	150	R1	G1	6890
L3	0	R1	G1	4068
L3	30	R1	G1	4626
L3	60	R1	G1	5836
L3	90	R1	G1	5456
L3	120	R1	G1	5854
L3	150	R1	G1	5263
L1	0	R2	G1	3664
L1	30	R2	G1	4132
L1	60	R2	G1	4933
L1	90	R2	G1	6326
L1	120	R2	G1	6051
L1	150	R2	G1	5874
L2	0	R2	G1	3939
L2	30	R2	G1	5435
L2	60	R2	G1	6084
L2	90	R2	G1	7145
L2	120	R2	G1	7967
L2	150	R2	G1	7113
L3	0	R2	G1	3856
L3	30	R2	G1	4913
L3	60	R2	G1	4898
L3	90	R2	G1	5663
L3	120	R2	G1	5533
L3	150	R2	G1	3910
L1	0	R2	G2	5301
L1	30	R2	G2	5655
L1	60	R2	G2	6339
L1	90	R2	G2	8108
L1	120	R2	G2	7530
L1	150	R2	G2	7853
L2	0	R2	G2	3447
L2	30	R2	G2	5905
L2	60	R2	G2	5322
L2	90	R2	G2	6513
L2	120	R2	G2	8153
L2	150	R2	G2	7290
L3	0	R2	G2	4891
L3	30	R2	G2	6009
L3	60	R2	G2	6712
L3	90	R2	G2	6458
L3	120	R2	G2	5683
L3	150	R2	G2	6335
L1	0	R2	G2	1883
L1	30	R2	G2	5100
L1	60	R2	G2	6622
L1	90	R2	G2	8583
L1	120	R2	G2	7097
L1	150	R2	G2	7105
L2	0	R2	G2	3560
L2	30	R2	G2	5969
L2	60	R2	G2	5883
L2	90	R2	G2	6556
L2	120	R2	G2	7208
L2	150	R2	G2	6564
L3	0	R2	G2	2577
L3	30	R2	G2	6625
L3	60	R2	G2	6693
L3	90	R2	G2	6675
L3	120	R2	G2	6868
L3	150	R2	G2	6064
L1	0	R2	G2	3571
L1	30	R2	G2	5385
L1	60	R2	G2	6332
L1	90	R2	G2	7637
L1	120	R2	G2	6667
L1	150	R2	G2	7443
L2	0	R2	G2	3516
L2	30	R2	G2	6026
L2	60	R2	G2	6489
L2	90	R2	G2	7853
L2	120	R2	G2	6685
L2	150	R2	G2	7401
L3	0	R2	G2	4541
L3	30	R2	G2	5672
L3	60	R2	G2	6799
L3	90	R2	G2	6636
L3	120	R2	G2	5692
L3	150	R2	G2	5949
