"trt"	"nitro"	"rep"	"stage"
"T1"	3.26	"R1"	"P1"
"T2"	3.84	"R1"	"P1"
"T3"	3.5	"R1"	"P1"
"T4"	3.43	"R1"	"P1"
"T5"	3.43	"R1"	"P1"
"T6"	3.68	"R1"	"P1"
"T7"	2.97	"R1"	"P1"
"T8"	3.11	"R1"	"P1"
"T1"	1.88	"R1"	"P2"
"T2"	2.36	"R1"	"P2"
"T3"	2.2	"R1"	"P2"
"T4"	2.32	"R1"	"P2"
"T5"	1.98	"R1"	"P2"
"T6"	2.01	"R1"	"P2"
"T7"	2.66	"R1"	"P2"
"T8"	2.53	"R1"	"P2"
"T1"	1.4	"R1"	"P3"
"T2"	1.53	"R1"	"P3"
"T3"	1.33	"R1"	"P3"
"T4"	1.61	"R1"	"P3"
"T5"	1.11	"R1"	"P3"
"T6"	1.26	"R1"	"P3"
"T7"	1.87	"R1"	"P3"
"T8"	1.76	"R1"	"P3"
"T1"	2.98	"R2"	"P1"
"T2"	3.74	"R2"	"P1"
"T3"	3.49	"R2"	"P1"
"T4"	3.45	"R2"	"P1"
"T5"	3.24	"R2"	"P1"
"T6"	3.24	"R2"	"P1"
"T7"	2.9	"R2"	"P1"
"T8"	3.04	"R2"	"P1"
"T1"	1.74	"R2"	"P2"
"T2"	2.14	"R2"	"P2"
"T3"	2.28	"R2"	"P2"
"T4"	2.33	"R2"	"P2"
"T5"	1.7	"R2"	"P2"
"T6"	2.33	"R2"	"P2"
"T7"	2.74	"R2"	"P2"
"T8"	2.22	"R2"	"P2"
"T1"	1.24	"R2"	"P3"
"T2"	1.21	"R2"	"P3"
"T3"	1.54	"R2"	"P3"
"T4"	1.33	"R2"	"P3"
"T5"	1.25	"R2"	"P3"
"T6"	1.44	"R2"	"P3"
"T7"	1.81	"R2"	"P3"
"T8"	1.28	"R2"	"P3"
"T1"	2.78	"R3"	"P1"
"T2"	3.09	"R3"	"P1"
"T3"	3.03	"R3"	"P1"
"T4"	2.81	"R3"	"P1"
"T5"	3.45	"R3"	"P1"
"T6"	2.84	"R3"	"P1"
"T7"	2.92	"R3"	"P1"
"T8"	3.2	"R3"	"P1"
"T1"	1.76	"R3"	"P2"
"T2"	1.75	"R3"	"P2"
"T3"	2.48	"R3"	"P2"
"T4"	2.16	"R3"	"P2"
"T5"	1.78	"R3"	"P2"
"T6"	2.22	"R3"	"P2"
"T7"	2.67	"R3"	"P2"
"T8"	2.61	"R3"	"P2"
"T1"	1.44	"R3"	"P3"
"T2"	1.28	"R3"	"P3"
"T3"	1.46	"R3"	"P3"
"T4"	1.4	"R3"	"P3"
"T5"	1.39	"R3"	"P3"
"T6"	1.12	"R3"	"P3"
"T7"	1.31	"R3"	"P3"
"T8"	1.23	"R3"	"P3"
"T1"	2.77	"R4"	"P1"
"T2"	3.36	"R4"	"P1"
"T3"	3.36	"R4"	"P1"
"T4"	3.32	"R4"	"P1"
"T5"	3.09	"R4"	"P1"
"T6"	2.91	"R4"	"P1"
"T7"	2.42	"R4"	"P1"
"T8"	2.81	"R4"	"P1"
"T1"	2	"R4"	"P2"
"T2"	1.57	"R4"	"P2"
"T3"	2.47	"R4"	"P2"
"T4"	1.99	"R4"	"P2"
"T5"	1.74	"R4"	"P2"
"T6"	2	"R4"	"P2"
"T7"	2.98	"R4"	"P2"
"T8"	2.22	"R4"	"P2"
"T1"	1.25	"R4"	"P3"
"T2"	1.17	"R4"	"P3"
"T3"	1.41	"R4"	"P3"
"T4"	1.12	"R4"	"P3"
"T5"	1.2	"R4"	"P3"
"T6"	1.24	"R4"	"P3"
"T7"	1.56	"R4"	"P3"
"T8"	1.29	"R4"	"P3"
