row	col	yield
36	1	842
35	1	803
34	1	773
33	1	912
32	1	874
31	1	908
30	1	875
29	1	891
28	1	823
27	1	785
26	1	785
25	1	829
24	1	861
23	1	906
22	1	819
21	1	893
20	1	813
19	1	816
18	1	676
17	1	813
16	1	801
15	1	718
14	1	756
13	1	789
12	1	652
11	1	729
10	1	698
9	1	745
8	1	964
7	1	671
6	1	717
5	1	652
4	1	605
3	1	559
2	1	589
1	1	614
36	2	844
35	2	841
34	2	782
33	2	887
32	2	792
31	2	875
30	2	907
29	2	928
28	2	784
27	2	794
26	2	808
25	2	895
24	2	883
23	2	885
22	2	911
21	2	862
20	2	750
19	2	758
18	2	783
17	2	809
16	2	764
15	2	784
14	2	725
13	2	681
12	2	622
11	2	650
10	2	713
9	2	677
8	2	727
7	2	729
6	2	694
5	2	713
4	2	708
3	2	722
2	2	681
1	2	633
36	3	808
35	3	870
34	3	860
33	3	815
32	3	803
31	3	899
30	3	921
29	3	871
28	3	754
27	3	764
26	3	823
25	3	774
24	3	739
23	3	790
22	3	788
21	3	769
20	3	742
19	3	811
18	3	734
17	3	695
16	3	701
15	3	730
14	3	821
13	3	732
12	3	695
11	3	700
10	3	714
9	3	685
8	3	648
7	3	690
6	3	727
5	3	656
4	3	684
3	3	726
2	3	690
1	3	619
36	4	822
35	4	970
34	4	822
33	4	937
32	4	793
31	4	788
30	4	963
29	4	875
28	4	873
27	4	822
26	4	826
25	4	891
24	4	762
23	4	655
22	4	654
21	4	727
20	4	872
19	4	702
18	4	626
17	4	707
16	4	716
15	4	750
14	4	685
13	4	669
12	4	677
11	4	764
10	4	734
9	4	711
8	4	664
7	4	687
6	4	719
5	4	584
4	4	715
3	4	705
2	4	570
1	4	658
36	5	979
35	5	943
34	5	932
33	5	844
32	5	818
31	5	867
30	5	875
29	5	865
28	5	764
27	5	714
26	5	801
25	5	841
24	5	725
23	5	690
22	5	742
21	5	725
20	5	746
19	5	728
18	5	782
17	5	753
16	5	753
15	5	733
14	5	681
13	5	681
12	5	698
11	5	680
10	5	651
9	5	688
8	5	623
7	5	705
6	5	669
5	5	517
4	5	659
3	5	571
2	5	619
1	5	678
36	6	954
35	6	914
34	6	971
33	6	661
32	6	799
31	6	790
30	6	880
29	6	777
28	6	775
27	6	748
26	6	712
25	6	815
24	6	717
23	6	769
22	6	786
21	6	721
20	6	812
19	6	741
18	6	704
17	6	680
16	6	680
15	6	705
14	6	738
13	6	698
12	6	666
11	6	681
10	6	649
9	6	614
8	6	629
7	6	622
6	6	630
5	6	572
4	6	629
3	6	637
2	6	624
1	6	673
36	7	965
35	7	916
34	7	765
33	7	841
32	7	767
31	7	831
30	7	898
29	7	738
28	7	752
27	7	724
26	7	826
25	7	834
24	7	746
23	7	765
22	7	791
21	7	739
20	7	705
19	7	757
18	7	782
17	7	720
16	7	706
15	7	728
14	7	630
13	7	689
12	7	691
11	7	645
10	7	675
9	7	585
8	7	616
7	7	523
6	7	701
5	7	574
4	7	632
3	7	637
2	7	580
1	7	652
36	8	906
35	8	836
34	8	875
33	8	844
32	8	855
31	8	757
30	8	802
29	8	796
28	8	753
27	8	717
26	8	665
25	8	778
24	8	766
23	8	719
22	8	779
21	8	736
20	8	724
19	8	732
18	8	707
17	8	683
16	8	665
15	8	667
14	8	599
13	8	622
12	8	688
11	8	622
10	8	614
9	8	534
8	8	594
7	8	526
6	8	645
5	8	539
4	8	596
3	8	577
2	8	570
1	8	602
36	9	898
35	9	858
34	9	853
33	9	809
32	9	792
31	9	751
30	9	874
29	9	855
28	9	820
27	9	736
26	9	759
25	9	760
24	9	662
23	9	743
22	9	645
21	9	672
20	9	640
19	9	623
18	9	672
17	9	757
16	9	680
15	9	703
14	9	629
13	9	672
12	9	682
11	9	661
10	9	634
9	9	533
8	9	619
7	9	661
6	9	638
5	9	545
4	9	627
3	9	561
2	9	568
1	9	590
36	10	856
35	10	926
34	10	936
33	10	778
32	10	858
31	10	774
30	10	928
29	10	901
28	10	798
27	10	724
26	10	738
25	10	822
24	10	634
23	10	770
22	10	810
21	10	814
20	10	757
19	10	786
18	10	703
17	10	782
16	10	650
15	10	684
14	10	703
13	10	704
12	10	713
11	10	728
10	10	635
9	10	671
8	10	631
7	10	683
6	10	714
5	10	629
4	10	644
3	10	590
2	10	589
1	10	605
36	11	808
35	11	922
34	11	927
33	11	945
32	11	912
31	11	863
30	11	872
29	11	792
28	11	847
27	11	838
26	11	867
25	11	803
24	11	743
23	11	728
22	11	816
21	11	756
20	11	708
19	11	805
18	11	698
17	11	789
16	11	690
15	11	777
14	11	780
13	11	705
12	11	670
11	11	715
10	11	639
9	11	600
8	11	628
7	11	619
6	11	633
5	11	636
4	11	661
3	11	646
2	11	550
1	11	538
36	12	920
35	12	910
34	12	779
33	12	876
32	12	839
31	12	902
30	12	834
29	12	752
28	12	858
27	12	769
26	12	725
25	12	754
24	12	719
23	12	740
22	12	746
21	12	748
20	12	750
19	12	786
18	12	758
17	12	811
16	12	699
15	12	747
14	12	720
13	12	625
12	12	708
11	12	775
10	12	690
9	12	647
8	12	591
7	12	709
6	12	670
5	12	580
4	12	682
3	12	639
2	12	622
1	12	682
36	13	808
35	13	872
34	13	865
33	13	901
32	13	813
31	13	771
30	13	892
29	13	722
28	13	811
27	13	819
