"time"	"manage"	"rep"	"sample"	"height"
"T1"	"M1"	"R1"	"S1"	104.5
"T1"	"M2"	"R1"	"S1"	92.3
"T1"	"M3"	"R1"	"S1"	96.8
"T1"	"M4"	"R1"	"S1"	94.7
"T1"	"M5"	"R1"	"S1"	105.7
"T1"	"M6"	"R1"	"S1"	100.5
"T1"	"M7"	"R1"	"S1"	86
"T1"	"M8"	"R1"	"S1"	105.9
"T2"	"M1"	"R1"	"S1"	109.7
"T2"	"M2"	"R1"	"S1"	100.5
"T2"	"M3"	"R1"	"S1"	91.4
"T2"	"M4"	"R1"	"S1"	100.8
"T2"	"M5"	"R1"	"S1"	97
"T2"	"M6"	"R1"	"S1"	102.3
"T2"	"M7"	"R1"	"S1"	100.3
"T2"	"M8"	"R1"	"S1"	102.7
"T3"	"M1"	"R1"	"S1"	97.5
"T3"	"M2"	"R1"	"S1"	95
"T3"	"M3"	"R1"	"S1"	86.6
"T3"	"M4"	"R1"	"S1"	91.2
"T3"	"M5"	"R1"	"S1"	100
"T3"	"M6"	"R1"	"S1"	94.4
"T3"	"M7"	"R1"	"S1"	92.3
"T3"	"M8"	"R1"	"S1"	101.9
"T4"	"M1"	"R1"	"S1"	103.8
"T4"	"M2"	"R1"	"S1"	93.2
"T4"	"M3"	"R1"	"S1"	95
"T4"	"M4"	"R1"	"S1"	103.9
"T4"	"M5"	"R1"	"S1"	96
"T4"	"M6"	"R1"	"S1"	102.3
"T4"	"M7"	"R1"	"S1"	91.2
"T4"	"M8"	"R1"	"S1"	106
"T1"	"M1"	"R1"	"S2"	106.5
"T1"	"M2"	"R1"	"S2"	92
"T1"	"M3"	"R1"	"S2"	95.5
"T1"	"M4"	"R1"	"S2"	94.4
"T1"	"M5"	"R1"	"S2"	103
"T1"	"M6"	"R1"	"S2"	102
"T1"	"M7"	"R1"	"S2"	89
"T1"	"M8"	"R1"	"S2"	104.6
"T2"	"M1"	"R1"	"S2"	112.2
"T2"	"M2"	"R1"	"S2"	100
"T2"	"M3"	"R1"	"S2"	92
"T2"	"M4"	"R1"	"S2"	103.2
"T2"	"M5"	"R1"	"S2"	96.1
"T2"	"M6"	"R1"	"S2"	100
"T2"	"M7"	"R1"	"S2"	100.8
"T2"	"M8"	"R1"	"S2"	102.5
"T3"	"M1"	"R1"	"S2"	95.2
"T3"	"M2"	"R1"	"S2"	96.2
"T3"	"M3"	"R1"	"S2"	85.5
"T3"	"M4"	"R1"	"S2"	90
"T3"	"M5"	"R1"	"S2"	100
"T3"	"M6"	"R1"	"S2"	93.5
"T3"	"M7"	"R1"	"S2"	93.4
"T3"	"M8"	"R1"	"S2"	103
"T4"	"M1"	"R1"	"S2"	105
"T4"	"M2"	"R1"	"S2"	92.5
"T4"	"M3"	"R1"	"S2"	95.2
"T4"	"M4"	"R1"	"S2"	103.6
"T4"	"M5"	"R1"	"S2"	93.5
"T4"	"M6"	"R1"	"S2"	102.8
"T4"	"M7"	"R1"	"S2"	93
"T4"	"M8"	"R1"	"S2"	106.4
"T1"	"M1"	"R2"	"S1"	112.3
"T1"	"M2"	"R2"	"S1"	113.3
