yield	rep	nitro	gen	col	row
2373	R1	0	G1	1	1
4076	R1	60	G1	3	1
7254	R1	120	G1	2	1
4007	R1	0	G2	1	3
5630	R1	60	G2	3	3
7053	R1	120	G2	2	3
2620	R1	0	G3	1	4
4676	R1	60	G3	3	4
7666	R1	120	G3	2	4
2726	R1	0	G4	1	2
4838	R1	60	G4	3	2
6881	R1	120	G4	2	2
4447	R1	0	G5	1	5
5549	R1	60	G5	3	5
6880	R1	120	G5	2	5
2572	R1	0	G6	1	6
3896	R1	60	G6	3	6
1556	R1	120	G6	2	6
3958	R2	0	G1	6	2
6431	R2	60	G1	5	2
6808	R2	120	G1	4	2
5795	R2	0	G2	6	5
7334	R2	60	G2	5	5
8284	R2	120	G2	4	5
4508	R2	0	G3	6	3
6672	R2	60	G3	5	3
7328	R2	120	G3	4	3
5630	R2	0	G4	6	6
7007	R2	60	G4	5	6
7735	R2	120	G4	4	6
3276	R2	0	G5	6	1
5340	R2	60	G5	5	1
5080	R2	120	G5	4	1
3724	R2	0	G6	6	4
2822	R2	60	G6	5	4
2706	R2	120	G6	4	4
4384	R3	0	G1	8	1
4889	R3	60	G1	9	1
8582	R3	120	G1	7	1
5001	R3	0	G2	8	5
7177	R3	60	G2	9	5
6297	R3	120	G2	7	5
5621	R3	0	G3	8	4
7019	R3	60	G3	9	4
8611	R3	120	G3	7	4
3821	R3	0	G4	8	3
4816	R3	60	G4	9	3
6667	R3	120	G4	7	3
4582	R3	0	G5	8	6
6011	R3	60	G5	9	6
6076	R3	120	G5	7	6
3326	R3	0	G6	8	2
4425	R3	60	G6	9	2
3214	R3	120	G6	7	2
