yield	planting	rep	nitro	gen	x	y
2373	P1	R1	0	G1	1	2
4007	P1	R1	0	G2	1	6
2620	P1	R1	0	G3	1	8
2726	P1	R1	0	G4	1	3
4447	P1	R1	0	G5	1	9
2572	P1	R1	0	G6	1	11
4076	P1	R1	60	G1	3	1
5630	P1	R1	60	G2	3	6
4676	P1	R1	60	G3	3	7
4838	P1	R1	60	G4	3	3
5549	P1	R1	60	G5	3	10
3896	P1	R1	60	G6	3	11
7254	P1	R1	120	G1	2	1
7053	P1	R1	120	G2	2	5
7666	P1	R1	120	G3	2	7
6881	P1	R1	120	G4	2	4
6880	P1	R1	120	G5	2	10
1556	P1	R1	120	G6	2	12
3958	P1	R2	0	G1	6	4
5795	P1	R2	0	G2	6	9
4508	P1	R2	0	G3	6	5
5630	P1	R2	0	G4	6	12
3276	P1	R2	0	G5	6	1
3724	P1	R2	0	G6	6	7
6431	P1	R2	60	G1	5	3
7334	P1	R2	60	G2	5	9
6672	P1	R2	60	G3	5	6
7007	P1	R2	60	G4	5	12
5340	P1	R2	60	G5	5	1
2822	P1	R2	60	G6	5	7
6808	P1	R2	120	G1	4	4
8284	P1	R2	120	G2	4	10
7328	P1	R2	120	G3	4	6
7735	P1	R2	120	G4	4	11
5080	P1	R2	120	G5	4	2
2706	P1	R2	120	G6	4	7
4384	P1	R3	0	G1	8	2
5001	P1	R3	0	G2	8	9
5621	P1	R3	0	G3	8	8
3821	P1	R3	0	G4	8	6
4582	P1	R3	0	G5	8	11
3326	P1	R3	0	G6	8	3
4889	P1	R3	60	G1	9	1
7177	P1	R3	60	G2	9	9
7019	P1	R3	60	G3	9	7
4816	P1	R3	60	G4	9	5
6011	P1	R3	60	G5	9	11
4425	P1	R3	60	G6	9	4
8582	P1	R3	120	G1	7	2
6297	P1	R3	120	G2	7	10
8611	P1	R3	120	G3	7	8
6667	P1	R3	120	G4	7	6
6076	P1	R3	120	G5	7	11
3214	P1	R3	120	G6	7	4
2293	P2	R1	0	G1	1	1
4035	P2	R1	0	G2	1	5
4527	P2	R1	0	G3	1	7
5274	P2	R1	0	G4	1	4
4655	P2	R1	0	G5	1	10
4535	P2	R1	0	G6	1	12
3085	P2	R1	60	G1	3	2
3728	P2	R1	60	G2	3	5
4946	P2	R1	60	G3	3	8
4878	P2	R1	60	G4	3	4
4646	P2	R1	60	G5	3	9
4627	P2	R1	60	G6	3	12
6661	P2	R1	120	G1	2	2
6440	P2	R1	120	G2	2	6
8632	P2	R1	120	G3	2	8
6545	P2	R1	120	G4	2	3
6995	P2	R1	120	G5	2	9
5374	P2	R1	120	G6	2	11
3528	P2	R2	0	G1	6	3
4885	P2	R2	0	G2	6	10
4866	P2	R2	0	G3	6	6
6200	P2	R2	0	G4	6	11
2796	P2	R2	0	G5	6	2
5457	P2	R2	0	G6	6	8
7502	P2	R2	60	G1	5	4
7424	P2	R2	60	G2	5	10
7611	P2	R2	60	G3	5	5
6928	P2	R2	60	G4	5	11
5006	P2	R2	60	G5	5	2
4461	P2	R2	60	G6	5	8
6353	P2	R2	120	G1	4	3
7648	P2	R2	120	G2	4	9
7101	P2	R2	120	G3	4	5
9838	P2	R2	120	G4	4	12
4486	P2	R2	120	G5	4	1
7218	P2	R2	120	G6	4	8
2538	P2	R3	0	G1	8	1
4583	P2	R3	0	G2	8	10
3628	P2	R3	0	G3	8	7
4038	P2	R3	0	G4	8	5
3739	P2	R3	0	G5	8	12
3537	P2	R3	0	G6	8	4
4362	P2	R3	60	G1	9	2
5377	P2	R3	60	G2	9	10
6142	P2	R3	60	G3	9	8
4829	P2	R3	60	G4	9	6
4666	P2	R3	60	G5	9	12
4774	P2	R3	60	G6	9	3
7759	P2	R3	120	G1	7	1
5736	P2	R3	120	G2	7	9
7416	P2	R3	120	G3	7	7
7253	P2	R3	120	G4	7	5
6564	P2	R3	120	G5	7	12
6369	P2	R3	120	G6	7	3
