season	nitrogen	rep	yield
dry	0	R1	4.891
dry	0	R2	2.577
dry	0	R3	4.541
dry	60	R1	6.009
dry	60	R2	6.625
dry	60	R3	5.672
dry	90	R1	6.712
dry	90	R2	6.693
dry	90	R3	6.799
dry	120	R1	6.458
dry	120	R2	6.675
dry	120	R3	6.639
dry	150	R1	5.683
dry	150	R2	6.868
dry	150	R3	5.692
wet	0	R1	4.999
wet	0	R2	3.503
wet	0	R3	5.356
wet	60	R1	6.351
wet	60	R2	6.316
wet	60	R3	6.582
wet	90	R1	6.071
wet	90	R2	5.969
wet	90	R3	5.893
wet	120	R1	4.818
wet	120	R2	4.024
wet	120	R3	5.813
wet	150	R1	3.436
wet	150	R2	4.047
wet	150	R3	3.740

