"row"	"col"	"yield"	"field"
1	1	5.1	"F1"
2	1	5.1	"F1"
3	1	6.4	"F1"
4	1	5.3	"F1"
5	1	5.55	"F1"
6	1	5.4	"F1"
7	1	6.15	"F1"
8	1	4.9	"F1"
9	1	5.3	"F1"
10	1	6.05	"F1"
11	1	6.7	"F1"
12	1	6.3	"F1"
13	1	6.3	"F1"
14	1	6.7	"F1"
15	1	5.25	"F1"
16	1	4.9	"F1"
17	1	NA	"F1"
18	1	4.8	"F1"
19	1	5.45	"F1"
20	1	5.85	"F1"
1	2	5.7	"F1"
2	2	4.5	"F1"
3	2	4.6	"F1"
4	2	3.95	"F1"
5	2	5.5	"F1"
6	2	4.05	"F1"
7	2	5.2	"F1"
8	2	6.1	"F1"
9	2	5.75	"F1"
10	2	5.25	"F1"
11	2	5	"F1"
12	2	5.5	"F1"
13	2	4.85	"F1"
14	2	5.2	"F1"
15	2	5.3	"F1"
16	2	5.85	"F1"
17	2	5.45	"F1"
18	2	6	"F1"
19	2	NA	"F1"
20	2	7	"F1"
1	3	3.9	"F1"
2	3	4	"F1"
3	3	4.7	"F1"
4	3	4.35	"F1"
5	3	5.25	"F1"
6	3	4.7	"F1"
7	3	4.2	"F1"
8	3	5.1	"F1"
9	3	6.5	"F1"
10	3	6.3	"F1"
11	3	5.95	"F1"
12	3	4.5	"F1"
13	3	5.25	"F1"
14	3	5.95	"F1"
15	3	6.05	"F1"
16	3	5.95	"F1"
17	3	NA	"F1"
18	3	4.55	"F1"
19	3	7.1	"F1"
20	3	5.5	"F1"
1	4	4.4	"F1"
2	4	4.5	"F1"
3	4	5	"F1"
4	4	4.1	"F1"
5	4	4.35	"F1"
6	4	6.7	"F1"
7	4	5.05	"F1"
8	4	6.1	"F1"
9	4	5.4	"F1"
10	4	5.4	"F1"
11	4	6.6	"F1"
12	4	6.25	"F1"
13	4	5.95	"F1"
14	4	5.7	"F1"
15	4	5.55	"F1"
16	4	5.6	"F1"
17	4	5.9	"F1"
18	4	6.35	"F1"
19	4	6.1	"F1"
20	4	5.2	"F1"
1	5	6.2	"F1"
2	5	5	"F1"
3	5	6	"F1"
4	5	5.1	"F1"
5	5	4.75	"F1"
6	5	4.95	"F1"
7	5	6.05	"F1"
8	5	5.9	"F1"
9	5	6.2	"F1"
10	5	5.95	"F1"
11	5	5.25	"F1"
12	5	5.7	"F1"
13	5	6.85	"F1"
14	5	6.7	"F1"
15	5	6.2	"F1"
16	5	5.85	"F1"
17	5	7.8	"F1"
18	5	5.8	"F1"
19	5	6.15	"F1"
20	5	5.95	"F1"
1	6	5.1	"F1"
2	6	4.8	"F1"
3	6	5.2	"F1"
4	6	5.5	"F1"
5	6	6.2	"F1"
6	6	4.3	"F1"
7	6	5	"F1"
8	6	5.6	"F1"
9	6	5.4	"F1"
10	6	5.15	"F1"
11	6	6.15	"F1"
12	6	5.4	"F1"
13	6	5.25	"F1"
14	6	6.4	"F1"
15	6	6.2	"F1"
16	6	6.4	"F1"
17	6	6.7	"F1"
18	6	6.15	"F1"
19	6	6.15	"F1"
20	6	6.15	"F1"
1	7	5.2	"F1"
2	7	5	"F1"
3	7	5.65	"F1"
4	7	5.9	"F1"
5	7	5.5	"F1"
6	7	5.9	"F1"
7	7	5.75	"F1"
8	7	5.95	"F1"
9	7	5.7	"F1"
10	7	6.4	"F1"
11	7	6.2	"F1"
12	7	6.6	"F1"
13	7	6.4	"F1"
14	7	6.4	"F1"
15	7	5.8	"F1"
16	7	5.95	"F1"
17	7	7	"F1"
18	7	7.15	"F1"
19	7	6.5	"F1"
20	7	5.75	"F1"
1	8	6.7	"F1"
2	8	6.2	"F1"
3	8	5.65	"F1"
4	8	5.7	"F1"
