"row"	"column"	"yield"
20	1	185
19	1	169
18	1	216
17	1	165
16	1	133
15	1	195
14	1	187
13	1	157
12	1	189
11	1	147
10	1	124
9	1	170
8	1	189
7	1	99
6	1	179
5	1	115
4	1	122
3	1	164
2	1	103
1	1	121
20	2	162
19	2	205
18	2	154
17	2	157
16	2	128
15	2	180
14	2	174
13	2	182
12	2	108
11	2	178
10	2	130
9	2	140
8	2	194
7	2	118
6	2	172
5	2	148
4	2	163
3	2	142
2	2	131
1	2	154
20	3	136
19	3	129
18	3	184
17	3	180
16	3	161
15	3	158
14	3	172
13	3	209
12	3	188
11	3	189
10	3	112
9	3	156
8	3	146
7	3	150
6	3	192
5	3	195
4	3	144
3	3	155
2	3	180
1	3	148
20	4	157
19	4	117
18	4	203
17	4	165
16	4	160
15	4	139
14	4	191
13	4	136
12	4	149
11	4	141
10	4	122
9	4	199
8	4	22
7	4	151
6	4	171
5	4	154
4	4	147
3	4	147
2	4	142
1	4	91
20	5	141
19	5	144
18	5	166
17	5	127
16	5	167
15	5	139
14	5	155
13	5	153
12	5	178
11	5	173
10	5	192
9	5	181
8	5	160
7	5	83
6	5	151
5	5	149
4	5	123
3	5	115
2	5	191
1	5	93
20	6	130
19	6	125
18	6	155
17	6	186
16	6	156
15	6	168
14	6	169
13	6	160
12	6	171
11	6	187
10	6	155
9	6	181
8	6	107
7	6	136
6	6	142
5	6	139
4	6	160
3	6	143
2	6	175
1	6	74
20	7	129
19	7	165
18	7	215
17	7	133
16	7	125
15	7	145
14	7	139
13	7	142
12	7	151
11	7	167
10	7	196
9	7	150
8	7	70
7	7	171
6	7	193
5	7	163
4	7	137
3	7	68
2	7	146
1	7	113
20	8	176
19	8	170
18	8	190
17	8	170
16	8	162
15	8	166
14	8	144
13	8	179
12	8	192
11	8	128
10	8	179
9	8	184
8	8	84
7	8	191
6	8	174
5	8	118
4	8	161
3	8	184
2	8	181
1	8	79
20	9	171
19	9	153
18	9	164
17	9	134
16	9	128
15	9	118
14	9	130
13	9	125
12	9	127
11	9	139
10	9	166
9	9	154
8	9	112
7	9	155
6	9	146
5	9	126
4	9	122
3	9	183
2	9	111
1	9	131
20	10	190
19	10	186
18	10	204
17	10	177
16	10	103
15	10	171
14	10	146
13	10	149
12	10	148
11	10	152
10	10	156
9	10	200
8	10	162
7	10	164
6	10	180
5	10	127
4	10	101
3	10	167
2	10	110
1	10	119
20	11	157
19	11	164
18	11	194
17	11	109
16	11	116
15	11	143
14	11	159
13	11	171
12	11	158
11	11	167
10	11	131
9	11	187
8	11	124
7	11	98
6	11	140
5	11	139
4	11	158
3	11	160
2	11	154
1	11	96
20	12	147
19	12	123
18	12	148
17	12	169
16	12	87
15	12	132
14	12	164
13	12	186
12	12	174
11	12	131
10	12	179
9	12	169
8	12	156
7	12	136
6	12	137
5	12	174
4	12	103
3	12	138
2	12	176
1	12	80
20	13	176
19	13	165
18	13	162
17	13	128
16	13	123
15	13	126
14	13	160
13	13	196
12	13	191
11	13	203
10	13	201
9	13	155
8	13	138
7	13	115
6	13	138
5	13	167
4	13	119
3	13	191
2	13	168
1	13	97
20	14	126
19	14	203
18	14	146
17	14	152
16	14	143
15	14	171
14	14	122
13	14	175
12	14	134
11	14	231
10	14	122
9	14	107
8	14	101
7	14	168
6	14	194
5	14	175
4	14	164
3	14	133
2	14	175
1	14	98
20	15	175
19	15	156
18	15	174
17	15	165
16	15	130
15	15	176
14	15	175
13	15	189
12	15	188
11	15	214
10	15	207
9	15	143
8	15	138
7	15	130
6	15	109
5	15	179
4	15	112
3	15	160
2	15	175
1	15	106
20	16	134
19	16	182
18	16	185
17	16	139
16	16	119
15	16	115
14	16	156
13	16	214
12	16	248
11	16	177
10	16	189
9	16	145
8	16	141
7	16	111
6	16	120
5	16	172
4	16	57
3	16	156
2	16	146
1	16	107
20	17	169
19	17	164
18	17	171
17	17	146
16	17	141
15	17	165
14	17	119
13	17	169
12	17	164
11	17	161
10	17	164
9	17	190
8	17	143
7	17	136
6	17	124
5	17	174
4	17	94
3	17	122
2	17	148
1	17	69
20	18	189
19	18	176
18	18	181
17	18	144
16	18	174
15	18	147
14	18	135
13	18	166
12	18	206
11	18	194
10	18	131
9	18	176
8	18	135
7	18	129
6	18	126
5	18	167
4	18	106
3	18	111
2	18	167
1	18	86
20	19	180
19	19	176
18	19	158
17	19	178
16	19	157
15	19	186
14	19	116
13	19	164
12	19	185
11	19	141
10	19	211
9	19	162
8	19	163
7	19	122
6	19	126
5	19	142
4	19	132
3	19	153
2	19	106
1	19	94
20	20	128
19	20	150
18	20	147
17	20	188
16	20	168
15	20	157
14	20	134
13	20	195
12	20	192
11	20	161
10	20	172
9	20	123
8	20	183
7	20	120
6	20	147
5	20	169
4	20	122
3	20	148
2	20	123
1	20	129
