day	weight
1	55
1	53
1	56
1	63
1	66
1	58
1	53
1	57
1	61
1	53
2	59
2	62
2	56
2	51
2	61
2	75
2	57
2	60
2	55
2	74
3	55
3	61
3	62
3	55
3	64
3	59
3	60
3	65
3	66
3	70
4	74
4	44
4	60
4	63
4	56
4	51
4	63
4	55
4	58
4	68
5	55
5	57
5	63
5	67
5	61
5	64
5	65
5	57
5	55
5	58
6	62
6	62
6	54
6	59
6	61
6	56
6	54
6	68
6	57
6	55
7	50
7	53
7	58
7	57
7	58
7	56
7	68
7	57
7	61
7	56
8	61
8	58
8	61
8	50
8	60
8	61
8	54
8	63
8	69
8	53
9	59
9	50
9	55
9	51
9	75
9	57
9	63
9	95
9	78
9	60
10	64
10	62
10	55
10	53
10	60
10	55
10	56
10	71
10	60
10	57
11	58
11	93
11	60
11	60
11	57
11	63
11	60
11	53
11	63
11	54
12	56
12	57
12	58
12	62
12	55
12	57
12	63
12	53
12	55
12	64
13	55
13	51
13	61
13	52
13	61
13	55
13	61
13	51
13	63
13	55
14	60
14	64
14	57
14	58
14	66
14	59
14	57
14	61
14	56
14	63
15	98
15	63
15	56
15	62
15	67
15	62
15	52
15	50
15	57
15	66
16	64
16	66
16	64
16	65
16	55
16	67
16	62
16	59
16	54
16	51
17	52
17	60
17	57
17	65
17	65
17	57
17	65
17	54
17	60
17	64
18	64
18	61
18	69
18	61
18	54
18	55
18	60
18	62
18	54
18	60
19	67
19	61
19	59
19	60
19	61
19	62
19	71
19	56
19	56
19	54
20	65
20	65
20	63
20	63
20	60
20	55
20	54
20	56
20	55
20	60
21	65
21	60
21	66
21	60
21	56
21	70
21	60
21	54
21	64
21	63
22	58
22	64
22	58
22	64
22	103
22	65
22	64
22	67
22	51
22	60
23	64
23	63
23	64
23	55
23	57
23	64
23	55
23	63
23	56
23	49
24	66
24	57
24	70
24	59
24	55
24	54
24	62
24	61
24	59
24	69
