env	gen	yield
E01	G1	43.60
E02	G1	40.40
E03	G1	18.08
E04	G1	19.57
E05	G1	45.20
E06	G1	25.78
E07	G1	55.20
E08	G1	55.32
E09	G1	19.79
E10	G1	46.24
E11	G1	14.88
E12	G1	7.52
E13	G1	41.17
E01	G2	24.05
E02	G2	21.76
E03	G2	14.19
E04	G2	18.61
E05	G2	29.33
E06	G2	25.60
E07	G2	38.77
E08	G2	34.19
E09	G2	21.65
E10	G2	31.52
E11	G2	15.68
E12	G2	4.69
E13	G2	32.59
E01	G3	19.47
E02	G3	16.61
E03	G3	16.60
E04	G3	17.78
E05	G3	20.19
E06	G3	23.31
E07	G3	21.15
E08	G3	18.56
E09	G3	23.31
E10	G3	22.48
E11	G3	19.79
E12	G3	20.53
E13	G3	29.25
E01	G4	19.41
E02	G4	23.84
E03	G4	16.08
E04	G4	18.29
E05	G4	30.08
E06	G4	27.04
E07	G4	39.95
E08	G4	25.12
E09	G4	22.45
E10	G4	29.28
E11	G4	22.56
E12	G4	22.08
E13	G4	43.95
