"yield"	"year"	"nitrogen"	"date"	"water"	"spacing"
0.99	"Y1"	"N0"	"D1"	"I1"	"S1"
1.34	"Y1"	"N0"	"D1"	"I1"	"S2"
1.26	"Y1"	"N0"	"D1"	"I1"	"S3"
1.44	"Y1"	"N0"	"D1"	"I2"	"S1"
1.4	"Y1"	"N0"	"D1"	"I2"	"S2"
1.36	"Y1"	"N0"	"D1"	"I2"	"S3"
1.23	"Y1"	"N0"	"D1"	"I3"	"S1"
1.28	"Y1"	"N0"	"D1"	"I3"	"S2"
1.56	"Y1"	"N0"	"D1"	"I3"	"S3"
1.64	"Y1"	"N0"	"D2"	"I1"	"S1"
1.72	"Y1"	"N0"	"D2"	"I1"	"S2"
1.8	"Y1"	"N0"	"D2"	"I1"	"S3"
1.79	"Y1"	"N0"	"D2"	"I2"	"S1"
2.12	"Y1"	"N0"	"D2"	"I2"	"S2"
1.92	"Y1"	"N0"	"D2"	"I2"	"S3"
1.85	"Y1"	"N0"	"D2"	"I3"	"S1"
2.06	"Y1"	"N0"	"D2"	"I3"	"S2"
2.1	"Y1"	"N0"	"D2"	"I3"	"S3"
1.96	"Y1"	"N0"	"D3"	"I1"	"S1"
1.85	"Y1"	"N0"	"D3"	"I1"	"S2"
1.4	"Y1"	"N0"	"D3"	"I1"	"S3"
1.82	"Y1"	"N0"	"D3"	"I2"	"S1"
1.89	"Y1"	"N0"	"D3"	"I2"	"S2"
1.83	"Y1"	"N0"	"D3"	"I2"	"S3"
1.98	"Y1"	"N0"	"D3"	"I3"	"S1"
1.82	"Y1"	"N0"	"D3"	"I3"	"S2"
1.63	"Y1"	"N0"	"D3"	"I3"	"S3"
1.51	"Y1"	"N0"	"D4"	"I1"	"S1"
1.3	"Y1"	"N0"	"D4"	"I1"	"S2"
1.16	"Y1"	"N0"	"D4"	"I1"	"S3"
1.6	"Y1"	"N0"	"D4"	"I2"	"S1"
1.61	"Y1"	"N0"	"D4"	"I2"	"S2"
1.16	"Y1"	"N0"	"D4"	"I2"	"S3"
1.83	"Y1"	"N0"	"D4"	"I3"	"S1"
1.41	"Y1"	"N0"	"D4"	"I3"	"S2"
1.27	"Y1"	"N0"	"D4"	"I3"	"S3"
2.15	"Y1"	"N1"	"D1"	"I1"	"S1"
2.14	"Y1"	"N1"	"D1"	"I1"	"S2"
2.13	"Y1"	"N1"	"D1"	"I1"	"S3"
3.01	"Y1"	"N1"	"D1"	"I2"	"S1"
