"tiller"	"trt"	"block"	"unit"
31	"T1"	"R1"	"S1"
46	"T2"	"R1"	"S1"
41	"T3"	"R1"	"S1"
42	"T4"	"R1"	"S1"
48	"T5"	"R1"	"S1"
65	"T6"	"R1"	"S1"
55	"T7"	"R1"	"S1"
60	"T8"	"R1"	"S1"
77	"T9"	"R1"	"S1"
24	"T1"	"R1"	"S2"
44	"T2"	"R1"	"S2"
46	"T3"	"R1"	"S2"
48	"T4"	"R1"	"S2"
66	"T5"	"R1"	"S2"
60	"T6"	"R1"	"S2"
42	"T7"	"R1"	"S2"
58	"T8"	"R1"	"S2"
65	"T9"	"R1"	"S2"
26	"T1"	"R1"	"S3"
35	"T2"	"R1"	"S3"
60	"T3"	"R1"	"S3"
41	"T4"	"R1"	"S3"
57	"T5"	"R1"	"S3"
55	"T6"	"R1"	"S3"
67	"T7"	"R1"	"S3"
55	"T8"	"R1"	"S3"
77	"T9"	"R1"	"S3"
20	"T1"	"R1"	"S4"
45	"T2"	"R1"	"S4"
48	"T3"	"R1"	"S4"
52	"T4"	"R1"	"S4"
50	"T5"	"R1"	"S4"
41	"T6"	"R1"	"S4"
51	"T7"	"R1"	"S4"
47	"T8"	"R1"	"S4"
45	"T9"	"R1"	"S4"
25	"T1"	"R2"	"S1"
60	"T2"	"R2"	"S1"
47	"T3"	"R2"	"S1"
67	"T4"	"R2"	"S1"
48	"T5"	"R2"	"S1"
53	"T6"	"R2"	"S1"
44	"T7"	"R2"	"S1"
42	"T8"	"R2"	"S1"
52	"T9"	"R2"	"S1"
23	"T1"	"R2"	"S2"
58	"T2"	"R2"	"S2"
38	"T3"	"R2"	"S2"
63	"T4"	"R2"	"S2"
74	"T5"	"R2"	"S2"
49	"T6"	"R2"	"S2"
48	"T7"	"R2"	"S2"
55	"T8"	"R2"	"S2"
45	"T9"	"R2"	"S2"
26	"T1"	"R2"	"S3"
40	"T2"	"R2"	"S3"
41	"T3"	"R2"	"S3"
74	"T4"	"R2"	"S3"
53	"T5"	"R2"	"S3"
57	"T6"	"R2"	"S3"
74	"T7"	"R2"	"S3"
66	"T8"	"R2"	"S3"
43	"T9"	"R2"	"S3"
31	"T1"	"R2"	"S4"
44	"T2"	"R2"	"S4"
68	"T3"	"R2"	"S4"
51	"T4"	"R2"	"S4"
48	"T5"	"R2"	"S4"
52	"T6"	"R2"	"S4"
55	"T7"	"R2"	"S4"
62	"T8"	"R2"	"S4"
50	"T9"	"R2"	"S4"
33	"T1"	"R3"	"S1"
68	"T2"	"R3"	"S1"
50	"T3"	"R3"	"S1"
78	"T4"	"R3"	"S1"
54	"T5"	"R3"	"S1"
72	"T6"	"R3"	"S1"
78	"T7"	"R3"	"S1"
44	"T8"	"R3"	"S1"
66	"T9"	"R3"	"S1"
25	"T1"	"R3"	"S2"
62	"T2"	"R3"	"S2"
46	"T3"	"R3"	"S2"
58	"T4"	"R3"	"S2"
40	"T5"	"R3"	"S2"
55	"T6"	"R3"	"S2"
50	"T7"	"R3"	"S2"
55	"T8"	"R3"	"S2"
57	"T9"	"R3"	"S2"
34	"T1"	"R3"	"S3"
60	"T2"	"R3"	"S3"
53	"T3"	"R3"	"S3"
72	"T4"	"R3"	"S3"
47	"T5"	"R3"	"S3"
44	"T6"	"R3"	"S3"
77	"T7"	"R3"	"S3"
62	"T8"	"R3"	"S3"
55	"T9"	"R3"	"S3"
22	"T1"	"R3"	"S4"
60	"T2"	"R3"	"S4"
52	"T3"	"R3"	"S4"
71	"T4"	"R3"	"S4"
60	"T5"	"R3"	"S4"
53	"T6"	"R3"	"S4"
51	"T7"	"R3"	"S4"
72	"T8"	"R3"	"S4"
59	"T9"	"R3"	"S4"
38	"T1"	"R4"	"S1"
38	"T2"	"R4"	"S1"
49	"T3"	"R4"	"S1"
55	"T4"	"R4"	"S1"
52	"T5"	"R4"	"S1"
61	"T6"	"R4"	"S1"
70	"T7"	"R4"	"S1"
66	"T8"	"R4"	"S1"
51	"T9"	"R4"	"S1"
40	"T1"	"R4"	"S2"
55	"T2"	"R4"	"S2"
63	"T3"	"R4"	"S2"
39	"T4"	"R4"	"S2"
50	"T5"	"R4"	"S2"
55	"T6"	"R4"	"S2"
78	"T7"	"R4"	"S2"
75	"T8"	"R4"	"S2"
53	"T9"	"R4"	"S2"
39	"T1"	"R4"	"S3"
38	"T2"	"R4"	"S3"
55	"T3"	"R4"	"S3"
50	"T4"	"R4"	"S3"
38	"T5"	"R4"	"S3"
44	"T6"	"R4"	"S3"
68	"T7"	"R4"	"S3"
82	"T8"	"R4"	"S3"
48	"T9"	"R4"	"S3"
27	"T1"	"R4"	"S4"
62	"T2"	"R4"	"S4"
71	"T3"	"R4"	"S4"
60	"T4"	"R4"	"S4"
74	"T5"	"R4"	"S4"
50	"T6"	"R4"	"S4"
78	"T7"	"R4"	"S4"
64	"T8"	"R4"	"S4"
47	"T9"	"R4"	"S4"
