"loc"	"gen"	"rep"	"dmr"
"L1"	"G1"	"R1"	2
"L1"	"G1"	"R2"	2.5
"L1"	"G2"	"R1"	1.5
"L1"	"G2"	"R2"	2
"L1"	"G3"	"R1"	1
"L1"	"G3"	"R2"	2
"L1"	"G4"	"R1"	1
"L1"	"G4"	"R2"	3
"L1"	"G5"	"R1"	1
"L1"	"G5"	"R2"	1.5
"L1"	"G6"	"R1"	2.5
"L1"	"G6"	"R2"	2.5
"L1"	"G7"	"R1"	3.5
"L1"	"G7"	"R2"	2.5
"L1"	"G8"	"R1"	3.5
"L1"	"G8"	"R2"	3
"L1"	"G9"	"R1"	3
"L1"	"G9"	"R2"	3.5
"L1"	"G10"	"R1"	4
"L1"	"G10"	"R2"	4.5
"L1"	"G11"	"R1"	2.5
"L1"	"G11"	"R2"	2.5
"L1"	"G12"	"R1"	3
"L1"	"G12"	"R2"	3
"L1"	"G13"	"R1"	1
"L1"	"G13"	"R2"	2.5
"L1"	"G14"	"R1"	0.5
"L1"	"G14"	"R2"	2
"L1"	"G15"	"R1"	1
"L1"	"G15"	"R2"	2.5
"L1"	"G16"	"R1"	2.5
"L1"	"G16"	"R2"	3
"L1"	"G17"	"R1"	4
"L1"	"G17"	"R2"	4
"L1"	"G18"	"R1"	3.5
"L1"	"G18"	"R2"	3.5
"L1"	"G19"	"R1"	3
"L1"	"G19"	"R2"	2.5
"L1"	"G20"	"R1"	4.5
"L1"	"G20"	"R2"	4
"L1"	"G21"	"R1"	4
"L1"	"G21"	"R2"	3.5
"L1"	"G22"	"R1"	3
"L1"	"G22"	"R2"	2
"L1"	"G23"	"R1"	4
"L1"	"G23"	"R2"	3.5
"L1"	"G24"	"R1"	2
"L1"	"G24"	"R2"	2.5
"L1"	"G25"	"R1"	3.5
"L1"	"G25"	"R2"	3.5
"L1"	"G26"	"R1"	3.5
"L1"	"G26"	"R2"	3
"L1"	"G27"	"R1"	2.5
"L1"	"G27"	"R2"	2.5
"L1"	"G28"	"R1"	3
"L1"	"G28"	"R2"	2
"L1"	"G29"	"R1"	3
"L1"	"G29"	"R2"	2
"L1"	"G30"	"R1"	3.5
"L1"	"G30"	"R2"	2
"L1"	"G31"	"R1"	2
"L1"	"G31"	"R2"	1.5
"L1"	"G32"	"R1"	2
"L1"	"G32"	"R2"	2
"L1"	"G33"	"R1"	3
"L1"	"G33"	"R2"	3.5
"L1"	"G34"	"R1"	3
"L1"	"G34"	"R2"	3.5
"L1"	"G35"	"R1"	3.5
"L1"	"G35"	"R2"	3
"L1"	"G36"	"R1"	4
"L1"	"G36"	"R2"	2.5
"L1"	"G37"	"R1"	2.5
"L1"	"G37"	"R2"	2.5
"L1"	"G39"	"R1"	3.5
"L1"	"G39"	"R2"	2
"L1"	"G40"	"R1"	3.5
"L1"	"G40"	"R2"	2.5
"L1"	"G41"	"R1"	3.5
"L1"	"G41"	"R2"	2
"L1"	"G42"	"R1"	3
"L1"	"G42"	"R2"	3
"L1"	"G43"	"R1"	3.5
"L1"	"G43"	"R2"	2.5
"L1"	"G44"	"R1"	2.5
"L1"	"G44"	"R2"	3
"L1"	"G45"	"R1"	3.5
"L1"	"G45"	"R2"	2
"L1"	"G46"	"R1"	3.5
"L1"	"G46"	"R2"	3
"L1"	"G47"	"R1"	3.5
"L1"	"G47"	"R2"	3
"L1"	"G49"	"R1"	3.5
"L1"	"G49"	"R2"	3
"L1"	"G50"	"R1"	4
"L1"	"G50"	"R2"	3.5
"L1"	"G51"	"R1"	3.5
"L1"	"G51"	"R2"	3.5
"L1"	"G52"	"R1"	3
"L1"	"G52"	"R2"	3.5
"L1"	"G53"	"R1"	3.5
"L1"	"G53"	"R2"	3.5
"L1"	"G54"	"R1"	3.5
"L1"	"G54"	"R2"	3
"L1"	"G55"	"R1"	4
"L1"	"G55"	"R2"	3
"L1"	"G56"	"R1"	4
"L1"	"G56"	"R2"	3
"L1"	"G57"	"R1"	3
"L1"	"G57"	"R2"	1.5
"L1"	"G58"	"R1"	3
"L1"	"G58"	"R2"	2
"L1"	"G59"	"R1"	3.5
"L1"	"G59"	"R2"	4
"L1"	"G60"	"R1"	3.5
"L1"	"G60"	"R2"	3.5
"L1"	"G61"	"R1"	3
"L1"	"G61"	"R2"	2.5
"L1"	"G62"	"R1"	4
"L1"	"G62"	"R2"	3.5
"L1"	"G63"	"R1"	3
"L1"	"G63"	"R2"	3
"L1"	"G64"	"R1"	4
"L1"	"G64"	"R2"	3
"L1"	"G65"	"R1"	2
"L1"	"G65"	"R2"	1.5
