block	row	subplot	gen	yield	irr	dir
B1	9	1	Luke	2.4	1	N
B1	9	2	Luke	2.7	2	N
B1	9	3	Luke	5.6	3	N
B1	9	4	Luke	7.5	4	N
B1	9	5	Luke	7.9	5	N
B1	9	6	Luke	7.1	6	N
B1	9	7	Luke	6.1	6	S
B1	9	8	Luke	7.3	5	S
B1	9	9	Luke	7.4	4	S
B1	9	10	Luke	6.7	3	S
B1	9	11	Luke	3.8	2	S
B1	9	12	Luke	1.8	1	S
B1	8	1	Nugaines	2.2	1	N
B1	8	2	Nugaines	2.2	2	N
B1	8	3	Nugaines	4.3	3	N
B1	8	4	Nugaines	6.3	4	N
B1	8	5	Nugaines	7.9	5	N
B1	8	6	Nugaines	7.1	6	N
B1	8	7	Nugaines	6.2	6	S
B1	8	8	Nugaines	5.3	5	S
B1	8	9	Nugaines	5.3	4	S
B1	8	10	Nugaines	5.2	3	S
B1	8	11	Nugaines	5.4	2	S
B1	8	12	Nugaines	2.9	1	S
B1	7	1	Bridger	2.9	1	N
B1	7	2	Bridger	3.2	2	N
B1	7	3	Bridger	5.1	3	N
B1	7	4	Bridger	6.9	4	N
B1	7	5	Bridger	6.1	5	N
B1	7	6	Bridger	7.5	6	N
B1	7	7	Bridger	5.6	6	S
B1	7	8	Bridger	6.5	5	S
B1	7	9	Bridger	6.6	4	S
B1	7	10	Bridger	5.3	3	S
B1	7	11	Bridger	4.1	2	S
B1	7	12	Bridger	3.1	1	S
B2	6	1	Nugaines	2.4	1	N
B2	6	2	Nugaines	2.2	2	N
B2	6	3	Nugaines	4	3	N
B2	6	4	Nugaines	5.8	4	N
B2	6	5	Nugaines	6.1	5	N
B2	6	6	Nugaines	6.2	6	N
B2	6	7	Nugaines	7	6	S
B2	6	8	Nugaines	6.4	5	S
B2	6	9	Nugaines	6.7	4	S
B2	6	10	Nugaines	6.4	3	S
B2	6	11	Nugaines	3.7	2	S
B2	6	12	Nugaines	2.2	1	S
B2	5	1	Bridger	2.6	1	N
B2	5	2	Bridger	3.1	2	N
B2	5	3	Bridger	5.7	3	N
B2	5	4	Bridger	6.4	4	N
B2	5	5	Bridger	7.7	5	N
B2	5	6	Bridger	6.8	6	N
B2	5	7	Bridger	6.3	6	S
B2	5	8	Bridger	6.2	5	S
B2	5	9	Bridger	6.6	4	S
B2	5	10	Bridger	6.5	3	S
B2	5	11	Bridger	4.2	2	S
B2	5	12	Bridger	2.7	1	S
B2	4	1	Luke	2.2	1	N
B2	4	2	Luke	2.7	2	N
B2	4	3	Luke	4.3	3	N
B2	4	4	Luke	6.9	4	N
B2	4	5	Luke	6.8	5	N
B2	4	6	Luke	8	6	N
B2	4	7	Luke	6.5	6	S
B2	4	8	Luke	7.3	5	S
B2	4	9	Luke	5.9	4	S
B2	4	10	Luke	6.6	3	S
B2	4	11	Luke	3	2	S
B2	4	12	Luke	2	1	S
B3	3	1	Nugaines	1.8	1	N
B3	3	2	Nugaines	1.9	2	N
B3	3	3	Nugaines	3.7	3	N
B3	3	4	Nugaines	4.9	4	N
B3	3	5	Nugaines	5.4	5	N
B3	3	6	Nugaines	5.1	6	N
B3	3	7	Nugaines	5.7	6	S
B3	3	8	Nugaines	5	5	S
B3	3	9	Nugaines	5.6	4	S
B3	3	10	Nugaines	5.1	3	S
B3	3	11	Nugaines	4.2	2	S
B3	3	12	Nugaines	2.2	1	S
B3	2	1	Luke	2.1	1	N
B3	2	2	Luke	2.3	2	N
B3	2	3	Luke	3.7	3	N
B3	2	4	Luke	5.8	4	N
B3	2	5	Luke	6.3	5	N
B3	2	6	Luke	6.3	6	N
B3	2	7	Luke	6.5	6	S
B3	2	8	Luke	5.7	5	S
B3	2	9	Luke	5.8	4	S
B3	2	10	Luke	4.5	3	S
B3	2	11	Luke	2.7	2	S
B3	2	12	Luke	2.3	1	S
B3	1	1	Bridger	2.7	1	N
B3	1	2	Bridger	2.8	2	N
B3	1	3	Bridger	4	3	N
B3	1	4	Bridger	5	4	N
B3	1	5	Bridger	5.2	5	N
B3	1	6	Bridger	5.2	6	N
B3	1	7	Bridger	5.9	6	S
B3	1	8	Bridger	6.1	5	S
B3	1	9	Bridger	6	4	S
B3	1	10	Bridger	4.3	3	S
B3	1	11	Bridger	3.1	2	S
B3	1	12	Bridger	3.1	1	S
