"field"	"year"	"crop"	"yield"	"row"	"col"
"A2"	1907	"oats"	102	1	1
"A2"	1907	"oats"	95	2	1
"A2"	1907	"oats"	91	3	1
"A2"	1907	"oats"	97	4	1
"A2"	1907	"oats"	95	5	1
"A2"	1907	"oats"	100	1	2
"A2"	1907	"oats"	105	2	2
"A2"	1907	"oats"	102	3	2
"A2"	1907	"oats"	104	4	2
"A2"	1907	"oats"	99	5	2
"A2"	1907	"oats"	102	1	3
"A2"	1907	"oats"	98	2	3
"A2"	1907	"oats"	100	3	3
"A2"	1907	"oats"	99	4	3
"A2"	1907	"oats"	100	5	3
"A2"	1907	"oats"	103	1	4
"A2"	1907	"oats"	99	2	4
"A2"	1907	"oats"	103	3	4
"A2"	1907	"oats"	93	4	4
"A2"	1907	"oats"	98	5	4
"A2"	1907	"oats"	104	1	5
"A2"	1907	"oats"	106	2	5
"A2"	1907	"oats"	108	3	5
"A2"	1907	"oats"	101	4	5
"A2"	1907	"oats"	100	5	5
"A2"	1907	"oats"	106	1	6
"A2"	1907	"oats"	105	2	6
"A2"	1907	"oats"	107	3	6
"A2"	1907	"oats"	92	4	6
"A2"	1907	"oats"	86	5	6
"A2"	1908	"rye"	112	1	1
"A2"	1908	"rye"	88	2	1
"A2"	1908	"rye"	90	3	1
"A2"	1908	"rye"	91	4	1
"A2"	1908	"rye"	91	5	1
"A2"	1908	"rye"	98	1	2
"A2"	1908	"rye"	115	2	2
"A2"	1908	"rye"	109	3	2
"A2"	1908	"rye"	109	4	2
"A2"	1908	"rye"	97	5	2
"A2"	1908	"rye"	108	1	3
"A2"	1908	"rye"	104	2	3
"A2"	1908	"rye"	96	3	3
"A2"	1908	"rye"	98	4	3
"A2"	1908	"rye"	97	5	3
"A2"	1908	"rye"	112	1	4
"A2"	1908	"rye"	117	2	4
"A2"	1908	"rye"	108	3	4
"A2"	1908	"rye"	92	4	4
"A2"	1908	"rye"	99	5	4
"A2"	1908	"rye"	99	1	5
"A2"	1908	"rye"	113	2	5
"A2"	1908	"rye"	108	3	5
"A2"	1908	"rye"	96	4	5
"A2"	1908	"rye"	97	5	5
"A2"	1908	"rye"	103	1	6
"A2"	1908	"rye"	110	2	6
"A2"	1908	"rye"	84	3	6
"A2"	1908	"rye"	79	4	6
"A2"	1908	"rye"	80	5	6
"A2"	1909	"barley"	102	1	1
"A2"	1909	"barley"	104	2	1
"A2"	1909	"barley"	98	3	1
"A2"	1909	"barley"	98	4	1
"A2"	1909	"barley"	98	5	1
"A2"	1909	"barley"	93	1	2
"A2"	1909	"barley"	94	2	2
"A2"	1909	"barley"	102	3	2
"A2"	1909	"barley"	102	4	2
"A2"	1909	"barley"	104	5	2
"A2"	1909	"barley"	95	1	3
"A2"	1909	"barley"	101	2	3
"A2"	1909	"barley"	106	3	3
"A2"	1909	"barley"	105	4	3
"A2"	1909	"barley"	104	5	3
"A2"	1909	"barley"	101	1	4
"A2"	1909	"barley"	98	2	4
"A2"	1909	"barley"	104	3	4
"A2"	1909	"barley"	102	4	4
"A2"	1909	"barley"	96	5	4
"A2"	1909	"barley"	101	1	5
"A2"	1909	"barley"	99	2	5
"A2"	1909	"barley"	96	3	5
"A2"	1909	"barley"	106	4	5
"A2"	1909	"barley"	107	5	5
"A2"	1909	"barley"	102	1	6
"A2"	1909	"barley"	102	2	6
"A2"	1909	"barley"	95	3	6
"A2"	1909	"barley"	94	4	6
"A2"	1909	"barley"	91	5	6
"A2"	1910	"mangolds"	112	1	1
"A2"	1910	"mangolds"	91	2	1
"A2"	1910	"mangolds"	86	3	1
"A2"	1910	"mangolds"	86	4	1
"A2"	1910	"mangolds"	80	5	1
"A2"	1910	"mangolds"	105	1	2
"A2"	1910	"mangolds"	114	2	2
"A2"	1910	"mangolds"	101	3	2
"A2"	1910	"mangolds"	109	4	2
"A2"	1910	"mangolds"	84	5	2
"A2"	1910	"mangolds"	104	1	3
"A2"	1910	"mangolds"	111	2	3
"A2"	1910	"mangolds"	94	3	3
"A2"	1910	"mangolds"	102	4	3
"A2"	1910	"mangolds"	91	5	3
"A2"	1910	"mangolds"	108	1	4
"A2"	1910	"mangolds"	115	2	4
"A2"	1910	"mangolds"	102	3	4
"A2"	1910	"mangolds"	98	4	4
"A2"	1910	"mangolds"	93	5	4
"A2"	1910	"mangolds"	103	1	5
"A2"	1910	"mangolds"	112	2	5
"A2"	1910	"mangolds"	102	3	5
"A2"	1910	"mangolds"	110	4	5
"A2"	1910	"mangolds"	110	5	5
"A2"	1910	"mangolds"	99	1	6
"A2"	1910	"mangolds"	98	2	6
"A2"	1910	"mangolds"	95	3	6
"A2"	1910	"mangolds"	93	4	6
