"row"	"col"	"yield"
1	1	489
2	1	506
3	1	533
4	1	584
5	1	512
6	1	522
7	1	540
8	1	509
9	1	534
10	1	621
11	1	618
12	1	563
13	1	579
14	1	632
15	1	618
16	1	684
17	1	539
18	1	573
19	1	690
20	1	682
21	1	607
22	1	546
23	1	597
24	1	584
25	1	570
26	1	560
27	1	552
28	1	568
29	1	556
30	1	471
31	1	503
32	1	549
33	1	535
34	1	564
35	1	528
36	1	538
37	1	526
38	1	542
39	1	596
40	1	565
41	1	539
42	1	498
43	1	618
44	1	520
45	1	583
46	1	558
47	1	611
48	1	542
49	1	503
50	1	572
51	1	607
52	1	552
53	1	479
54	1	510
55	1	466
56	1	545
57	1	545
58	1	545
59	1	534
60	1	543
61	1	557
62	1	567
63	1	494
64	1	419
65	1	471
66	1	511
67	1	471
68	1	442
69	1	502
70	1	508
71	1	472
72	1	545
73	1	579
74	1	504
75	1	539
76	1	542
77	1	523
78	1	528
79	1	445
80	1	412
81	1	471
82	1	465
83	1	441
84	1	581
85	1	547
86	1	505
87	1	542
88	1	547
89	1	474
90	1	472
91	1	527
92	1	473
93	1	446
94	1	552
95	1	499
96	1	470
97	1	533
98	1	524
99	1	542
100	1	523
101	1	545
102	1	462
103	1	470
104	1	454
1	2	581
2	2	599
3	2	594
4	2	580
5	2	591
6	2	593
7	2	638
8	2	626
9	2	623
10	2	622
11	2	629
12	2	688
13	2	652
14	2	643
15	2	699
16	2	714
17	2	556
18	2	610
19	2	753
20	2	743
21	2	710
22	2	684
23	2	662
24	2	645
25	2	630
26	2	606
27	2	604
28	2	614
29	2	624
30	2	626
31	2	568
32	2	630
33	2	597
34	2	696
35	2	634
36	2	658
37	2	637
38	2	661
39	2	657
40	2	653
41	2	669
42	2	677
43	2	618
44	2	689
45	2	722
46	2	716
47	2	685
48	2	556
49	2	666
50	2	642
51	2	665
52	2	619
53	2	627
54	2	642
55	2	617
56	2	669
57	2	660
58	2	696
59	2	686
60	2	743
61	2	701
62	2	719
63	2	660
64	2	676
65	2	680
66	2	711
67	2	640
68	2	659
69	2	640
70	2	622
71	2	631
72	2	632
73	2	666
74	2	704
75	2	657
76	2	654
77	2	690
78	2	685
79	2	648
80	2	675
81	2	682
82	2	628
83	2	619
84	2	661
85	2	642
86	2	606
87	2	653
88	2	667
89	2	619
90	2	641
91	2	589
92	2	605
93	2	641
94	2	651
95	2	612
96	2	607
97	2	665
98	2	643
99	2	664
100	2	657
101	2	612
102	2	588
103	2	616
104	2	570
1	3	547
2	3	609
3	3	571
4	3	628
5	3	693
6	3	636
7	3	595
8	3	600
9	3	544
10	3	577
11	3	573
12	3	613
13	3	615
14	3	618
15	3	614
16	3	551
17	3	466
18	3	519
19	3	674
20	3	651
21	3	665
22	3	674
23	3	615
24	3	627
25	3	585
26	3	652
27	3	622
28	3	600
29	3	619
30	3	631
31	3	625
32	3	620
33	3	611
34	3	652
35	3	609
36	3	565
37	3	594
38	3	625
39	3	661
40	3	616
41	3	618
42	3	618
43	3	597
44	3	628
45	3	605
46	3	621
47	3	668
48	3	668
49	3	663
50	3	640
51	3	659
52	3	640
53	3	620
54	3	589
55	3	665
56	3	709
57	3	682
58	3	713
59	3	676
60	3	666
61	3	650
62	3	709
63	3	672
64	3	681
65	3	663
66	3	654
67	3	660
68	3	707
69	3	651
70	3	669
71	3	666
72	3	671
73	3	703
74	3	670
75	3	606
76	3	611
77	3	637
78	3	653
79	3	621
80	3	665
81	3	658
82	3	679
83	3	682
84	3	734
85	3	657
86	3	647
87	3	673
88	3	645
89	3	655
90	3	673
91	3	646
92	3	628
93	3	641
94	3	645
95	3	644
96	3	678
97	3	687
98	3	631
99	3	667
100	3	636
101	3	601
102	3	612
103	3	601
104	3	574
1	4	539
2	4	593
3	4	641
4	4	638
5	4	660
6	4	644
7	4	629
8	4	628
9	4	630
10	4	631
11	4	626
12	4	664
13	4	633
14	4	703
15	4	671
16	4	639
17	4	505
18	4	540
19	4	606
20	4	582
21	4	551
22	4	606
23	4	551
24	4	620
25	4	607
26	4	612
27	4	546
28	4	539
29	4	522
30	4	537
31	4	570
32	4	584
33	4	602
34	4	642
35	4	596
36	4	642
37	4	664
38	4	678
39	4	634
40	4	627
41	4	648
42	4	611
43	4	675
44	4	647
45	4	706
46	4	677
47	4	698
48	4	703
49	4	696
50	4	672
51	4	698
52	4	707
53	4	684
54	4	713
55	4	697
56	4	715
57	4	697
58	4	736
59	4	673
60	4	741
61	4	739
62	4	718
63	4	720
64	4	736
65	4	705
66	4	739
67	4	750
68	4	762
69	4	661
70	4	651
71	4	669
72	4	697
73	4	616
74	4	730
75	4	675
76	4	683
77	4	649
78	4	667
79	4	620
80	4	597
81	4	609
82	4	613
83	4	631
84	4	605
85	4	614
86	4	619
87	4	636
88	4	600
89	4	637
90	4	653
91	4	620
92	4	636
93	4	642
94	4	647
95	4	648
96	4	651
97	4	699
98	4	695
99	4	668
100	4	655
101	4	631
102	4	640
103	4	630
104	4	581
