species	age	tree	day	water
S2	A1	T01	161	0.92
S2	A1	T01	166	0.93
S2	A1	T01	170	0.86
S2	A1	T01	174	0.95
S2	A1	T01	178	0.9
S2	A1	T01	184	1.11
S2	A1	T01	189	NA
S2	A1	T01	194	1.25
S2	A1	T01	199	1.14
S2	A1	T01	206	1.07
S2	A1	T01	212	0.88
S2	A1	T01	218	0.77
S2	A1	T01	222	0.91
S2	A1	T01	228	0.65
S2	A1	T01	236	0.89
S2	A1	T01	241	0.85
S2	A1	T01	246	0.69
S2	A1	T01	251	0.89
S2	A1	T01	256	0.73
S2	A1	T01	261	0.7
S2	A1	T01	268	0.45
S2	A1	T01	273	0.4
S2	A1	T01	278	0.48
S2	A1	T01	283	0.33
S2	A1	T01	288	0.34
S2	A1	T01	293	0.27
S1	A2	T02	161	2.16
S1	A2	T02	166	1.82
S1	A2	T02	170	2.14
S1	A2	T02	174	2.02
S1	A2	T02	178	2.24
S1	A2	T02	184	0.91
S1	A2	T02	189	2.28
S1	A2	T02	194	1.95
S1	A2	T02	199	3.22
S1	A2	T02	206	3.25
S1	A2	T02	212	2.31
S1	A2	T02	218	2.89
S1	A2	T02	222	2.95
S1	A2	T02	228	3.1
S1	A2	T02	236	3.95
S1	A2	T02	241	3.84
S1	A2	T02	246	3.54
S1	A2	T02	251	3.78
S1	A2	T02	256	3.27
S1	A2	T02	261	3.99
S1	A2	T02	268	1.91
S1	A2	T02	273	3.15
S1	A2	T02	278	2.99
S1	A2	T02	283	2.82
S1	A2	T02	288	2.95
S1	A2	T02	293	2.54
S1	A1	T03	161	0.88
S1	A1	T03	166	0.99
S1	A1	T03	170	1.35
S1	A1	T03	174	1.62
S1	A1	T03	178	1.34
S1	A1	T03	184	1.8
S1	A1	T03	189	1.98
S1	A1	T03	194	2.08
S1	A1	T03	199	2.91
S1	A1	T03	206	2.33
S1	A1	T03	212	2.45
S1	A1	T03	218	2.39
S1	A1	T03	222	2.85
S1	A1	T03	228	2.54
S1	A1	T03	236	2.9
S1	A1	T03	241	3.22
S1	A1	T03	246	2.77
S1	A1	T03	251	3.04
S1	A1	T03	256	2.79
S1	A1	T03	261	3.37
S1	A1	T03	268	1.2
S1	A1	T03	273	2.72
S1	A1	T03	278	2.83
S1	A1	T03	283	2.13
S1	A1	T03	288	2.45
S1	A1	T03	293	2.15
S2	A2	T04	161	1.8
S2	A2	T04	166	2.21
S2	A2	T04	170	2.47
S2	A2	T04	174	2.29
S2	A2	T04	178	2.91
S2	A2	T04	184	1.94
S2	A2	T04	189	2.11
S2	A2	T04	194	1.84
S2	A2	T04	199	3.1
S2	A2	T04	206	2.88
S2	A2	T04	212	2.56
S2	A2	T04	218	2.37
S2	A2	T04	222	2.48
S2	A2	T04	228	2.82
S2	A2	T04	236	3.15
S2	A2	T04	241	2.71
S2	A2	T04	246	2.54
S2	A2	T04	251	2.76
S2	A2	T04	256	2.45
S2	A2	T04	261	2.17
S2	A2	T04	268	1.09
S2	A2	T04	273	2.28
S2	A2	T04	278	2.46
S2	A2	T04	283	1.68
S2	A2	T04	288	1.41
S2	A2	T04	293	1.28
S2	A2	T05	161	2.04
S2	A2	T05	166	2.16
S2	A2	T05	170	2.67
S2	A2	T05	174	2.61
S2	A2	T05	178	2.51
S2	A2	T05	184	2.38
S2	A2	T05	189	2.7
S2	A2	T05	194	1.64
S2	A2	T05	199	3.33
S2	A2	T05	206	3.29
S2	A2	T05	212	2.91
S2	A2	T05	218	2.89
S2	A2	T05	222	3.34
S2	A2	T05	228	3.48
S2	A2	T05	236	2.87
S2	A2	T05	241	3.08
S2	A2	T05	246	2.99
S2	A2	T05	251	2.95
S2	A2	T05	256	2.1
S2	A2	T05	261	2.45
S2	A2	T05	268	1.5
S2	A2	T05	273	2.36
S2	A2	T05	278	1.88
S2	A2	T05	283	1.59
S2	A2	T05	288	1.28
S2	A2	T05	293	1.02
S1	A2	T06	161	2.94
S1	A2	T06	166	3.57
S1	A2	T06	170	2.97
S1	A2	T06	174	2.78
S1	A2	T06	178	2.9
S1	A2	T06	184	2.86
S1	A2	T06	189	3.21
S1	A2	T06	194	3.09
S1	A2	T06	199	3.86
S1	A2	T06	206	4.56
S1	A2	T06	212	3.96
S1	A2	T06	218	4.14
S1	A2	T06	222	4.61
S1	A2	T06	228	4.05
S1	A2	T06	236	4.6
S1	A2	T06	241	4.93
S1	A2	T06	246	4.34
S1	A2	T06	251	5.06
S1	A2	T06	256	4.55
S1	A2	T06	261	4.78
S1	A2	T06	268	NA
S1	A2	T06	273	4.35
S1	A2	T06	278	4.62
S1	A2	T06	283	3.26
S1	A2	T06	288	3.76
S1	A2	T06	293	3.29
S2	A1	T07	161	0.97
S2	A1	T07	166	0.99
S2	A1	T07	170	1.06
S2	A1	T07	174	1.36
S2	A1	T07	178	1.27
S2	A1	T07	184	1.48
S2	A1	T07	189	1.76
S2	A1	T07	194	1.56
S2	A1	T07	199	2.38
S2	A1	T07	206	1.56
S2	A1	T07	212	1.59
S2	A1	T07	218	1.57
S2	A1	T07	222	1.65
S2	A1	T07	228	2.09
S2	A1	T07	236	1.48
S2	A1	T07	241	1.81
S2	A1	T07	246	1.53
S2	A1	T07	251	1.52
S2	A1	T07	256	1.66
S2	A1	T07	261	1.72
S2	A1	T07	268	0.97
S2	A1	T07	273	1.3
S2	A1	T07	278	1.39
S2	A1	T07	283	0.88
S2	A1	T07	288	0.87
S2	A1	T07	293	0.79
S1	A1	T08	161	1
S1	A1	T08	166	1.01
S1	A1	T08	170	1.18
S1	A1	T08	174	1.34
S1	A1	T08	178	1.39
S1	A1	T08	184	NA
S1	A1	T08	189	1.76
S1	A1	T08	194	2.1
S1	A1	T08	199	2.77
S1	A1	T08	206	2.36
S1	A1	T08	212	2.42
S1	A1	T08	218	2.46
S1	A1	T08	222	3.11
S1	A1	T08	228	3.49
S1	A1	T08	236	3.16
S1	A1	T08	241	3.38
S1	A1	T08	246	2.98
S1	A1	T08	251	3.33
S1	A1	T08	256	2.82
S1	A1	T08	261	3.11
S1	A1	T08	268	1.55
S1	A1	T08	273	2.87
S1	A1	T08	278	3.07
S1	A1	T08	283	2.12
S1	A1	T08	288	2.39
S1	A1	T08	293	2.23
S2	A1	T17	161	1.04
S2	A1	T17	166	1.25
S2	A1	T17	170	1.24
S2	A1	T17	174	1.78
S2	A1	T17	178	1.56
S2	A1	T17	184	1.71
S2	A1	T17	189	1.76
S2	A1	T17	194	1.87
S2	A1	T17	199	2.48
S2	A1	T17	206	2.02
S2	A1	T17	212	2.71
S2	A1	T17	218	1.63
S2	A1	T17	222	1.77
S2	A1	T17	228	1.91
S2	A1	T17	236	1.78
S2	A1	T17	241	1.8
S2	A1	T17	246	1.48
S2	A1	T17	251	1.47
S2	A1	T17	256	1.3
S2	A1	T17	261	1.19
S2	A1	T17	268	0.7
S2	A1	T17	273	1.51
S2	A1	T17	278	1.08
S2	A1	T17	283	0.66
S2	A1	T17	288	0.62
S2	A1	T17	293	0.5
S1	A1	T18	161	1.3
S1	A1	T18	166	1.33
S1	A1	T18	170	1.43
S1	A1	T18	174	1.56
S1	A1	T18	178	1.44
S1	A1	T18	184	1.69
S1	A1	T18	189	2.22
S1	A1	T18	194	1.79
S1	A1	T18	199	2.62
S1	A1	T18	206	2.47
S1	A1	T18	212	2.24
S1	A1	T18	218	2.53
S1	A1	T18	222	2.6
S1	A1	T18	228	2.89
S1	A1	T18	236	2.86
S1	A1	T18	241	3.1
S1	A1	T18	246	2.85
S1	A1	T18	251	2.72
S1	A1	T18	256	2.63
S1	A1	T18	261	2.55
S1	A1	T18	268	1.59
S1	A1	T18	273	2.62
S1	A1	T18	278	2.55
S1	A1	T18	283	1.86
S1	A1	T18	288	1.85
S1	A1	T18	293	1.66
S2	A2	T19	161	1.78
S2	A2	T19	166	1.94
S2	A2	T19	170	2.01
S2	A2	T19	174	1.87
S2	A2	T19	178	2.1
S2	A2	T19	184	NA
S2	A2	T19	189	1.73
S2	A2	T19	194	1.84
S2	A2	T19	199	2.46
S2	A2	T19	206	2.56
S2	A2	T19	212	2.13
S2	A2	T19	218	2
S2	A2	T19	222	2.17
S2	A2	T19	228	2.59
S2	A2	T19	236	2.22
S2	A2	T19	241	2.58
S2	A2	T19	246	2.33
S2	A2	T19	251	2.49
S2	A2	T19	256	2.09
S2	A2	T19	261	2.17
S2	A2	T19	268	1.32
S2	A2	T19	273	1.81
S2	A2	T19	278	1.44
S2	A2	T19	283	0.84
S2	A2	T19	288	0.8
S2	A2	T19	293	0.48
S1	A2	T20	161	2.2
S1	A2	T20	166	2.39
S1	A2	T20	170	2.51
S1	A2	T20	174	2.2
S1	A2	T20	178	2.36
S1	A2	T20	184	0.78
S1	A2	T20	189	2.06
S1	A2	T20	194	2.5
S1	A2	T20	199	3.14
S1	A2	T20	206	3.52
S1	A2	T20	212	3.49
S1	A2	T20	218	3.42
S1	A2	T20	222	3.61
S1	A2	T20	228	2.84
S1	A2	T20	236	3.23
S1	A2	T20	241	3.89
S1	A2	T20	246	4.07
S1	A2	T20	251	3.8
S1	A2	T20	256	3.75
S1	A2	T20	261	4.07
S1	A2	T20	268	1.99
S1	A2	T20	273	3.5
S1	A2	T20	278	4.34
S1	A2	T20	283	3.11
S1	A2	T20	288	3.08
S1	A2	T20	293	2.43
S1	A1	T21	161	2.27
S1	A1	T21	166	0.86
S1	A1	T21	170	1.2
S1	A1	T21	174	1.41
S1	A1	T21	178	1.49
S1	A1	T21	184	1.76
S1	A1	T21	189	1.91
S1	A1	T21	194	2.02
S1	A1	T21	199	2.5
S1	A1	T21	206	2.22
S1	A1	T21	212	2.34
S1	A1	T21	218	2.27
S1	A1	T21	222	2.58
S1	A1	T21	228	3.1
S1	A1	T21	236	2.78
S1	A1	T21	241	3.12
S1	A1	T21	246	2.53
S1	A1	T21	251	3.23
S1	A1	T21	256	2.55
S1	A1	T21	261	2.84
S1	A1	T21	268	1.6
S1	A1	T21	273	2.17
S1	A1	T21	278	3.21
S1	A1	T21	283	2.25
S1	A1	T21	288	2.04
S1	A1	T21	293	2.28
