"row"	"col"	"yield"
1	1	42.9
2	1	50.5
3	1	40.4
4	1	42.6
5	1	47.6
6	1	54.8
7	1	58.9
8	1	54
9	1	57.1
10	1	63.9
11	1	50.4
12	1	51
13	1	50.4
14	1	70
15	1	72.5
16	1	78.5
17	1	71.8
18	1	68.4
19	1	82.6
20	1	80.5
21	1	100.4
22	1	109.6
23	1	94.7
24	1	103
25	1	101.5
26	1	101.9
27	1	83.9
28	1	70.9
29	1	71.3
30	1	53.9
31	1	57.6
32	1	48.3
1	2	59.2
2	2	72.5
3	2	58.8
4	2	56.7
5	2	53.9
6	2	68.4
7	2	77.8
8	2	77.8
9	2	72.4
10	2	70.6
11	2	67.5
12	2	52.1
13	2	62.3
14	2	81.6
15	2	84.7
16	2	68.9
17	2	83.7
18	2	73.3
19	2	71.5
20	2	78.7
21	2	83
22	2	89.7
23	2	80.8
24	2	93.8
25	2	94.1
26	2	71
27	2	72.6
28	2	60.6
29	2	57.4
30	2	54.2
31	2	48.7
32	2	54.4
1	3	80.7
2	3	83.1
3	3	70.9
4	3	58.2
5	3	74.5
6	3	80.6
7	3	95.6
8	3	83.6
9	3	82.6
10	3	89.7
11	3	83
12	3	95.1
13	3	97.4
14	3	89.4
15	3	97.2
16	3	86.4
17	3	107
18	3	78.7
19	3	70.4
20	3	72.2
21	3	67.4
22	3	71.7
23	3	65.6
24	3	64.7
25	3	73.3
26	3	70
27	3	70.6
28	3	56.5
29	3	52.9
30	3	43.1
31	3	43.4
32	3	43.9
1	4	74.6
2	4	82.5
3	4	91.1
4	4	98.2
5	4	97.1
6	4	90
7	4	111.7
8	4	111.4
9	4	105
10	4	105.6
11	4	88.4
12	4	86.2
13	4	109
14	4	103.6
15	4	100
16	4	93.2
17	4	98.2
18	4	60.1
19	4	55.7
20	4	54.3
21	4	55.4
22	4	63.3
23	4	53.8
24	4	62.1
25	4	67.6
26	4	71.4
27	4	68.9
28	4	55.2
29	4	44.9
30	4	46.5
31	4	48.7
32	4	50.5
1	5	69
2	5	76.4
3	5	59.4
4	5	54.1
5	5	75
6	5	86.9
7	5	89.5
8	5	86.2
9	5	93.5
10	5	81.8
11	5	49.4
12	5	56.2
13	5	55.8
14	5	59.9
15	5	58
16	5	48.9
17	5	57.9
18	5	45.1
19	5	44.4
20	5	50.9
21	5	44.4
22	5	47.2
23	5	44.7
24	5	53.9
25	5	63.8
26	5	60.2
27	5	37.1
28	5	25
29	5	41.2
30	5	38.1
31	5	44.1
32	5	59
1	6	77.3
2	6	89.4
3	6	73.3
4	6	70.7
5	6	74.6
6	6	69.5
7	6	89.2
8	6	67.5
9	6	76.5
10	6	71.8
11	6	49.8
12	6	53.2
13	6	52.8
14	6	58.2
15	6	51
16	6	53.3
17	6	45.7
18	6	40.9
19	6	34.7
20	6	42.1
21	6	44
22	6	47
23	6	47.7
24	6	42.4
25	6	45.5
26	6	46.2
27	6	50.5
28	6	35.3
29	6	52.4
30	6	53.3
31	6	48.9
32	6	78.8
1	7	61.1
2	7	74.1
3	7	52.1
4	7	50.6
5	7	54.4
6	7	59.6
7	7	76.3
8	7	62.5
9	7	72.2
10	7	67.4
11	7	41.6
12	7	49.3
13	7	41.1
14	7	45.1
15	7	51
16	7	40.2
17	7	38.9
18	7	34.3
19	7	44.6
20	7	52.3
21	7	46.3
22	7	60.9
23	7	36.4
24	7	49.1
25	7	43.6
26	7	47.8
27	7	58.2
28	7	56.7
29	7	49.7
30	7	52.3
31	7	49
32	7	42.1
1	8	72.2
2	8	75.7
3	8	68.5
4	8	70.1
5	8	86.8
6	8	90.4
7	8	93.4
8	8	83.3
9	8	99
10	8	86.4
11	8	65.2
12	8	62.2
13	8	60.4
14	8	56.8
15	8	51.3
16	8	53.5
17	8	55.2
18	8	64.6
19	8	56.7
20	8	62.9
21	8	69.5
22	8	67
23	8	65.6
24	8	83.9
25	8	72
26	8	85.1
27	8	96.8
28	8	85
29	8	74.1
30	8	51.4
31	8	66.6
32	8	85.2
1	9	51.3
2	9	57.8
3	9	62.3
4	9	46.9
5	9	57.1
6	9	51.5
7	9	66
8	9	72.8
9	9	71.5
10	9	66.2
11	9	62.7
12	9	60.3
13	9	65
14	9	57.8
15	9	47.8
16	9	49.8
17	9	56.3
18	9	51.5
19	9	55.8
20	9	58.6
21	9	62.2
22	9	56.9
23	9	51.6
24	9	57.6
25	9	53.6
26	9	70.2
27	9	69.1
28	9	80
29	9	57.7
30	9	67
31	9	63.3
32	9	71.2
1	10	59.2
2	10	62
3	10	60.5
4	10	45.9
5	10	60.1
6	10	57.7
7	10	60.6
8	10	69.4
9	10	68.2
10	10	74.2
11	10	58.3
12	10	57.8
13	10	74
14	10	63.8
15	10	80.3
16	10	66.4
17	10	74.4
18	10	61.1
19	10	55.6
20	10	68.2
21	10	67.6
22	10	68.8
23	10	63.3
24	10	76.4
25	10	81.6
26	10	74.8
27	10	83.4
28	10	70.6
29	10	71.5
30	10	71.4
31	10	102.9
32	10	79.2
1	11	58
2	11	70.6
3	11	78.4
4	11	63.5
5	11	55.4
6	11	58.2
7	11	65.1
8	11	55.7
9	11	60.3
10	11	51.9
11	11	53.7
12	11	56.5
13	11	54.9
14	11	62.4
15	11	73.3
16	11	70.7
17	11	65.9
18	11	75.6
19	11	83.5
20	11	94.8
21	11	83.1
22	11	74.4
23	11	88
24	11	91.9
25	11	100.4
26	11	95.7
27	11	96.9
28	11	71.9
29	11	83.1
30	11	82.7
31	11	85
32	11	88.1
1	12	88.3
2	12	100.9
3	12	68.2
4	12	89.6
5	12	89.5
6	12	77.8
7	12	92.3
8	12	72.8
9	12	76.1
10	12	69.5
11	12	63.9
12	12	53.7
13	12	68
14	12	73.9
15	12	69.5
16	12	63.9
17	12	60.8
18	12	59
19	12	68.2
20	12	71.3
21	12	75.8
22	12	79.6
23	12	79.1
24	12	78.9
25	12	70.7
26	12	99.6
27	12	89.7
28	12	87.5
29	12	95.1
30	12	97.5
31	12	92
32	12	99.9
