"line"	"sire"	"damage"	"weight"
1	1	1	6.2
1	2	1	13
1	3	1	9.5
1	3	1	10.1
1	3	1	11.4
1	3	2	11.8
1	3	3	12.9
1	3	3	13.1
1	4	1	10.4
1	4	2	8.5
2	5	3	13.5
2	6	2	10.1
2	6	3	11
2	6	3	14
2	6	3	15.5
2	7	1	12
2	8	1	11.5
2	8	3	10.8
3	9	2	9
3	9	3	9.5
3	9	3	12.6
3	10	1	11
3	10	2	10.1
3	10	2	11.7
3	10	3	8.5
3	10	3	8.8
3	10	3	9.9
3	10	3	10.9
3	10	3	11
3	10	3	13.9
3	11	1	11.6
3	11	3	13
3	12	2	12
4	13	1	9.2
4	13	1	10.6
4	13	1	10.6
4	13	3	7.7
4	13	3	10
4	13	3	11.2
4	14	1	10.2
4	14	1	10.9
4	15	1	11.7
4	15	3	9.9
5	16	1	11.7
5	16	1	12.6
5	17	1	9
5	17	3	11
5	18	3	9
5	18	3	12
5	19	3	9.9
5	20	2	13.5
5	21	2	10.9
5	21	3	5.9
5	22	2	10
5	22	2	12.7
5	22	3	13.2
5	22	3	13.3
5	23	1	10.7
5	23	1	11
5	23	1	12.5
5	23	3	9
5	23	3	10.2
