year	block	male	female	day
1951	B1	G1	G1	27.6
1951	B1	G2	G1	13.6
1951	B1	G3	G1	24.6
1951	B1	G4	G1	31.8
1951	B1	G5	G1	15
1951	B1	G6	G1	18.2
1951	B1	G7	G1	17.4
1951	B1	G8	G1	15.2
1951	B2	G1	G1	30.2
1951	B2	G2	G1	14.2
1951	B2	G3	G1	24.2
1951	B2	G4	G1	20.4
1951	B2	G5	G1	18
1951	B2	G6	G1	18.6
1951	B2	G7	G1	16.2
1951	B2	G8	G1	15.4
1951	B1	G1	G2	15.6
1951	B1	G2	G2	16.6
1951	B1	G3	G2	15.8
1951	B1	G4	G2	13.2
1951	B1	G5	G2	12.4
1951	B1	G6	G2	13.6
1951	B1	G7	G2	8.6
1951	B1	G8	G2	12.8
1951	B2	G1	G2	17.8
1951	B2	G2	G2	17.5
1951	B2	G3	G2	17.4
1951	B2	G4	G2	13.8
1951	B2	G5	G2	14
1951	B2	G6	G2	14.6
1951	B2	G7	G2	10
1951	B2	G8	G2	13.8
1951	B1	G1	G3	32.2
1951	B1	G2	G3	16.4
1951	B1	G3	G3	41.6
1951	B1	G4	G3	21.8
1951	B1	G5	G3	16.4
1951	B1	G6	G3	20.4
1951	B1	G7	G3	19.4
1951	B1	G8	G3	15.8
1951	B2	G1	G3	27.4
1951	B2	G2	G3	13.6
1951	B2	G3	G3	36
1951	B2	G4	G3	20.6
1951	B2	G5	G3	15.6
1951	B2	G6	G3	20.2
1951	B2	G7	G3	16.2
1951	B2	G8	G3	14
1951	B1	G1	G4	25
1951	B1	G2	G4	13.4
1951	B1	G3	G4	21.3
1951	B1	G4	G4	27.2
1951	B1	G5	G4	16.4
1951	B1	G6	G4	21.6
1951	B1	G7	G4	14.2
1951	B1	G8	G4	13.6
1951	B2	G1	G4	24.6
1951	B2	G2	G4	12.8
1951	B2	G3	G4	17.8
1951	B2	G4	G4	21
1951	B2	G5	G4	14.6
1951	B2	G6	G4	22.2
1951	B2	G7	G4	10
1951	B2	G8	G4	14.4
1951	B1	G1	G5	16.2
1951	B1	G2	G5	10.2
1951	B1	G3	G5	16
1951	B1	G4	G5	13.8
1951	B1	G5	G5	15.6
1951	B1	G6	G5	13.3
1951	B1	G7	G5	8.6
1951	B1	G8	G5	12.6
1951	B2	G1	G5	14
1951	B2	G2	G5	12.8
1951	B2	G3	G5	14
1951	B2	G4	G5	13
1951	B2	G5	G5	17.6
1951	B2	G6	G5	15
1951	B2	G7	G5	9.8
1951	B2	G8	G5	12.4
1951	B1	G1	G6	19.3
1951	B1	G2	G6	15
1951	B1	G3	G6	22.2
1951	B1	G4	G6	19.5
1951	B1	G5	G6	15.8
1951	B1	G6	G6	17.4
1951	B1	G7	G6	9.2
1951	B1	G8	G6	11.4
1951	B2	G1	G6	20.4
1951	B2	G2	G6	17.4
1951	B2	G3	G6	20.8
1951	B2	G4	G6	19.2
1951	B2	G5	G6	19.2
1951	B2	G6	G6	16.6
1951	B2	G7	G6	8.4
1951	B2	G8	G6	11.2
1951	B1	G1	G7	22.2
1951	B1	G2	G7	9.6
1951	B1	G3	G7	12.8
1951	B1	G4	G7	10.8
1951	B1	G5	G7	10
1951	B1	G6	G7	11.2
1951	B1	G7	G7	5.8
1951	B1	G8	G7	8.4
1951	B2	G1	G7	25.4
1951	B2	G2	G7	11.6
1951	B2	G3	G7	16
1951	B2	G4	G7	13.8
1951	B2	G5	G7	10.4
1951	B2	G6	G7	13.6
1951	B2	G7	G7	4.8
1951	B2	G8	G7	9.6
1951	B1	G1	G8	15.2
1951	B1	G2	G8	9
1951	B1	G3	G8	16.6
1951	B1	G4	G8	12.4
1951	B1	G5	G8	11.4
1951	B1	G6	G8	12
1951	B1	G7	G8	9.4
1951	B1	G8	G8	14.2
1951	B2	G1	G8	15.4
1951	B2	G2	G8	11.4
1951	B2	G3	G8	15.4
1951	B2	G4	G8	17.6
1951	B2	G5	G8	17
1951	B2	G6	G8	17.6
1951	B2	G7	G8	14.2
1951	B2	G8	G8	16.6
1952	B1	G1	G1	22.8
1952	B1	G2	G1	15.4
1952	B1	G3	G1	31.8
1952	B1	G4	G1	16.2
1952	B1	G5	G1	14.6
1952	B1	G6	G1	20.2
1952	B1	G7	G1	14
1952	B1	G8	G1	15.2
1952	B1	G1	G2	14.4
1952	B1	G2	G2	17.2
1952	B1	G3	G2	21
1952	B1	G4	G2	11.4
1952	B1	G5	G2	12.2
1952	B1	G6	G2	14.2
1952	B1	G7	G2	12.2
1952	B1	G8	G2	10
1952	B1	G1	G3	27.2
1952	B1	G2	G3	14.8
1952	B1	G3	G3	24.8
1952	B1	G4	G3	16.8
1952	B1	G5	G3	15.2
1952	B1	G6	G3	18.6
1952	B1	G7	G3	13.6
1952	B1	G8	G3	17
1952	B1	G1	G4	17.2
1952	B1	G2	G4	18.6
1952	B1	G3	G4	24.6
1952	B1	G4	G4	18.4
1952	B1	G5	G4	15.2
1952	B1	G6	G4	22.2
1952	B1	G7	G4	13.8
1952	B1	G8	G4	20.8
1952	B1	G1	G5	18.3
1952	B1	G2	G5	15.2
1952	B1	G3	G5	19.2
1952	B1	G4	G5	12.4
1952	B1	G5	G5	15.2
1952	B1	G6	G5	14.3
1952	B1	G7	G5	15.6
1952	B1	G8	G5	20
1952	B1	G1	G6	16.2
1952	B1	G2	G6	17
1952	B1	G3	G6	29.8
1952	B1	G4	G6	16.8
1952	B1	G5	G6	18
1952	B1	G6	G6	20.2
1952	B1	G7	G6	15.6
1952	B1	G8	G6	17
1952	B1	G1	G7	18.6
1952	B1	G2	G7	14.4
1952	B1	G3	G7	12.8
1952	B1	G4	G7	12.6
1952	B1	G5	G7	10.4
1952	B1	G6	G7	9
1952	B1	G7	G7	11.4
1952	B1	G8	G7	13
1952	B1	G1	G8	16.4
1952	B1	G2	G8	10.8
1952	B1	G3	G8	13
1952	B1	G4	G8	9.6
1952	B1	G5	G8	13.4
1952	B1	G6	G8	11.8
1952	B1	G7	G8	13
1952	B1	G8	G8	14
1952	B2	G1	G1	24.2
1952	B2	G2	G1	16.5
1952	B2	G3	G1	30.4
1952	B2	G4	G1	17.8
1952	B2	G5	G1	18.8
1952	B2	G6	G1	23.4
1952	B2	G7	G1	16.6
1952	B2	G8	G1	17.2
1952	B2	G1	G2	16.2
1952	B2	G2	G2	18.8
1952	B2	G3	G2	23
1952	B2	G4	G2	13
1952	B2	G5	G2	13.6
1952	B2	G6	G2	14
1952	B2	G7	G2	9.2
1952	B2	G8	G2	11.6
1952	B2	G1	G3	30.8
1952	B2	G2	G3	14.6
1952	B2	G3	G3	21.2
1952	B2	G4	G3	16.3
1952	B2	G5	G3	15.4
1952	B2	G6	G3	14.8
1952	B2	G7	G3	16.2
1952	B2	G8	G3	18.2
1952	B2	G1	G4	27
1952	B2	G2	G4	18.6
1952	B2	G3	G4	25.4
1952	B2	G4	G4	18
1952	B2	G5	G4	13.8
1952	B2	G6	G4	17
1952	B2	G7	G4	14.4
1952	B2	G8	G4	20.8
1952	B2	G1	G5	20.2
1952	B2	G2	G5	15.3
1952	B2	G3	G5	20
1952	B2	G4	G5	14.2
1952	B2	G5	G5	15.2
1952	B2	G6	G5	17.3
1952	B2	G7	G5	15.6
1952	B2	G8	G5	17.4
1952	B2	G1	G6	16.8
1952	B2	G2	G6	15.2
