crop	rep	P	K	N	yield
corn	1	0	0	0	24.5
corn	2	0	0	0	6.2
corn	1	40	0	0	26.7
corn	2	40	0	0	29.6
corn	1	80	0	0	22.1
corn	2	80	0	0	30.6
corn	1	120	0	0	44.2
corn	2	120	0	0	21.9
corn	1	160	0	0	12
corn	2	160	0	0	34
corn	1	200	0	0	37.7
corn	2	200	0	0	34.2
corn	1	240	0	0	38
corn	2	240	0	0	35
corn	1	280	0	0	32.4
corn	2	280	0	0	27.4
corn	1	320	0	0	5.3
corn	2	320	0	0	17.9
clover	1	0	0	0	2.58
clover	2	0	0	0	2.29
clover	1	40	0	0	3.01
clover	2	40	0	0	3.49
clover	1	80	0	0	3.18
clover	2	80	0	0	3.06
clover	1	120	0	0	3.3
clover	2	120	0	0	3.19
clover	1	160	0	0	3.59
clover	2	160	0	0	3.77
clover	1	200	0	0	3.57
clover	2	200	0	0	3.55
clover	1	240	0	0	3.55
clover	2	240	0	0	3.66
clover	1	280	0	0	3.19
clover	2	280	0	0	3.62
clover	1	320	0	0	3.35
clover	2	320	0	0	3.33
alfalfa	1	0	0	0	1.14
alfalfa	2	0	0	0	1.64
alfalfa	1	40	0	0	2.86
alfalfa	2	40	0	0	3.13
alfalfa	1	80	0	0	3.26
alfalfa	2	80	0	0	2.86
alfalfa	1	120	0	0	2.96
alfalfa	2	120	0	0	2.91
alfalfa	1	160	0	0	3.64
alfalfa	2	160	0	0	3.24
alfalfa	1	200	0	0	3.65
alfalfa	2	200	0	0	3.31
alfalfa	1	240	0	0	3.56
alfalfa	2	240	0	0	3.66
alfalfa	1	280	0	0	3.25
alfalfa	2	280	0	0	3.17
alfalfa	1	320	0	0	3.52
alfalfa	2	320	0	0	3.42
corn2	1	0	0	0	5.1
corn2	2	0	0	0	9.2
corn2	1	40	0	0	16.3
corn2	2	40	0	0	20
corn2	1	80	0	0	12.3
corn2	2	80	0	0	17.9
corn2	1	120	0	0	22.5
corn2	2	120	0	0	6.1
corn2	1	160	0	0	5.3
corn2	2	160	0	0	12.5
corn2	1	200	0	0	31.9
corn2	2	200	0	0	11.4
corn2	1	240	0	0	28.4
corn2	2	240	0	0	25.9
corn2	1	280	0	0	20.5
corn2	2	280	0	0	11.5
corn2	1	320	0	0	8.6
corn2	2	320	0	0	3.7
corn	1	0	0	40	23.9
corn	2	0	0	40	11.8
corn	1	40	0	40	60.2
corn	2	40	0	40	82.5
corn	1	80	0	40	NA
corn	2	80	0	40	NA
corn	1	120	0	40	NA
corn	2	120	0	40	NA
corn	1	160	0	40	96.2
corn	2	160	0	40	80.7
corn	1	200	0	40	81.1
corn	2	200	0	40	51
corn	1	240	0	40	NA
corn	2	240	0	40	NA
corn	1	280	0	40	NA
corn	2	280	0	40	NA
corn	1	320	0	40	79.5
corn	2	320	0	40	39.7
clover	1	0	40	0	2.68
clover	2	0	40	0	2.88
clover	1	40	40	0	3.14
clover	2	40	40	0	3.05
clover	1	80	40	0	NA
clover	2	80	40	0	NA
clover	1	120	40	0	NA
clover	2	120	40	0	NA
clover	1	160	40	0	3.56
clover	2	160	40	0	3.78
clover	1	200	40	0	3.23
clover	2	200	40	0	3.51
clover	1	240	40	0	NA
clover	2	240	40	0	NA
clover	1	280	40	0	NA
clover	2	280	40	0	NA
clover	1	320	40	0	3.55
clover	2	320	40	0	3.88
alfalfa	1	0	40	0	1.85
alfalfa	2	0	40	0	2.68
alfalfa	1	40	40	0	3.4
alfalfa	2	40	40	0	3.2
