"row"	"col"	"block"	"yield"
1	1	"B1"	9.7
2	1	"B1"	10.3
3	1	"B1"	4.9
4	1	"B1"	4.5
5	1	"B1"	18.9
6	1	"B1"	8.9
7	1	"B1"	9.6
8	1	"B1"	3
9	1	"B1"	11.1
10	1	"B1"	10.7
1	2	"B1"	2.5
2	2	"B1"	10
3	2	"B1"	3.8
4	2	"B1"	1.5
5	2	"B1"	6.4
6	2	"B1"	3.2
7	2	"B1"	10.3
8	2	"B1"	9.3
9	2	"B1"	9.3
10	2	"B1"	2.9
1	3	"B1"	8.6
2	3	"B1"	8.8
3	3	"B1"	5.2
4	3	"B1"	2.1
5	3	"B1"	3.2
6	3	"B1"	1.9
7	3	"B1"	2.9
8	3	"B1"	11.6
9	3	"B1"	3.3
10	3	"B1"	3.6
1	4	"B1"	4.5
2	4	"B1"	2.8
3	4	"B1"	10.6
4	4	"B1"	6.2
5	4	"B1"	4.2
6	4	"B1"	1.9
7	4	"B1"	5
8	4	"B1"	1.1
9	4	"B1"	7.8
10	4	"B1"	5.2
1	5	"B1"	2.4
2	5	"B1"	1.2
3	5	"B1"	10.6
4	5	"B1"	6.4
5	5	"B1"	13.6
6	5	"B1"	3
7	5	"B1"	6.7
8	5	"B1"	3.2
9	5	"B1"	4.2
10	5	"B1"	11.2
1	6	"B1"	14.6
2	6	"B1"	10
3	6	"B1"	2.8
4	6	"B1"	3.6
5	6	"B1"	0.9
6	6	"B1"	2.5
7	6	"B1"	6.2
8	6	"B1"	6.8
9	6	"B1"	6.1
10	6	"B1"	10.7
1	7	"B1"	6.4
2	7	"B1"	9.8
3	7	"B1"	3.4
4	7	"B1"	11.1
5	7	"B1"	2.9
6	7	"B1"	1.2
7	7	"B1"	3.3
8	7	"B1"	0.8
9	7	"B1"	2.7
10	7	"B1"	12
1	8	"B1"	11.4
2	8	"B1"	1.7
3	8	"B1"	9.5
4	8	"B1"	14.1
5	8	"B1"	2.3
6	8	"B1"	4.8
7	8	"B1"	7.3
8	8	"B1"	12.4
9	8	"B1"	16.2
10	8	"B1"	17.4
1	9	"B1"	6.7
2	9	"B1"	3.2
3	9	"B1"	7.1
4	9	"B1"	3.9
5	9	"B1"	9.4
6	9	"B1"	9.2
7	9	"B1"	5.2
8	9	"B1"	11.4
9	9	"B1"	6.6
10	9	"B1"	2.2
1	10	"B1"	15.9
2	10	"B1"	18.6
3	10	"B1"	7.7
4	10	"B1"	2.7
5	10	"B1"	7.7
6	10	"B1"	1.6
7	10	"B1"	2.1
8	10	"B1"	3.9
9	10	"B1"	12.1
10	10	"B1"	15.6
1	1	"B2"	11.9
2	1	"B2"	18.3
3	1	"B2"	15.2
4	1	"B2"	8.9
5	1	"B2"	2.4
6	1	"B2"	10.1
7	1	"B2"	2
8	1	"B2"	12.5
9	1	"B2"	3.1
10	1	"B2"	16.4
1	2	"B2"	9.5
2	2	"B2"	4.3
3	2	"B2"	2.9
4	2	"B2"	2.4
5	2	"B2"	12.7
6	2	"B2"	7.9
7	2	"B2"	13
8	2	"B2"	2.3
9	2	"B2"	10.2
10	2	"B2"	5
1	3	"B2"	4
2	3	"B2"	12.1
3	3	"B2"	1.9
4	3	"B2"	3.2
5	3	"B2"	2.5
6	3	"B2"	2.2
7	3	"B2"	3.1
8	3	"B2"	3.8
9	3	"B2"	3.2
10	3	"B2"	8.3
1	4	"B2"	13.6
2	4	"B2"	9.7
3	4	"B2"	5.6
4	4	"B2"	2.3
5	4	"B2"	2.9
6	4	"B2"	8.3
7	4	"B2"	2.2
8	4	"B2"	10.5
9	4	"B2"	8.9
10	4	"B2"	11.5
1	5	"B2"	6
2	5	"B2"	3.4
3	5	"B2"	4.2
4	5	"B2"	1.7
5	5	"B2"	8.3
6	5	"B2"	2.3
7	5	"B2"	3.1
8	5	"B2"	2.5
9	5	"B2"	4.7
10	5	"B2"	14.3
1	6	"B2"	6
2	6	"B2"	4.1
3	6	"B2"	1.2
4	6	"B2"	2.9
5	6	"B2"	4.4
6	6	"B2"	9.6
7	6	"B2"	5.5
8	6	"B2"	8.6
