"row"	"col"	"yield"	"expt"
1	1	1.9318	"E1"
2	1	1.3068	"E1"
3	1	1.3068	"E1"
4	1	1.5341	"E1"
5	1	2.0455	"E1"
6	1	1.5341	"E1"
7	1	2.5568	"E1"
8	1	1.5341	"E1"
9	1	1.1932	"E1"
10	1	1.25	"E1"
11	1	1.3068	"E1"
12	1	1.6341	"E1"
13	1	2.1023	"E1"
14	1	2.0455	"E1"
15	1	1.7614	"E1"
16	1	1.3068	"E1"
17	1	1.25	"E1"
18	1	2.0455	"E1"
19	1	1.5625	"E1"
20	1	1.5341	"E1"
21	1	0.9943	"E1"
22	1	2.0739	"E1"
23	1	2.0455	"E1"
24	1	1.5057	"E1"
25	1	1.5057	"E1"
26	1	1.5341	"E1"
27	1	2.5852	"E1"
28	1	2.5568	"E1"
29	1	2.0455	"E1"
30	1	1.5341	"E1"
31	1	2.017	"E1"
32	1	1.5909	"E1"
33	1	1.5625	"E1"
34	1	1.5057	"E1"
35	1	2.017	"E1"
36	1	2.5284	"E1"
37	1	1.5057	"E1"
38	1	2.5568	"E1"
39	1	2.5568	"E1"
40	1	1.5057	"E1"
41	1	2.5568	"E1"
42	1	1.5057	"E1"
1	2	1.7045	"E1"
2	2	2.2159	"E1"
3	2	2.4148	"E1"
4	2	2.4432	"E1"
5	2	2.0455	"E1"
6	2	1.4205	"E1"
7	2	2.2159	"E1"
8	2	1.4773	"E1"
9	2	2.1591	"E1"
10	2	1.7898	"E1"
11	2	1.5909	"E1"
12	2	2.0455	"E1"
13	2	1.8182	"E1"
14	2	1.4773	"E1"
15	2	2.7173	"E1"
16	2	1.8182	"E1"
17	2	1.8182	"E1"
18	2	3.3239	"E1"
19	2	1.1364	"E1"
20	2	1.0227	"E1"
21	2	1.9602	"E1"
22	2	1.3068	"E1"
23	2	0.7102	"E1"
24	2	1.3352	"E1"
25	2	1.733	"E1"
26	2	0.5114	"E1"
27	2	0.4261	"E1"
28	2	0.9091	"E1"
29	2	2.2443	"E1"
30	2	2.2443	"E1"
31	2	1.7071	"E1"
32	2	0.7102	"E1"
33	2	2.0455	"E1"
34	2	1.25	"E1"
35	2	0.9091	"E1"
36	2	1.733	"E1"
37	2	1.5909	"E1"
38	2	2.1023	"E1"
39	2	2.3011	"E1"
40	2	2.017	"E1"
41	2	2.1307	"E1"
42	2	1.2784	"E1"
1	3	2.1591	"E1"
2	3	2.5284	"E1"
3	3	2.4148	"E1"
4	3	1.5909	"E1"
5	3	2.2443	"E1"
6	3	1.3636	"E1"
7	3	2.2727	"E1"
8	3	2.6989	"E1"
9	3	2.3864	"E1"
10	3	1.7614	"E1"
11	3	1.6193	"E1"
12	3	1.6193	"E1"
13	3	1.8182	"E1"
14	3	2.2159	"E1"
15	3	1.8182	"E1"
16	3	2.0455	"E1"
17	3	3.5795	"E1"
18	3	1.1364	"E1"
19	3	2.9545	"E1"
