"gen"	"env"	"yield"
"Jubilar"	"E01"	76.3
"Diplomat"	"E01"	78.7
"Caribo"	"E01"	78.2
"Cbc710"	"E01"	79.4
"Stru721"	"E01"	88.1
"Ack712"	"E01"	78.2
"Beun781"	"E01"	91.4
"Breu737"	"E01"	68.2
"Brnd758"	"E01"	75.1
"Doer750"	"E01"	93.8
"Firl777"	"E01"	77.7
"Brnd759"	"E01"	88.3
"Firl779"	"E01"	71.4
"Firl780"	"E01"	79.4
"Frah743"	"E01"	89.4
"Loch744"	"E01"	84.7
"Loch745"	"E01"	82.9
"Ruem711"	"E01"	81.9
"Pem2"	"E01"	85.4
"Pem3"	"E01"	86.9
"Jubilar"	"E02"	79
"Diplomat"	"E02"	83.5
"Caribo"	"E02"	83.9
"Cbc710"	"E02"	87.8
"Stru721"	"E02"	88.1
"Ack712"	"E02"	78.9
"Beun781"	"E02"	90.9
"Breu737"	"E02"	74
"Brnd758"	"E02"	79.1
"Doer750"	"E02"	80.4
"Firl777"	"E02"	80.4
"Brnd759"	"E02"	72.3
"Firl779"	"E02"	76.9
"Firl780"	"E02"	82
"Frah743"	"E02"	77.4
"Loch744"	"E02"	76.5
"Loch745"	"E02"	81.1
"Ruem711"	"E02"	74.8
"Pem2"	"E02"	83.6
"Pem3"	"E02"	86.3
"Jubilar"	"E03"	64.4
"Diplomat"	"E03"	63.1
"Caribo"	"E03"	67.1
"Cbc710"	"E03"	69.6
"Stru721"	"E03"	68.5
"Ack712"	"E03"	65.3
"Beun781"	"E03"	71.3
"Breu737"	"E03"	60.5
"Brnd758"	"E03"	64.6
"Doer750"	"E03"	60.8
"Firl777"	"E03"	65.4
"Brnd759"	"E03"	62.8
"Firl779"	"E03"	63.1
"Firl780"	"E03"	68.9
"Frah743"	"E03"	63.3
"Loch744"	"E03"	72.7
"Loch745"	"E03"	71.1
"Ruem711"	"E03"	67.4
"Pem2"	"E03"	71.5
"Pem3"	"E03"	73.5
"Jubilar"	"E04"	65.2
"Diplomat"	"E04"	57.4
"Caribo"	"E04"	74
"Cbc710"	"E04"	71.9
"Stru721"	"E04"	76.8
"Ack712"	"E04"	66.8
"Beun781"	"E04"	69.8
"Breu737"	"E04"	66
"Brnd758"	"E04"	52.8
"Doer750"	"E04"	70.3
"Firl777"	"E04"	68.6
"Brnd759"	"E04"	57.5
"Firl779"	"E04"	60.9
"Firl780"	"E04"	73.8
"Frah743"	"E04"	69.8
"Loch744"	"E04"	71.6
"Loch745"	"E04"	67.7
"Ruem711"	"E04"	64.2
"Pem2"	"E04"	71.5
"Pem3"	"E04"	74.2
"Jubilar"	"E05"	68.3
"Diplomat"	"E05"	67.9
"Caribo"	"E05"	65.3
"Cbc710"	"E05"	77.2
"Stru721"	"E05"	71.1
"Ack712"	"E05"	70.8
"Beun781"	"E05"	80.3
"Breu737"	"E05"	69.6
"Brnd758"	"E05"	74.9
"Doer750"	"E05"	68.6
"Firl777"	"E05"	64.5
"Brnd759"	"E05"	71
"Firl779"	"E05"	65.5
"Firl780"	"E05"	69.1
"Frah743"	"E05"	75.2
"Loch744"	"E05"	73.4
"Loch745"	"E05"	68.6
"Ruem711"	"E05"	72.9
"Pem2"	"E05"	70.7
"Pem3"	"E05"	73.4
"Jubilar"	"E06"	51.7
"Diplomat"	"E06"	54.5
"Caribo"	"E06"	52.6
"Cbc710"	"E06"	53.3
"Stru721"	"E06"	49.4
"Ack712"	"E06"	47.4
"Beun781"	"E06"	49.7
"Breu737"	"E06"	46.1
"Brnd758"	"E06"	52.4
"Doer750"	"E06"	51.3
"Firl777"	"E06"	51.8
"Brnd759"	"E06"	49.3
"Firl779"	"E06"	55.8
"Firl780"	"E06"	57.1
"Frah743"	"E06"	47
"Loch744"	"E06"	44.7
"Loch745"	"E06"	50.1
"Ruem711"	"E06"	56.6
"Pem2"	"E06"	55.6
"Pem3"	"E06"	52.6
"Jubilar"	"E07"	60.4
