block	trt	vine	shoot	diseased	total
B1	T1	V1	S1	1	14
B1	T2	V1	S1	2	12
B1	T3	V1	S1	0	12
B1	T4	V1	S1	0	13
B1	T5	V1	S1	3	8
B1	T6	V1	S1	0	9
B1	T1	V1	S2	7	8
B1	T2	V1	S2	0	10
B1	T3	V1	S2	1	14
B1	T4	V1	S2	0	10
B1	T5	V1	S2	0	17
B1	T6	V1	S2	0	10
B1	T1	V1	S3	9	14
B1	T2	V1	S3	1	11
B1	T3	V1	S3	0	10
B1	T4	V1	S3	1	14
B1	T5	V1	S3	0	10
B1	T6	V1	S3	0	21
B1	T1	V1	S4	10	17
B1	T2	V1	S4	0	9
B1	T3	V1	S4	1	12
B1	T4	V1	S4	0	11
B1	T5	V1	S4	0	12
B1	T6	V1	S4	0	10
B1	T1	V1	S5	8	11
B1	T2	V1	S5	1	10
B1	T3	V1	S5	0	9
B1	T4	V1	S5	2	12
B1	T5	V1	S5	0	10
B1	T6	V1	S5	1	11
B1	T1	V2	S1	7	9
B1	T2	V2	S1	2	10
B1	T3	V2	S1	0	10
B1	T4	V2	S1	0	14
B1	T5	V2	S1	1	12
B1	T6	V2	S1	0	13
B1	T1	V2	S2	6	12
B1	T2	V2	S2	0	11
B1	T3	V2	S2	1	13
B1	T4	V2	S2	0	9
B1	T5	V2	S2	2	11
B1	T6	V2	S2	0	10
B1	T1	V2	S3	6	7
B1	T2	V2	S3	1	12
B1	T3	V2	S3	0	9
B1	T4	V2	S3	1	10
B1	T5	V2	S3	0	14
B1	T6	V2	S3	2	12
B1	T1	V2	S4	7	13
B1	T2	V2	S4	0	10
B1	T3	V2	S4	0	10
B1	T4	V2	S4	1	12
B1	T5	V2	S4	0	9
B1	T6	V2	S4	1	8
B1	T1	V2	S5	11	15
B1	T2	V2	S5	1	13
B1	T3	V2	S5	0	14
B1	T4	V2	S5	1	14
B1	T5	V2	S5	0	11
B1	T6	V2	S5	0	11
B1	T1	V3	S1	5	11
B1	T2	V3	S1	5	11
B1	T3	V3	S1	0	15
B1	T4	V3	S1	1	15
B1	T5	V3	S1	0	8
B1	T6	V3	S1	1	10
B1	T1	V3	S2	4	9
B1	T2	V3	S2	1	15
B1	T3	V3	S2	0	11
B1	T4	V3	S2	0	13
B1	T5	V3	S2	1	12
B1	T6	V3	S2	0	12
B1	T1	V3	S3	9	12
B1	T2	V3	S3	2	14
B1	T3	V3	S3	0	12
B1	T4	V3	S3	0	12
B1	T5	V3	S3	0	10
B1	T6	V3	S3	0	13
B1	T1	V3	S4	10	10
B1	T2	V3	S4	0	10
B1	T3	V3	S4	0	8
B1	T4	V3	S4	0	10
B1	T5	V3	S4	1	14
B1	T6	V3	S4	3	11
B1	T1	V3	S5	9	11
B1	T2	V3	S5	0	11
B1	T3	V3	S5	1	11
B1	T4	V3	S5	1	14
B1	T5	V3	S5	0	9
B1	T6	V3	S5	0	9
B2	T1	V1	S1	0	12
B2	T2	V1	S1	0	12
B2	T3	V1	S1	0	14
B2	T4	V1	S1	0	12
B2	T5	V1	S1	0	10
B2	T6	V1	S1	1	13
B2	T1	V1	S2	8	9
B2	T2	V1	S2	1	9
B2	T3	V1	S2	0	12
B2	T4	V1	S2	0	10
B2	T5	V1	S2	0	12
B2	T6	V1	S2	1	10
B2	T1	V1	S3	11	14
B2	T2	V1	S3	1	12
B2	T3	V1	S3	1	11
B2	T4	V1	S3	0	10
B2	T5	V1	S3	0	9
B2	T6	V1	S3	3	11
B2	T1	V1	S4	12	15
B2	T2	V1	S4	0	15
B2	T3	V1	S4	0	10
B2	T4	V1	S4	1	9
B2	T5	V1	S4	1	10
B2	T6	V1	S4	0	16
B2	T1	V1	S5	10	14
B2	T2	V1	S5	1	9
B2	T3	V1	S5	0	11
B2	T4	V1	S5	0	11
B2	T5	V1	S5	0	11
B2	T6	V1	S5	0	11
B2	T1	V2	S1	1	9
B2	T2	V2	S1	0	9
B2	T3	V2	S1	0	12
B2	T4	V2	S1	1	10
B2	T5	V2	S1	1	12
B2	T6	V2	S1	0	17
B2	T1	V2	S2	9	12
B2	T2	V2	S2	0	12
B2	T3	V2	S2	0	11
B2	T4	V2	S2	2	14
B2	T5	V2	S2	0	11
B2	T6	V2	S2	0	10
B2	T1	V2	S3	7	13
B2	T2	V2	S3	0	16
B2	T3	V2	S3	1	12
B2	T4	V2	S3	0	10
B2	T5	V2	S3	0	10
B2	T6	V2	S3	0	11
B2	T1	V2	S4	7	13
B2	T2	V2	S4	1	18
B2	T3	V2	S4	0	10
B2	T4	V2	S4	0	11
B2	T5	V2	S4	0	11
B2	T6	V2	S4	3	13
B2	T1	V2	S5	5	10
B2	T2	V2	S5	0	10
B2	T3	V2	S5	0	10
B2	T4	V2	S5	0	10
B2	T5	V2	S5	0	9
B2	T6	V2	S5	1	12
B2	T1	V3	S1	6	13
B2	T2	V3	S1	0	10
B2	T3	V3	S1	1	11
B2	T4	V3	S1	3	11
B2	T5	V3	S1	0	12
B2	T6	V3	S1	1	19
B2	T1	V3	S2	12	13
B2	T2	V3	S2	0	11
B2	T3	V3	S2	0	8
B2	T4	V3	S2	0	9
B2	T5	V3	S2	0	17
B2	T6	V3	S2	0	12
B2	T1	V3	S3	8	11
B2	T2	V3	S3	4	12
B2	T3	V3	S3	0	11
B2	T4	V3	S3	0	10
B2	T5	V3	S3	0	15
B2	T6	V3	S3	3	13
B2	T1	V3	S4	5	14
B2	T2	V3	S4	1	9
B2	T3	V3	S4	0	12
B2	T4	V3	S4	1	12
B2	T5	V3	S4	0	10
B2	T6	V3	S4	2	14
B2	T1	V3	S5	10	14
B2	T2	V3	S5	0	14
B2	T3	V3	S5	1	10
