"nitro"	"year"	"loc"	"yield"
0	1950	"Moeller"	46.4
50	1950	"Moeller"	85.2
100	1950	"Moeller"	110.2
150	1950	"Moeller"	112.7
0	1950	"Hobson"	44.4
50	1950	"Hobson"	63.8
100	1950	"Hobson"	65.4
150	1950	"Hobson"	68.1
0	1950	"Malheur"	131
50	1950	"Malheur"	140.8
100	1950	"Malheur"	138.2
150	1950	"Malheur"	139.4
0	1951	"Moeller"	61.4
50	1951	"Moeller"	83.3
100	1951	"Moeller"	106.4
150	1951	"Moeller"	112.8
200	1951	"Moeller"	109.1
0	1951	"Malheur"	85.6
50	1951	"Malheur"	103.2
100	1951	"Malheur"	119
150	1951	"Malheur"	102.7
0	1952	"Cloud"	59.2
50	1952	"Cloud"	98.1
100	1952	"Cloud"	106.3
150	1952	"Cloud"	113.4
200	1952	"Cloud"	112.6
0	1952	"Martin"	67.6
50	1952	"Martin"	94
100	1952	"Martin"	103.1
150	1952	"Martin"	100.2
200	1952	"Martin"	113.1
0	1952	"Benedict"	86.6
50	1952	"Benedict"	109.4
100	1952	"Benedict"	107.2
150	1952	"Benedict"	110.6
200	1952	"Benedict"	106.4
0	1952	"MalheurSp"	98.8
50	1952	"MalheurSp"	119.8
100	1952	"MalheurSp"	130.7
150	1952	"MalheurSp"	133.1
0	1951	"Custer"	119
50	1951	"Custer"	128
100	1951	"Custer"	126.2
150	1951	"Custer"	121
200	1951	"Custer"	119.2
0	1951	"VdeW"	109.3
50	1951	"VdeW"	115.8
100	1951	"VdeW"	110.7
150	1951	"VdeW"	111
200	1951	"VdeW"	99.8
0	1952	"Malheur"	112.9
50	1952	"Malheur"	130.2
100	1952	"Malheur"	135.5
150	1952	"Malheur"	135.2
