"row"	"col"	"yield"
1	1	93
2	1	49
3	1	89
4	1	85
5	1	63
6	1	86
7	1	62
8	1	94
9	1	45
10	1	51
11	1	81
12	1	74
13	1	85
14	1	84
15	1	85
16	1	82
17	1	46
18	1	71
19	1	58
20	1	65
21	1	57
22	1	60
23	1	59
24	1	63
25	1	23
26	1	39
27	1	79
28	1	51
29	1	58
30	1	56
31	1	42
32	1	57
33	1	44
34	1	99
35	1	58
36	1	79
37	1	89
38	1	62
39	1	81
40	1	31
1	2	95
2	2	63
3	2	90
4	2	91
5	2	96
6	2	82
7	2	86
8	2	76
9	2	96
10	2	79
11	2	80
12	2	51
13	2	89
14	2	64
15	2	55
16	2	83
17	2	54
18	2	68
19	2	52
20	2	45
21	2	52
22	2	90
23	2	69
24	2	78
25	2	67
26	2	57
27	2	29
28	2	54
29	2	47
30	2	78
31	2	70
32	2	41
33	2	68
34	2	33
35	2	63
36	2	66
37	2	51
38	2	69
39	2	106
40	2	87
1	3	111
2	3	50
3	3	95
4	3	115
5	3	68
6	3	113
7	3	119
8	3	119
9	3	115
10	3	111
11	3	72
12	3	66
13	3	112
14	3	101
15	3	88
16	3	102
17	3	83
18	3	39
19	3	85
20	3	77
21	3	60
22	3	65
23	3	39
24	3	60
25	3	47
26	3	83
27	3	57
28	3	74
29	3	86
30	3	62
31	3	68
32	3	81
33	3	44
34	3	65
35	3	68
36	3	95
37	3	66
38	3	58
39	3	43
40	3	69
1	4	116
2	4	115
3	4	129
4	4	107
5	4	69
6	4	74
7	4	80
8	4	75
9	4	130
10	4	79
11	4	102
12	4	86
13	4	88
14	4	90
15	4	87
16	4	80
17	4	60
18	4	80
19	4	99
20	4	78
21	4	71
22	4	66
23	4	79
24	4	83
25	4	83
26	4	70
27	4	77
28	4	87
29	4	69
30	4	55
31	4	87
32	4	80
33	4	71
34	4	85
35	4	71
36	4	74
37	4	48
38	4	66
39	4	84
40	4	64
1	5	97
2	5	83
3	5	97
4	5	99
5	5	101
6	5	117
7	5	79
8	5	125
9	5	99
10	5	84
11	5	104
12	5	71
13	5	105
14	5	69
15	5	73
16	5	88
17	5	57
18	5	73
19	5	72
20	5	93
21	5	55
22	5	59
23	5	74
24	5	51
25	5	74
26	5	77
27	5	75
28	5	71
29	5	81
30	5	60
31	5	79
32	5	90
33	5	75
34	5	64
35	5	54
36	5	81
37	5	65
38	5	45
39	5	46
40	5	76
1	6	82
2	6	78
3	6	133
4	6	77
5	6	120
6	6	28
7	6	92
8	6	96
9	6	77
10	6	84
11	6	81
12	6	73
13	6	76
14	6	101
15	6	119
16	6	57
17	6	75
18	6	86
19	6	96
20	6	60
21	6	89
22	6	55
23	6	68
24	6	60
25	6	58
26	6	89
27	6	82
28	6	74
29	6	60
30	6	58
31	6	89
32	6	78
33	6	79
34	6	74
35	6	59
36	6	77
37	6	82
38	6	77
39	6	74
40	6	82
1	7	80
2	7	69
3	7	72
4	7	76
5	7	96
6	7	83
7	7	72
8	7	95
9	7	104
10	7	67
11	7	42
12	7	98
13	7	76
14	7	87
15	7	60
16	7	81
17	7	73
18	7	64
19	7	67
20	7	94
21	7	71
22	7	51
23	7	54
24	7	60
25	7	95
26	7	79
27	7	87
28	7	62
29	7	73
30	7	111
31	7	87
32	7	61
33	7	64
34	7	96
35	7	84
36	7	94
37	7	119
38	7	94
39	7	56
40	7	61
1	8	131
2	8	93
3	8	115
4	8	63
5	8	100
6	8	81
7	8	103
8	8	74
9	8	116
10	8	63
11	8	76
12	8	87
13	8	78
14	8	70
15	8	76
16	8	55
17	8	50
18	8	89
19	8	86
20	8	82
21	8	53
22	8	79
23	8	72
24	8	72
25	8	108
26	8	113
27	8	77
28	8	62
29	8	96
30	8	54
31	8	91
32	8	76
33	8	68
34	8	74
35	8	71
36	8	106
37	8	101
38	8	84
39	8	109
40	8	64
1	9	80
2	9	85
3	9	97
4	9	70
5	9	70
6	9	109
7	9	89
8	9	90
9	9	64
10	9	66
11	9	85
12	9	61
13	9	72
14	9	63
15	9	60
16	9	75
17	9	66
18	9	101
19	9	37
20	9	72
21	9	64
22	9	80
23	9	69
24	9	75
25	9	81
26	9	77
27	9	61
28	9	90
29	9	73
30	9	57
31	9	85
32	9	78
33	9	62
34	9	95
35	9	84
36	9	132
37	9	90
38	9	98
39	9	115
40	9	87
1	10	102
2	10	84
3	10	76
4	10	71
5	10	110
6	10	91
7	10	77
8	10	63
9	10	77
10	10	40
11	10	80
12	10	111
13	10	92
14	10	75
15	10	73
16	10	69
17	10	31
18	10	88
19	10	71
20	10	81
21	10	74
22	10	62
23	10	67
24	10	45
25	10	86
26	10	102
27	10	85
28	10	80
29	10	59
30	10	76
31	10	74
32	10	87
33	10	118
34	10	101
35	10	87
36	10	80
37	10	53
38	10	44
39	10	61
40	10	59
1	11	97
2	11	64
3	11	91
4	11	59
5	11	88
6	11	53
7	11	67
8	11	68
9	11	32
10	11	56
11	11	56
12	11	81
13	11	59
14	11	63
15	11	77
16	11	70
17	11	56
18	11	63
19	11	62
20	11	84
21	11	95
22	11	95
23	11	81
24	11	75
25	11	88
26	11	101
27	11	108
28	11	83
29	11	83
30	11	82
31	11	67
32	11	106
33	11	60
34	11	56
35	11	82
36	11	142
37	11	69
38	11	57
39	11	60
40	11	99
1	12	95
2	12	69
3	12	106
4	12	78
5	12	75
6	12	108
7	12	88
8	12	66
9	12	88
10	12	80
11	12	74
12	12	61
13	12	81
14	12	88
15	12	44
16	12	84
17	12	66
18	12	83
19	12	48
20	12	64
21	12	59
22	12	94
23	12	72
24	12	69
25	12	99
26	12	74
27	12	65
28	12	60
29	12	83
30	12	103
31	12	98
32	12	41
33	12	78
34	12	59
35	12	73
36	12	30
37	12	66
38	12	58
39	12	39
40	12	31
1	13	87
2	13	51
3	13	40
4	13	58
5	13	101
6	13	83
7	13	97
8	13	96
9	13	67
10	13	58
11	13	93
