"row"	"col"	"yield"
1	1	40
2	1	40
3	1	36
4	1	41
5	1	40
6	1	40
7	1	43
8	1	40
9	1	37
10	1	41
11	1	44
12	1	45
13	1	49
14	1	49
15	1	54
16	1	52
17	1	50
18	1	57
19	1	63
20	1	51
21	1	47
22	1	40
23	1	40
24	1	42
25	1	41
26	1	40
27	1	40
28	1	43
29	1	30
30	1	46
31	1	40
32	1	43
33	1	43
34	1	50
35	1	42
36	1	68
37	1	50
38	1	60
39	1	49
40	1	50
41	1	50
42	1	40
1	2	42
2	2	38
3	2	36
4	2	50
5	2	46
6	2	40
7	2	44
8	2	37
9	2	44
10	2	37
11	2	50
12	2	40
13	2	36
14	2	40
15	2	45
16	2	48
17	2	45
18	2	50
19	2	50
20	2	54
21	2	50
22	2	51
23	2	40
24	2	40
25	2	56
26	2	50
27	2	45
28	2	43
29	2	44
30	2	40
31	2	50
32	2	47
33	2	48
34	2	40
35	2	40
36	2	56
37	2	40
38	2	52
39	2	42
40	2	49
41	2	60
42	2	54
1	3	40
2	3	36
3	3	33
4	3	28
5	3	54
6	3	44
7	3	47
8	3	42
9	3	44
10	3	40
11	3	60
12	3	25
13	3	38
14	3	42
15	3	49
16	3	50
17	3	40
18	3	51
19	3	27
20	3	57
21	3	40
22	3	46
23	3	40
24	3	45
25	3	70
26	3	44
27	3	35
28	3	40
29	3	33
30	3	44
31	3	60
32	3	40
33	3	31
34	3	45
35	3	55
36	3	63
37	3	46
38	3	43
39	3	54
40	3	50
41	3	55
42	3	40
1	4	40
2	4	38
3	4	28
4	4	40
5	4	40
6	4	41
7	4	42
8	4	41
9	4	40
10	4	47
11	4	59
12	4	40
13	4	41
14	4	44
15	4	54
16	4	48
17	4	21
18	4	35
19	4	50
20	4	53
21	4	46
22	4	44
23	4	46
24	4	52
25	4	53
26	4	61
27	4	50
28	4	56
29	4	43
30	4	38
31	4	65
32	4	46
33	4	40
34	4	50
35	4	48
36	4	53
37	4	56
38	4	37
39	4	35
40	4	58
41	4	47
42	4	40
1	5	46
2	5	30
3	5	48
4	5	44
5	5	46
6	5	50
7	5	48
8	5	46
9	5	49
10	5	55
11	5	40
12	5	28
13	5	60
14	5	48
15	5	46
16	5	47
17	5	62
18	5	41
19	5	45
20	5	53
21	5	51
22	5	40
23	5	40
24	5	40
25	5	39
26	5	55
27	5	40
28	5	40
29	5	46
30	5	40
31	5	50
32	5	52
33	5	40
34	5	24
35	5	47
36	5	53
37	5	43
38	5	41
