block	gen	nettle	herb
B1	G01	5	58
B1	G02	0.1	76
B1	G03	0.1	83
B1	G04	0.1	56
B1	G05	0.1	66
B1	G06	1	64
B1	G07	10	79
B1	G08	17	13
B1	G09	8	9
B1	G10	63	5
B1	G11	19	4
B1	G12	17	7
B1	G13	0.1	13
B2	G01	3	81
B2	G02	0	71
B2	G03	0.1	52
B2	G04	2	68
B2	G05	9	61
B2	G06	0.1	70
B2	G07	3	58
B2	G08	15	5
B2	G09	32	13
B2	G10	27	11
B2	G11	13	4
B2	G12	12	10
B2	G13	5	7
B3	G01	3	64
B3	G02	0	81
B3	G03	0	58
B3	G04	0.1	70
B3	G05	6	57
B3	G06	0.1	65
B3	G07	3	69
B3	G08	7	16
B3	G09	7	14
B3	G10	14	5
B3	G11	27	11
B3	G12	19	6
B3	G13	0	8
B4	G01	3	73
B4	G02	0.1	78
B4	G03	0	63
B4	G04	0	71
B4	G05	0.1	60
B4	G06	11	59
B4	G07	2	65
B4	G08	6	15
B4	G09	42	16
B4	G10	18	7
B4	G11	10	3
B4	G12	58	4
B4	G13	0.1	13
B5	G01	0.1	75
B5	G02	0.1	80
B5	G03	0.1	65
B5	G04	0	84
B5	G05	0.1	67
B5	G06	0.1	88
B5	G07	2	69
B5	G08	17	15
B5	G09	25	11
B5	G10	39	4
B5	G11	13	2
B5	G12	33	0
B5	G13	0.1	24
B6	G01	4	69
B6	G02	0.1	86
B6	G03	0	63
B6	G04	0.1	68
B6	G05	0.1	62
B6	G06	0.1	92
B6	G07	4	77
B6	G08	31	6
B6	G09	32	10
B6	G10	47	2
B6	G11	19	0
B6	G12	28	0
B6	G13	5	14
