"trt"	"gen"	"block"	"n"	"y"
"T1"	"G01"	"B1"	53	44
"T1"	"G01"	"B2"	48	42
"T1"	"G01"	"B3"	51	27
"T1"	"G02"	"B1"	48	24
"T1"	"G02"	"B2"	42	35
"T1"	"G02"	"B3"	52	45
"T1"	"G03"	"B1"	49	8
"T1"	"G03"	"B2"	49	16
"T1"	"G03"	"B3"	50	16
"T1"	"G04"	"B1"	51	4
"T1"	"G04"	"B2"	42	5
"T1"	"G04"	"B3"	46	12
"T1"	"G05"	"B1"	52	11
"T1"	"G05"	"B2"	51	13
"T1"	"G05"	"B3"	44	15
"T1"	"G06"	"B1"	50	15
"T1"	"G06"	"B2"	49	5
"T1"	"G06"	"B3"	50	7
"T1"	"G07"	"B1"	52	18
"T1"	"G07"	"B2"	47	13
"T1"	"G07"	"B3"	47	7
"T1"	"G08"	"B1"	47	5
"T1"	"G08"	"B2"	49	15
"T1"	"G08"	"B3"	50	8
"T1"	"G09"	"B1"	52	11
"T1"	"G09"	"B2"	45	6
"T1"	"G09"	"B3"	51	5
"T1"	"G10"	"B1"	51	0
"T1"	"G10"	"B2"	39	10
"T1"	"G10"	"B3"	48	14
"T1"	"G11"	"B1"	52	6
"T1"	"G11"	"B2"	46	4
"T1"	"G11"	"B3"	37	10
"T1"	"G12"	"B1"	52	0
"T1"	"G12"	"B2"	55	4
"T1"	"G12"	"B3"	40	1
"T1"	"G13"	"B1"	45	14
"T1"	"G13"	"B2"	43	18
"T1"	"G13"	"B3"	40	4
"T1"	"G14"	"B1"	52	3
"T1"	"G14"	"B2"	53	12
"T1"	"G14"	"B3"	55	4
"T1"	"G15"	"B1"	52	11
"T1"	"G15"	"B2"	54	6
"T1"	"G15"	"B3"	49	5
"T1"	"G16"	"B1"	53	4
"T1"	"G16"	"B2"	40	1
"T1"	"G16"	"B3"	52	4
"T2"	"G01"	"B1"	60	16
"T2"	"G01"	"B2"	52	9
"T2"	"G01"	"B3"	54	26
"T2"	"G02"	"B1"	44	13
"T2"	"G02"	"B2"	48	20
"T2"	"G02"	"B3"	53	16
"T2"	"G03"	"B1"	52	4
"T2"	"G03"	"B2"	51	6
"T2"	"G03"	"B3"	43	12
"T2"	"G04"	"B1"	52	15
"T2"	"G04"	"B2"	56	10
"T2"	"G04"	"B3"	48	6
"T2"	"G05"	"B1"	51	4
"T2"	"G05"	"B2"	43	6
"T2"	"G05"	"B3"	46	9
"T2"	"G06"	"B1"	51	1
"T2"	"G06"	"B2"	49	8
"T2"	"G06"	"B3"	54	3
"T2"	"G07"	"B1"	52	2
"T2"	"G07"	"B2"	52	4
"T2"	"G07"	"B3"	52	6
"T2"	"G08"	"B1"	56	6
"T2"	"G08"	"B2"	50	4
"T2"	"G08"	"B3"	42	6
"T2"	"G09"	"B1"	54	3
"T2"	"G09"	"B2"	51	8
"T2"	"G09"	"B3"	53	3
"T2"	"G10"	"B1"	50	3
"T2"	"G10"	"B2"	50	0
"T2"	"G10"	"B3"	51	10
"T2"	"G11"	"B1"	52	1
"T2"	"G11"	"B2"	38	7
"T2"	"G11"	"B3"	48	4
"T2"	"G12"	"B1"	50	1
"T2"	"G12"	"B2"	50	3
"T2"	"G12"	"B3"	45	1
"T2"	"G13"	"B1"	51	4
"T2"	"G13"	"B2"	46	7
"T2"	"G13"	"B3"	45	7
"T2"	"G14"	"B1"	52	3
"T2"	"G14"	"B2"	48	7
"T2"	"G14"	"B3"	49	12
"T2"	"G15"	"B1"	50	2
"T2"	"G15"	"B2"	46	4
"T2"	"G15"	"B3"	53	14
"T2"	"G16"	"B1"	56	4
"T2"	"G16"	"B2"	44	1
"T2"	"G16"	"B3"	42	3
