"loc"	"block"	"family"	"tree"	"height"
"Vellanikkara"	"B1"	"F1"	"T1"	142
"Vellanikkara"	"B1"	"F1"	"T2"	95
"Vellanikkara"	"B1"	"F1"	"T3"	138
"Vellanikkara"	"B1"	"F1"	"T4"	53
"Vellanikkara"	"B1"	"F1"	"T4"	95
"Vellanikkara"	"B1"	"F1"	"T6"	128
"Nailambur"	"B1"	"F1"	"T1"	24
"Nailambur"	"B1"	"F1"	"T2"	58
"Nailambur"	"B1"	"F1"	"T3"	32
"Nailambur"	"B1"	"F1"	"T4"	27
"Nailambur"	"B1"	"F1"	"T4"	60
"Nailambur"	"B1"	"F1"	"T6"	75
"Vellanikkara"	"B2"	"F1"	"T1"	185
"Vellanikkara"	"B2"	"F1"	"T2"	117
"Vellanikkara"	"B2"	"F1"	"T3"	135
"Vellanikkara"	"B2"	"F1"	"T4"	155
"Vellanikkara"	"B2"	"F1"	"T4"	152
"Vellanikkara"	"B2"	"F1"	"T6"	111
"Nailambur"	"B2"	"F1"	"T1"	87
"Nailambur"	"B2"	"F1"	"T2"	102
"Nailambur"	"B2"	"F1"	"T3"	74
"Nailambur"	"B2"	"F1"	"T4"	102
"Nailambur"	"B2"	"F1"	"T4"	20
"Nailambur"	"B2"	"F1"	"T6"	80
"Vellanikkara"	"B3"	"F1"	"T1"	134
"Vellanikkara"	"B3"	"F1"	"T2"	35
"Vellanikkara"	"B3"	"F1"	"T3"	128
"Vellanikkara"	"B3"	"F1"	"T4"	89
"Vellanikkara"	"B3"	"F1"	"T4"	99
"Vellanikkara"	"B3"	"F1"	"T6"	29
"Nailambur"	"B3"	"F1"	"T1"	54
"Nailambur"	"B3"	"F1"	"T2"	92
"Nailambur"	"B3"	"F1"	"T3"	89
"Nailambur"	"B3"	"F1"	"T4"	144
"Nailambur"	"B3"	"F1"	"T4"	100
"Nailambur"	"B3"	"F1"	"T6"	92
"Vellanikkara"	"B1"	"F2"	"T1"	104
