"row"	"col"	"yield"
1	1	1.87
2	1	2.22
3	1	2.05
4	1	2.12
5	1	2.06
6	1	1.8
7	1	1.89
8	1	1.7
9	1	1.84
10	1	1.85
11	1	1.98
12	1	1.85
13	1	1.9
14	1	1.89
15	1	2.19
16	1	2.22
17	1	1.96
18	1	1.87
19	1	1.74
20	1	2.11
21	1	1.54
22	1	2.03
23	1	2.03
24	1	1.93
25	1	2.05
26	1	1.98
27	1	2.1
28	1	1.99
29	1	1.77
30	1	1.84
1	2	2.01
2	2	2.21
3	2	1.93
4	2	1.91
5	2	1.98
6	2	2
7	2	2.01
8	2	1.98
9	2	1.86
10	2	1.86
11	2	2.15
12	2	1.96
13	2	1.88
14	2	1.95
15	2	2.33
16	2	2.17
17	2	1.89
18	2	2.1
19	2	1.86
20	2	1.99
21	2	1.82
22	2	2
23	2	1.91
24	2	1.72
25	2	1.87
26	2	1.75
27	2	1.91
28	2	1.99
29	2	1.83
30	2	1.56
1	3	2.16
2	3	2.09
3	3	2.14
4	3	1.98
5	3	2
6	3	2.07
7	3	2.2
8	3	2.19
9	3	2.05
10	3	2
11	3	2.12
12	3	1.93
13	3	1.91
14	3	1.89
15	3	2.15
16	3	2.07
17	3	1.96
18	3	2.02
19	3	2.11
20	3	1.9
21	3	1.94
22	3	1.93
23	3	2
24	3	2.13
25	3	1.99
26	3	1.92
27	3	2.05
28	3	2.12
29	3	1.94
30	3	1.84
1	4	2.32
2	4	1.98
3	4	2.01
4	4	1.82
5	4	1.89
6	4	2.19
7	4	1.96
8	4	2.14
9	4	1.98
10	4	2.13
11	4	2.07
12	4	2
13	4	1.83
14	4	1.85
15	4	2.2
16	4	2.2
17	4	1.94
18	4	2.11
19	4	2.15
20	4	2.12
21	4	2.12
22	4	2.09
23	4	2.06
24	4	2.01
25	4	1.84
26	4	1.78
27	4	1.86
28	4	1.79
29	4	1.72
30	4	1.81
1	5	2.15
2	5	1.96
3	5	1.95
4	5	1.8
5	5	1.82
6	5	1.75
7	5	1.94
8	5	2.25
9	5	2.34
10	5	2.42
11	5	2.33
12	5	2.11
13	5	1.82
14	5	1.99
15	5	2.35
16	5	2.46
17	5	2.17
18	5	2.33
19	5	2.22
20	5	2.03
21	5	2.09
22	5	2.12
23	5	1.98
24	5	1.87
25	5	1.78
26	5	1.86
27	5	2.05
28	5	1.82
29	5	1.7
30	5	1.69
1	6	1.98
2	6	1.94
3	6	1.9
4	6	2.01
5	6	1.84
6	6	2.07
7	6	2.11
8	6	2.11
9	6	2.31
10	6	2.28
11	6	2.23
12	6	2.13
13	6	1.99
14	6	2.05
15	6	2.36
16	6	2.48
17	6	2.33
18	6	2.39
19	6	2.16
20	6	2.03
21	6	2.15
22	6	2.4
23	6	2.06
24	6	1.84
25	6	2.07
26	6	1.98
27	6	1.97
28	6	2.02
29	6	1.76
30	6	1.72
1	7	1.46
2	7	1.73
3	7	1.97
4	7	2.04
5	7	2.11
6	7	2.26
7	7	2.2
8	7	2.3
9	7	2.27
10	7	2.38
11	7	2.21
12	7	2.3
13	7	1.98
14	7	2.11
15	7	1.81
16	7	2.26
17	7	2.24
18	7	2.36
19	7	2.4
20	7	2.01
21	7	2.48
22	7	2.42
23	7	2.44
24	7	2.27
25	7	2.4
26	7	2.13
27	7	2.18
28	7	1.94
29	7	2.05
30	7	2
1	8	1.68
2	8	1.82
3	8	1.96
4	8	2.23
5	8	2.05
6	8	2.04
7	8	2.08
8	8	1.9
9	8	1.91
10	8	2.08
11	8	1.76
12	8	1.64
13	8	1.85
14	8	1.9
15	8	2.01
16	8	2.31
17	8	2.13
18	8	2.31
19	8	2.1
20	8	1.97
21	8	2.13
22	8	1.8
23	8	2.22
24	8	2.24
25	8	2.21
26	8	2.04
27	8	2.02
28	8	2.18
29	8	2.05
30	8	2.04
