"row"	"col"	"volume"
40	1	190
39	1	10
38	1	15
37	1	7
36	1	332
35	1	6
34	1	41
33	1	169
32	1	375
31	1	10
30	1	290
29	1	108
28	1	379
27	1	106
26	1	230
25	1	226
24	1	138
23	1	86
22	1	10
21	1	0
20	1	392
19	1	30
18	1	707
17	1	313
16	1	26
15	1	0
14	1	24
13	1	37
12	1	87
11	1	0
10	1	1012
9	1	339
8	1	273
7	1	275
6	1	401
5	1	23
4	1	458
3	1	882
2	1	509
1	1	0
40	2	0
39	2	62
38	2	40
37	2	37
36	2	0
35	2	0
34	2	97
33	2	294
32	2	0
31	2	38
30	2	220
29	2	0
28	2	39
27	2	72
26	2	0
25	2	425
24	2	404
23	2	112
22	2	0
21	2	112
20	2	7
19	2	467
18	2	290
17	2	476
16	2	0
15	2	0
14	2	105
13	2	26
12	2	42
11	2	0
10	2	8
9	2	524
8	2	384
7	2	0
6	2	403
5	2	19
4	2	0
3	2	734
2	2	0
1	2	8
40	3	386
39	3	120
38	3	170
37	3	75
36	3	531
35	3	105
34	3	157
33	3	259
32	3	441
31	3	0
30	3	0
29	3	27
28	3	51
27	3	906
26	3	94
25	3	0
24	3	13
23	3	0
22	3	366
21	3	0
20	3	514
19	3	597
18	3	0
17	3	344
16	3	0
15	3	0
14	3	94
13	3	26
12	3	22
11	3	48
10	3	743
9	3	707
8	3	200
7	3	0
6	3	686
5	3	0
4	3	373
3	3	615
2	3	96
1	3	147
40	4	0
39	4	9
38	4	0
37	4	435
36	4	280
35	4	238
34	4	0
33	4	299
32	4	37
31	4	0
30	4	466
29	4	158
28	4	168
27	4	0
26	4	392
25	4	355
24	4	0
23	4	0
22	4	7
21	4	0
20	4	0
19	4	509
18	4	322
17	4	11
16	4	0
15	4	58
14	4	0
13	4	40
12	4	30
11	4	480
10	4	214
9	4	16
8	4	689
7	4	160
6	4	96
5	4	565
4	4	706
3	4	354
2	4	0
1	4	14
40	5	40
39	5	434
38	5	0
37	5	58
36	5	226
35	5	313
34	5	68
33	5	41
32	5	0
31	5	316
30	5	0
29	5	0
28	5	56
27	5	28
26	5	0
25	5	24
24	5	0
23	5	216
22	5	0
21	5	0
20	5	389
19	5	0
18	5	0
17	5	557
16	5	0
15	5	0
14	5	0
13	5	10
12	5	419
11	5	34
10	5	158
9	5	989
8	5	467
7	5	336
6	5	465
5	5	197
4	5	7
3	5	1032
2	5	0
1	5	78
40	6	5
39	6	0
38	6	58
37	6	158
36	6	0
35	6	264
34	6	0
33	6	0
32	6	438
31	6	16
30	6	80
29	6	0
28	6	281
27	6	395
26	6	75
25	6	0
24	6	157
23	6	460
22	6	0
21	6	24
20	6	31
19	6	31
18	6	13
17	6	610
16	6	834
15	6	52
14	6	240
13	6	24
12	6	0
11	6	399
10	6	78
9	6	0
8	6	191
7	6	10
6	6	380
5	6	14
4	6	681
3	6	11
2	6	16
1	6	430
40	7	273
39	7	252
38	7	10
37	7	134
36	7	478
35	7	82
34	7	40
33	7	0
32	7	16
31	7	1087
30	7	432
29	7	656
28	7	0
27	7	400
26	7	54
25	7	67
24	7	332
23	7	152
22	7	0
21	7	179
20	7	131
19	7	0
18	7	0
17	7	0
16	7	0
15	7	0
14	7	0
13	7	702
12	7	7
11	7	607
10	7	117
9	7	194
8	7	647
7	7	0
6	7	698
5	7	21
4	7	911
3	7	7
2	7	1127
1	7	899
40	8	8
39	8	8
38	8	31
37	8	20
36	8	0
35	8	0
34	8	0
33	8	587
32	8	591
31	8	128
30	8	24
29	8	580
28	8	290
27	8	0
26	8	0
25	8	0
24	8	502
23	8	508
22	8	145
21	8	213
20	8	354
19	8	0
18	8	0
17	8	480
16	8	285
15	8	94
14	8	0
13	8	544
12	8	34
11	8	16
10	8	16
9	8	0
8	8	382
7	8	0
6	8	21
5	8	124
4	8	1015
3	8	0
2	8	349
1	8	603
40	9	9
39	9	0
38	9	30
37	9	34
36	9	9
35	9	0
34	9	375
33	9	268
32	9	282
31	9	290
30	9	73
29	9	0
28	9	87
27	9	0
26	9	655
25	9	0
24	9	281
23	9	160
22	9	0
21	9	0
20	9	407
19	9	0
18	9	0
17	9	0
16	9	0
15	9	0
14	9	468
13	9	316
12	9	16
11	9	795
10	9	409
9	9	468
8	9	31
7	9	0
6	9	4
5	9	120
4	9	4
3	9	288
2	9	401
1	9	0
40	10	16
39	10	24
38	10	215
37	10	0
36	10	9
35	10	272
34	10	0
33	10	714
32	10	66
31	10	0
30	10	440
29	10	0
28	10	0
27	10	540
26	10	332
25	10	0
24	10	326
23	10	184
22	10	56
21	10	335
20	10	621
19	10	251
18	10	345
17	10	251
16	10	21
15	10	762
14	10	1355
13	10	0
12	10	423
11	10	0
10	10	711
9	10	641
8	10	0
7	10	737
6	10	415
5	10	10
4	10	341
3	10	8
2	10	16
1	10	529
40	11	244
39	11	246
38	11	0
37	11	0
36	11	236
35	11	0
34	11	10
33	11	0
32	11	148
31	11	0
30	11	0
29	11	0
28	11	7
27	11	268
26	11	380
25	11	285
24	11	14
23	11	0
22	11	611
21	11	0
20	11	11
19	11	27
18	11	0
17	11	321
16	11	0
15	11	374
14	11	0
13	11	823
12	11	730
11	11	336
10	11	458
9	11	0
8	11	10
7	11	0
6	11	698
5	11	0
4	11	306
3	11	503
2	11	268
1	11	401
40	12	0
39	12	762
38	12	466
37	12	14
36	12	344
35	12	0
34	12	0
33	12	0
32	12	381
31	12	34
30	12	0
29	12	0
28	12	0
27	12	0
26	12	290
25	12	182
24	12	260
23	12	0
22	12	453
21	12	0
20	12	0
19	12	349
18	12	437
17	12	483
16	12	251
15	12	42
14	12	25
13	12	761
12	12	258
11	12	0
10	12	503
9	12	0
8	12	654
7	12	290
6	12	536
5	12	570
4	12	474
3	12	28
2	12	1224
1	12	10
40	13	226
39	13	0
38	13	153
37	13	21
36	13	562
35	13	124
34	13	516
33	13	0
32	13	16
31	13	0
30	13	87
29	13	0
28	13	820
27	13	366
26	13	551
25	13	7
24	13	737
23	13	696
22	13	11
21	13	25
20	13	874
19	13	0
18	13	108
17	13	438
16	13	445
15	13	807
14	13	1562
13	13	15
12	13	0
11	13	868
10	13	0
9	13	430
8	13	944
7	13	0
6	13	0
5	13	1326
4	13	756
3	13	615
2	13	412
1	13	28
40	14	0
39	14	366
38	14	299
37	14	120
36	14	20
35	14	0
34	14	593
33	14	0
32	14	272
31	14	214
30	14	313
29	14	42
28	14	0
27	14	0
26	14	183
25	14	565
24	14	0
23	14	452
22	14	582
21	14	0
20	14	322
19	14	451
18	14	0
17	14	828
16	14	1252
15	14	0
14	14	376
13	14	9
12	14	647
11	14	0
10	14	582
9	14	0
8	14	0
7	14	402
6	14	737
5	14	0
4	14	7
3	14	34
2	14	618
1	14	0
40	15	202
39	15	306
38	15	0
37	15	210
