"col"	"row"	"yield"
12	1	210.9
11	1	262.8
10	1	264.3
9	1	252.2
8	1	248.4
7	1	244
6	1	252.7
5	1	244.7
4	1	250.7
3	1	252.9
2	1	243.5
1	1	247
12	2	250.5
11	2	274.1
10	2	257.9
9	2	244.9
8	2	258
7	2	262.5
6	2	255.1
5	2	260.4
4	2	258.8
3	2	255.1
2	2	246.2
1	2	234.5
12	3	264.8
11	3	292.4
10	3	255.6
9	3	247.5
8	3	236.9
7	3	256.7
6	3	261.5
5	3	268.7
4	3	263.2
3	3	253.3
2	3	265.5
1	3	277.1
12	4	248.5
11	4	256.2
10	4	264.2
9	4	263.1
8	4	261.1
7	4	265.4
6	4	242.6
5	4	255.2
4	4	260.8
3	4	253
2	4	230.6
1	4	241.2
12	5	264.3
11	5	273.9
10	5	257.3
9	5	252.1
8	5	264
7	5	261.9
6	5	259.5
5	5	261
4	5	252.5
3	5	266.1
2	5	261.5
1	5	275.9
12	6	284.2
11	6	254.9
10	6	278.4
9	6	255.7
8	6	280.4
7	6	247.6
6	6	292.7
5	6	253.4
4	6	260.1
3	6	264.6
2	6	217.8
1	6	263.6
12	7	247.4
11	7	262.4
10	7	271
9	7	259.1
8	7	252.4
7	7	250
6	7	270.1
5	7	251.2
4	7	251.5
3	7	261.2
2	7	237
1	7	259.8
12	8	260
11	8	242.8
10	8	252.7
9	8	262.3
8	8	243.5
7	8	259.3
6	8	251.9
5	8	246.2
4	8	264.3
3	8	253.7
2	8	213.3
1	8	230.6
12	9	241.2
11	9	264.6
10	9	254.3
9	9	243.9
8	9	262.2
7	9	249.4
6	9	241.9
5	9	253.7
4	9	249.1
3	9	238.6
2	9	197.6
1	9	266.4
12	10	281.3
11	10	258.9
10	10	261.3
9	10	253.5
8	10	254
7	10	253.2
6	10	228.4
5	10	259.8
4	10	248.5
3	10	236.7
2	10	186.6
1	10	254.3
12	11	266
11	11	281.3
10	11	268.3
9	11	276
8	11	252.1
7	11	245.4
6	11	270.3
5	11	261.5
4	11	250.4
3	11	234.4
2	11	196.8
1	11	247.9
12	12	273.2
11	12	292.4
10	12	279.2
9	12	276.9
8	12	279.8
7	12	284.8
6	12	255.7
5	12	267.1
4	12	255.6
3	12	261.8
2	12	286.3
1	12	270.9
