"row"	"col"	"yield"
1	1	359
2	1	366
3	1	344
4	1	349
5	1	303
6	1	320
7	1	306
8	1	293
9	1	288
10	1	284
11	1	284
12	1	288
13	1	299
14	1	314
15	1	317
16	1	301
17	1	297
18	1	309
19	1	320
20	1	309
21	1	336
22	1	349
23	1	354
24	1	319
25	1	306
26	1	311
27	1	323
28	1	333
29	1	328
30	1	308
31	1	341
32	1	350
33	1	323
34	1	313
35	1	307
36	1	324
37	1	333
38	1	421
39	1	429
40	1	386
1	2	305
2	2	318
3	2	326
4	2	321
5	2	327
6	2	321
7	2	298
8	2	302
9	2	321
10	2	320
11	2	320
12	2	307
13	2	324
14	2	342
15	2	339
16	2	321
17	2	320
18	2	338
19	2	348
20	2	331
21	2	339
22	2	343
23	2	314
24	2	328
25	2	328
26	2	337
27	2	341
28	2	321
29	2	308
30	2	337
31	2	340
32	2	336
33	2	320
34	2	337
35	2	306
36	2	334
37	2	325
38	2	334
39	2	336
40	2	337
1	3	313
2	3	346
3	3	326
4	3	328
5	3	338
6	3	321
7	3	308
8	3	315
9	3	325
10	3	314
11	3	320
12	3	329
13	3	306
14	3	308
15	3	329
16	3	303
17	3	329
18	3	304
19	3	344
20	3	354
21	3	353
22	3	335
23	3	304
24	3	326
25	3	306
26	3	332
27	3	309
28	3	306
29	3	336
30	3	319
31	3	313
32	3	330
33	3	314
34	3	338
35	3	353
36	3	343
37	3	328
38	3	326
39	3	344
40	3	316
1	4	323
2	4	321
3	4	304
4	4	336
5	4	321
6	4	290
7	4	304
8	4	314
9	4	318
10	4	298
11	4	321
12	4	331
13	4	326
14	4	324
15	4	327
16	4	298
17	4	351
18	4	341
19	4	326
20	4	320
21	4	313
22	4	308
23	4	299
24	4	322
25	4	302
26	4	311
27	4	322
28	4	321
29	4	351
30	4	322
31	4	328
32	4	332
33	4	341
34	4	346
35	4	339
36	4	383
37	4	356
38	4	373
39	4	349
40	4	325
1	5	328
2	5	308
3	5	290
4	5	293
5	5	290
6	5	303
7	5	316
8	5	304
9	5	311
10	5	315
11	5	321
12	5	313
13	5	299
14	5	304
15	5	305
16	5	298
17	5	292
18	5	302
19	5	296
20	5	290
21	5	293
22	5	291
23	5	306
24	5	314
25	5	318
26	5	316
27	5	311
28	5	323
29	5	327
30	5	316
31	5	293
32	5	331
33	5	311
34	5	314
35	5	289
36	5	319
37	5	310
38	5	313
39	5	298
40	5	319
1	6	325
2	6	304
3	6	301
4	6	309
5	6	336
6	6	301
7	6	314
8	6	299
9	6	324
10	6	327
11	6	303
12	6	315
13	6	289
14	6	304
15	6	298
16	6	286
17	6	298
18	6	305
19	6	299
20	6	388
21	6	286
22	6	300
23	6	309
24	6	304
25	6	288
26	6	299
27	6	304
28	6	288
29	6	309
30	6	303
31	6	329
32	6	319
33	6	301
34	6	323
35	6	298
36	6	333
37	6	308
38	6	301
39	6	304
40	6	319
1	7	313
2	7	291
3	7	305
4	7	315
5	7	332
6	7	294
7	7	296
8	7	325
9	7	313
10	7	313
11	7	305
12	7	300
13	7	296
14	7	306
15	7	301
16	7	306
17	7	320
18	7	353
19	7	303
20	7	311
21	7	323
22	7	334
23	7	302
24	7	315
25	7	324
26	7	327
27	7	311
28	7	347
29	7	319
30	7	330
31	7	318
32	7	325
33	7	322
34	7	334
35	7	309
36	7	315
37	7	278
38	7	361
39	7	342
40	7	341
1	8	313
2	8	239
3	8	298
4	8	283
5	8	298
6	8	280
7	8	311
8	8	311
9	8	284
10	8	298
11	8	308
12	8	309
13	8	304
14	8	311
15	8	294
16	8	323
17	8	311
18	8	305
19	8	304
20	8	302
21	8	305
22	8	308
23	8	296
24	8	315
25	8	332
26	8	314
27	8	308
28	8	329
29	8	314
30	8	318
31	8	320
32	8	319
33	8	313
34	8	329
35	8	309
36	8	295
37	8	263
38	8	334
39	8	306
40	8	319
1	9	281
2	9	308
3	9	290
4	9	288
5	9	289
6	9	290
7	9	308
8	9	305
9	9	283
10	9	284
11	9	319
12	9	316
13	9	284
14	9	316
15	9	283
16	9	283
17	9	336
18	9	333
19	9	298
20	9	311
21	9	331
22	9	323
23	9	269
24	9	314
25	9	303
26	9	281
27	9	301
28	9	293
29	9	274
30	9	285
31	9	303
32	9	331
33	9	318
34	9	306
35	9	270
36	9	281
37	9	263
38	9	326
39	9	323
40	9	318
1	10	328
2	10	345
3	10	350
4	10	294
5	10	311
6	10	330
7	10	316
8	10	303
9	10	283
10	10	283
11	10	316
12	10	306
13	10	294
14	10	351
15	10	310
16	10	316
17	10	336
18	10	356
19	10	326
20	10	316
21	10	333
22	10	385
23	10	328
24	10	308
25	10	398
26	10	319
27	10	320
28	10	308
29	10	313
30	10	313
31	10	319
32	10	335
33	10	328
34	10	268
35	10	313
36	10	354
37	10	316
38	10	339
39	10	313
40	10	291
1	11	309
2	11	316
3	11	389
4	11	343
5	11	361
6	11	348
7	11	329
8	11	294
9	11	301
10	11	330
11	11	363
12	11	310
13	11	303
14	11	333
15	11	306
16	11	314
17	11	321
18	11	338
19	11	337
20	11	357
21	11	296
22	11	324
23	11	308
24	11	318
25	11	303
26	11	330
27	11	334
28	11	321
29	11	316
30	11	325
31	11	311
32	11	302
33	11	313
34	11	313
35	11	313
36	11	311
37	11	309
38	11	339
39	11	327
40	11	308
1	12	315
2	12	324
3	12	341
4	12	324
5	12	318
6	12	320
7	12	316
8	12	291
9	12	325
10	12	305
11	12	320
12	12	311
13	12	328
14	12	307
15	12	290
16	12	307
17	12	336
18	12	334
19	12	309
20	12	315
21	12	309
22	12	357
23	12	335
24	12	321
25	12	339
26	12	343
27	12	357
28	12	339
29	12	307
30	12	318
31	12	293
32	12	290
33	12	289
34	12	295
35	12	299
36	12	311
37	12	300
38	12	350
39	12	302
40	12	293
