"row"	"col"	"yield"	"ears"
1	1	62.5	39
2	1	25	24
3	1	20.5	25
4	1	29.5	29
5	1	24	27
6	1	29.5	29
7	1	15	9
8	1	22.5	22
9	1	29.5	25
10	1	23.5	23
11	1	28.5	28
12	1	21	19
13	1	19.5	21
14	1	34	27
15	1	19	32
16	1	15	19
17	1	15.5	22
18	1	24.5	38
19	1	6	12
20	1	29	36
21	1	31	26
22	1	29.5	38
23	1	25.5	25
24	1	34.5	22
25	1	24.5	20
26	1	34.5	24
27	1	55	40
28	1	19.5	15
29	1	39	25
30	1	28	23
31	1	11.5	15
32	1	20	30
33	1	16.5	14
34	1	19.5	18
35	1	25	24
36	1	27.5	23
37	1	11	15
38	1	7.5	11
39	1	49.5	33
40	1	22.5	25
41	1	17	16
42	1	39.5	35
43	1	25	17
44	1	19	22
45	1	10	15
46	1	17	23
47	1	19.5	22
48	1	24.5	31
49	1	23.5	28
50	1	35.5	34
51	1	12.5	12
52	1	11.5	16
53	1	39	31
54	1	6	8
55	1	26.5	28
56	1	12	21
57	1	54.5	49
58	1	25.5	25
59	1	25	23
60	1	18	14
61	1	25.5	20
62	1	36	23
63	1	15	16
64	1	30	25
65	1	35	35
66	1	24	22
67	1	37.5	34
68	1	28	36
69	1	12.5	10
70	1	29	26
71	1	23.5	27
72	1	21	15
73	1	38.5	31
74	1	12	18
75	1	18.5	22
76	1	23.5	24
77	1	18	19
78	1	31.5	22
79	1	30	19
80	1	47.5	32
1	2	44	29
2	2	22	19
3	2	11.5	10
4	2	17.5	26
5	2	6.5	8
6	2	25	34
7	2	10.5	10
8	2	12	16
9	2	20.5	21
10	2	41	35
11	2	22.5	28
12	2	32.5	31
13	2	27.5	33
14	2	31	30
15	2	12	15
16	2	16.5	15
17	2	26.5	27
18	2	16	20
19	2	11.5	15
20	2	19	26
21	2	17	25
22	2	30.5	27
23	2	21	41
24	2	24	29
25	2	23	34
26	2	39.5	22
27	2	20.5	20
28	2	42	41
29	2	19	23
30	2	23.5	30
31	2	22.5	24
32	2	18	26
33	2	12.5	23
34	2	19	23
35	2	11.5	15
36	2	20.5	25
37	2	21	19
38	2	5.5	7
39	2	27.5	28
40	2	24	25
41	2	20.5	17
42	2	15	13
43	2	26	18
44	2	29.5	22
45	2	24	21
46	2	19	20
47	2	25	27
48	2	28	28
49	2	31	26
50	2	18	18
51	2	0	0
52	2	23	21
53	2	32	23
54	2	3	3
55	2	5.5	8
56	2	55.5	38
57	2	19	14
58	2	27.5	23
59	2	13.5	9
60	2	27.5	24
61	2	16.5	12
62	2	28	25
63	2	3	6
64	2	11	14
65	2	30.5	40
66	2	17	18
67	2	16	13
68	2	31.5	30
69	2	20.5	21
70	2	15.5	18
71	2	19	19
72	2	23.5	24
73	2	23	17
74	2	18	15
75	2	16	14
76	2	22.5	14
77	2	30	23
78	2	10	11
79	2	20	13
80	2	49	31
1	3	48	40
2	3	10.5	19
3	3	21	27
4	3	8.5	21
5	3	15	16
6	3	8	23
7	3	17	23
8	3	10.5	25
9	3	10	20
10	3	13.5	18
11	3	14.5	25
12	3	19.5	22
13	3	27.5	26
14	3	18.5	29
15	3	19.5	37
16	3	25.5	23
17	3	14.5	18
18	3	30	28
19	3	11	18
20	3	20.5	29
21	3	18	29
22	3	27	33
23	3	23.5	27
24	3	9	11
25	3	4	3
26	3	21	22
27	3	24.5	30
28	3	16	17
29	3	17	25
30	3	32	32
31	3	25.5	30
32	3	28	34
33	3	14.5	17
34	3	18	31
35	3	14	14
36	3	7.5	15
37	3	17	23
38	3	4	4
39	3	19.5	17
40	3	10.5	17
41	3	22	24
42	3	17	25
43	3	15.5	20
44	3	24	27
45	3	22	22
46	3	12.5	11
47	3	11	14
48	3	12	14
49	3	24	27
50	3	30	25
51	3	9	11
52	3	16	14
53	3	11.5	10
54	3	10	8
55	3	6	7
56	3	27.5	22
57	3	14	17
58	3	37.5	35
59	3	12.5	9
60	3	26	23
61	3	26.5	23
62	3	15.5	10
63	3	20.5	13
64	3	5.5	8
65	3	30.5	33
