"gen"	"rep"	"yield"	"env"
"Florman"	"R1"	0.5218	"E01"
"Florman"	"R2"	0.5923	"E01"
"Florman"	"R3"	0.7686	"E01"
"Florman"	"R4"	1.3326	"E01"
"Florman"	"R1"	1.8744	"E02"
"Florman"	"R2"	1.6779	"E02"
"Florman"	"R3"	2.6075	"E02"
"Florman"	"R4"	2.5168	"E02"
"Florman"	"R1"	2.3384	"E03"
"Florman"	"R2"	2.0008	"E03"
"Florman"	"R3"	2.9608	"E03"
"Florman"	"R4"	2.4216	"E03"
"Florman"	"R1"	2.98188	"E04"
"Florman"	"R2"	2.440426667	"E04"
"Florman"	"R3"	2.9159	"E04"
"Florman"	"R4"	2.51502	"E04"
"Florman"	"R1"	1.6814	"E05"
"Florman"	"R2"	1.4929	"E05"
"Florman"	"R3"	0.611	"E05"
"Florman"	"R4"	0.7314	"E05"
"Florman"	"R1"	3.7044	"E06"
"Florman"	"R2"	3.5603	"E06"
"Florman"	"R3"	2.4936	"E06"
"Florman"	"R4"	2.5801	"E06"
"Florman"	"R1"	3.0979	"E07"
"Florman"	"R2"	2.5565	"E07"
"Florman"	"R3"	3.0569	"E07"
"Florman"	"R4"	2.5121	"E07"
"Florman"	"R1"	1.842346667	"E08"
"Florman"	"R2"	1.602626667	"E08"
"Florman"	"R3"	1.7538	"E08"
"Florman"	"R4"	1.76418	"E08"
"Florman"	"R1"	2.0453	"E09"
"Florman"	"R2"	2.0818	"E09"
"Florman"	"R3"	2.7733	"E09"
"Florman"	"R4"	1.7324	"E09"
"Florman"	"R1"	4.6883	"E10"
"Florman"	"R2"	3.8174	"E10"
"Florman"	"R3"	4.1408	"E10"
"Florman"	"R4"	4.5264	"E10"
"Florman"	"R1"	1.39	"E11"
"Florman"	"R2"	1.37	"E11"
"Florman"	"R3"	2.55	"E11"
"Florman"	"R4"	1.98	"E11"
"Florman"	"R1"	5.109066667	"E12"
"Florman"	"R2"	5.9182	"E12"
"Florman"	"R3"	5.3818	"E12"
"Florman"	"R4"	4.928	"E12"
"Florman"	"R1"	1.15	"E13"
"Florman"	"R2"	1.09	"E13"
"Florman"	"R3"	1.29	"E13"
"Florman"	"R1"	4.94	"E14"
"Florman"	"R2"	3.95	"E14"
"Florman"	"R3"	3.83	"E14"
"Florman"	"R4"	4.85	"E14"
"Florman"	"R1"	1.798	"E15"
"Florman"	"R2"	3.6176	"E15"
"Florman"	"R3"	3.96682	"E15"
"Florman"	"R4"	4.2728	"E15"
"Tegua"	"R1"	0.9892	"E01"
"Tegua"	"R2"	0.7685	"E01"
"Tegua"	"R3"	0.6761	"E01"
"Tegua"	"R4"	1.402	"E01"
"Tegua"	"R1"	1.4012	"E02"
"Tegua"	"R2"	1.6476	"E02"
"Tegua"	"R3"	3.2105	"E02"
"Tegua"	"R4"	1.9017	"E02"
"Tegua"	"R1"	2.3136	"E03"
"Tegua"	"R2"	2.5486	"E03"
"Tegua"	"R3"	2.6795	"E03"
"Tegua"	"R4"	2.7674	"E03"
"Tegua"	"R1"	2.297	"E04"
