week	rep	manage	nitro	rating	count
1	R1	M1	N1	Poor	1
1	R1	M1	N2	Average	2
1	R1	M2	N1	Poor	1
1	R1	M2	N2	Poor	1
1	R1	M3	N1	Average	2
1	R1	M3	N2	Good	3
1	R1	M4	N1	Average	2
1	R1	M4	N2	Good	3
1	R2	M1	N1	Poor	1
1	R2	M1	N2	Average	2
1	R2	M2	N1	Poor	1
1	R2	M2	N2	Average	2
1	R2	M3	N1	Good	3
1	R2	M3	N2	Good	3
1	R2	M4	N1	Poor	1
1	R2	M4	N2	Excellent	4
1	R3	M1	N1	Poor	1
1	R3	M1	N2	Average	2
1	R3	M2	N1	Poor	1
1	R3	M2	N2	Poor	1
1	R3	M3	N1	Good	3
1	R3	M3	N2	Good	3
1	R3	M4	N1	Good	3
1	R3	M4	N2	Good	3
1	R4	M1	N1	Poor	1
1	R4	M1	N2	Average	2
1	R4	M2	N1	Poor	1
1	R4	M2	N2	Poor	1
1	R4	M3	N1	Good	3
1	R4	M3	N2	Good	3
1	R4	M4	N1	Average	2
1	R4	M4	N2	Good	3
2	R1	M1	N1	Average	2
2	R1	M1	N2	Average	2
2	R1	M2	N1	Average	2
2	R1	M2	N2	Average	2
2	R1	M3	N1	Good	3
2	R1	M3	N2	Good	3
2	R1	M4	N1	Good	3
2	R1	M4	N2	Good	3
2	R2	M1	N1	Poor	1
2	R2	M1	N2	Average	2
2	R2	M2	N1	Poor	1
2	R2	M2	N2	Average	2
2	R2	M3	N1	Good	3
2	R2	M3	N2	Good	3
2	R2	M4	N1	Average	2
2	R2	M4	N2	Good	3
2	R3	M1	N1	Average	2
2	R3	M1	N2	Average	2
2	R3	M2	N1	Poor	1
2	R3	M2	N2	Average	2
2	R3	M3	N1	Good	3
2	R3	M3	N2	Good	3
2	R3	M4	N1	Good	3
2	R3	M4	N2	Good	3
2	R4	M1	N1	Poor	1
2	R4	M1	N2	Average	2
2	R4	M2	N1	Poor	1
2	R4	M2	N2	Average	2
2	R4	M3	N1	Good	3
2	R4	M3	N2	Good	3
2	R4	M4	N1	Average	2
2	R4	M4	N2	Good	3
3	R1	M1	N1	Poor	1
3	R1	M1	N2	Average	2
3	R1	M2	N1	Poor	1
3	R1	M2	N2	Average	2
3	R1	M3	N1	Average	2
3	R1	M3	N2	Good	3
3	R1	M4	N1	Average	2
3	R1	M4	N2	Good	3
3	R2	M1	N1	Poor	1
3	R2	M1	N2	Poor	1
3	R2	M2	N1	Poor	1
3	R2	M2	N2	Poor	1
3	R2	M3	N1	Average	2
3	R2	M3	N2	Good	3
3	R2	M4	N1	Average	2
3	R2	M4	N2	Good	3
3	R3	M1	N1	Poor	1
3	R3	M1	N2	Average	2
3	R3	M2	N1	Poor	1
3	R3	M2	N2	Poor	1
3	R3	M3	N1	Average	2
3	R3	M3	N2	Average	2
3	R3	M4	N1	Average	2
3	R3	M4	N2	Average	2
3	R4	M1	N1	Poor	1
3	R4	M1	N2	Average	2
3	R4	M2	N1	Poor	1
3	R4	M2	N2	Poor	1
3	R4	M3	N1	Average	2
3	R4	M3	N2	Average	2
3	R4	M4	N1	Average	2
3	R4	M4	N2	Average	2
4	R1	M1	N1	Poor	1
4	R1	M1	N2	Poor	1
4	R1	M2	N1	Poor	1
4	R1	M2	N2	Average	2
4	R1	M3	N1	Average	2
4	R1	M3	N2	Good	3
4	R1	M4	N1	Average	2
4	R1	M4	N2	Average	2
4	R2	M1	N1	Poor	1
4	R2	M1	N2	Poor	1
4	R2	M2	N1	Poor	1
4	R2	M2	N2	Poor	1
4	R2	M3	N1	Average	2
4	R2	M3	N2	Good	3
4	R2	M4	N1	Average	2
4	R2	M4	N2	Good	3
4	R3	M1	N1	Poor	1
4	R3	M1	N2	Poor	1
4	R3	M2	N1	Poor	1
4	R3	M2	N2	Poor	1
4	R3	M3	N1	Average	2
4	R3	M3	N2	Good	3
4	R3	M4	N1	Average	2
4	R3	M4	N2	Average	2
4	R4	M1	N1	Poor	1
4	R4	M1	N2	Poor	1
4	R4	M2	N1	Poor	1
4	R4	M2	N2	Average	2
4	R4	M3	N1	Average	2
4	R4	M3	N2	Good	3
4	R4	M4	N1	Average	2
4	R4	M4	N2	Good	3
