"harvest"	"lat"	"long"	"yield"
"H8"	24.1751696	48.0293521	0.67536
"H8"	24.1751741	48.029399	1.61604
"H8"	24.1752074	48.0294984	0.98892
"H8"	24.1752223	48.0295837	1.47936
"H8"	24.175226	48.0296721	1.51152
"H8"	24.1752061	48.0298015	1.41504
"H8"	24.1751684	48.0298905	1.71252
"H8"	24.1751177	48.0299719	2.59692
"H8"	24.1750536	48.0300422	1.18188
"H8"	24.1749808	48.0301008	2.56476
"H8"	24.174899	48.0301442	1.809
"H8"	24.1748113	48.0301684	1.86528
"H8"	24.1747229	48.0301699	1.87332
"H8"	24.1771807	48.0268354	0.41808
"H8"	24.177249	48.0269095	0.47436
"H8"	24.1773176	48.0269904	0.8844
"H8"	24.1774023	48.027085	0.3618
"H8"	24.1774842	48.0271886	0.94872
"H8"	24.1775593	48.027298	0.73164
"H8"	24.1776338	48.0274094	0.75576
"H8"	24.1777031	48.0275236	0.78792
"H8"	24.1777891	48.02768	0.62712
"H8"	24.1778524	48.0277997	0.83616
"H8"	24.1779632	48.0280434	0.90048
"H8"	24.1780116	48.0281696	1.35876
"H8"	24.1780501	48.0282886	1.13364
"H8"	24.1780668	48.0283509	2.2512
"H8"	24.1780796	48.028401	2.82204
"H8"	24.1781058	48.0284719	1.27032
"H8"	24.1781172	48.0285085	2.5728
"H8"	24.1781337	48.0285832	0.91656
"H8"	24.1781476	48.0286379	1.22208
"H8"	24.1782726	48.0292209	0.61104
"H8"	24.1782816	48.0293073	0.82008
"H8"	24.1782899	48.0294057	0.6432
"H8"	24.1782964	48.0295313	0.50652
"H8"	24.1782975	48.0296668	0.83616
"H8"	24.1782944	48.029848	0.90852
"H8"	24.1782858	48.0299831	1.2462
"H8"	24.1782728	48.0301163	1.25424
"H8"	24.1782532	48.0302498	1.54368
"H8"	24.1782324	48.0303836	1.55172
"H8"	24.178208	48.0305164	2.01804
"H8"	24.1781683	48.0306924	1.50348
"H8"	24.1781343	48.0308213	2.13864
"H8"	24.1780925	48.0309485	2.76576
"H8"	24.1780503	48.0310756	2.10648
"H8"	24.1780353	48.0311179	2.07432
"H8"	24.1780032	48.0312018	2.01
"H8"	24.177951	48.0313243	1.99392
"H8"	24.1778938	48.0314437	1.96176
"H8"	24.1778149	48.0315995	1.46328
"H8"	24.1777528	48.0317156	2.86224
"H8"	24.1776823	48.0318262	1.85724
"H8"	24.177608	48.0319352	1.72056
"H8"	24.1775334	48.0320403	1.76076
"H8"	24.1774519	48.0321443	1.61604
"H8"	24.17734	48.0322782	1.206
"H8"	24.177257	48.0323791	1.54368
"H8"	24.1771687	48.0324747	2.00196
"H8"	24.1770744	48.0325645	1.39896
"H8"	24.1769778	48.0326519	1.38288
"H8"	24.1768801	48.0327365	1.23012
"H8"	24.1767795	48.0328151	1.22208
"H8"	24.1766753	48.0328889	1.26228
"H8"	24.1766044	48.0329364	1.2462
"H8"	24.1765364	48.0329818	0.65124
"H8"	24.1764282	48.0330492	1.55976
"H8"	24.1763161	48.0331096	1.1256
"H8"	24.176223	48.0331576	1.35876
"H8"	24.1761304	48.0332	1.49544
"H8"	24.176004	48.033252	1.22208
"H8"	24.1759096	48.0332889	1.96176
"H8"	24.1758096	48.0333216	1.39896
"H8"	24.1757119	48.0333522	1.43112
"H8"	24.1756135	48.03338	1.407
"H8"	24.1755154	48.0334058	1.41504
"H8"	24.1754162	48.0334278	1.407
"H8"	24.1752833	48.0334533	0.97284
"H8"	24.1752171	48.0334635	1.96176
"H8"	24.1750837	48.0334794	0.90852
"H8"	24.1749825	48.0334877	1.19796
"H8"	24.1748813	48.0334927	1.4472
"H8"	24.17478	48.0334932	1.0854
"H8"	24.174679	48.033492	1.005
"H8"	24.1745775	48.0334888	0.99696
"H8"	24.1744763	48.0334816	0.90852
"H8"	24.1743752	48.0334708	0.89244
"H8"	24.1742411	48.0334529	0.66732
"H8"	24.1742074	48.0334474	1.77684
"H8"	24.1741405	48.0334356	0.9246
"H8"	24.1740407	48.033415	0.9246
"H8"	24.1739414	48.0333915	0.93264
"H8"	24.1738436	48.0333637	0.94068
"H8"	24.1737467	48.0333315	1.03716
"H8"	24.1736494	48.0333015	1.03716
"H8"	24.1735058	48.0332468	0.69948
"H8"	24.1733904	48.0331935	0.86028
"H8"	24.1732749	48.0331385	1.21404
"H8"	24.1731614	48.0330818	0.87636
"H8"	24.1730497	48.0330198	0.85224
"H8"	24.1729043	48.0329304	0.65124
"H8"	24.1734018	48.0330006	1.31052
"H8"	24.1734951	48.033041	0.98088
"H8"	24.1735894	48.0330818	1.49544
"H8"	24.1736842	48.0331207	1.47132
"H8"	24.1737159	48.0331326	1.47936
"H8"	24.1738133	48.0331642	1.26228
"H8"	24.1739112	48.0331915	1.8894
"H8"	24.1740097	48.0332164	1.85724
"H8"	24.1741081	48.0332394	2.48436
"H8"	24.1742075	48.0332587	2.0904
"H8"	24.1743403	48.0332802	1.39092
"H8"	24.174454	48.033295	1.63212
"H8"	24.1745773	48.0333069	2.01
"H8"	24.1747016	48.0333087	1.58388
"H8"	24.1748256	48.0333048	1.59192
"H8"	24.174951	48.0332989	1.63212
"H8"	24.1750755	48.0332896	1.6482
"H8"	24.1751993	48.0332745	1.69644
"H8"	24.175362	48.0332456	1.35072
"H8"	24.1754429	48.0332285	2.71752
"H8"	24.1756035	48.0331872	2.14668
"H8"	24.1757241	48.0331514	1.90548
"H8"	24.1758437	48.0331106	1.97784
"H8"	24.1759606	48.0330653	1.99392
"H8"	24.1761132	48.0329964	1.54368
"H8"	24.1762235	48.0329373	2.10648
"H8"	24.1763326	48.0328723	2.87832
"H8"	24.1764429	48.0328061	2.13864
"H8"	24.1765494	48.0327352	2.211
"H8"	24.176653	48.0326597	2.24316
"H8"	24.1767877	48.0325545	1.98588
"H8"	24.1768846	48.0324706	2.38788
"H8"	24.1769786	48.0323815	3.28032
"H8"	24.1770722	48.0322907	2.42808
"H8"	24.1771618	48.0321958	2.48436
"H8"	24.1772464	48.0320954	2.54064
"H8"	24.1773277	48.0319914	2.58084
"H8"	24.177406	48.031885	2.7336
"H8"	24.1774316	48.0318488	2.74164
"H8"	24.1775047	48.0317393	1.87332
"H8"	24.177574	48.031628	3.91548
"H8"	24.1776404	48.0315125	3.35268
"H8"	24.1777002	48.0313935	2.95872
"H8"	24.1777568	48.0312722	3.03108
"H8"	24.1778269	48.0311099	2.38788
"H8"	24.1778742	48.0309852	3.28032
"H8"	24.1779161	48.0308566	4.06824
"H8"	24.177954	48.0307255	3.07128
"H8"	24.1779904	48.0305949	2.9748
"H8"	24.1780011	48.0305512	3.03108
"H8"	24.1780214	48.0304627	3.02304
"H8"	24.1780497	48.0303289	3.06324
"H8"	24.1780751	48.0301476	2.33964
"H8"	24.1780901	48.0300117	4.52652
"H8"	24.1781016	48.0298753	2.8944
"H8"	24.1781084	48.0297386	2.94264
"H8"	24.1781088	48.0296023	2.95872
"H8"	24.1781064	48.029467	3.015
"H8"	24.1780928	48.0292865	2.21904
"H8"	24.178077	48.0291526	2.95068
"H8"	24.1780643	48.0290637	4.71948
"H8"	24.1780578	48.0290189	3.11952
"H8"	24.1780362	48.0288855	3.11952
"H8"	24.1780071	48.0287536	3.12756
"H8"	24.1779641	48.0285792	2.64516
"H8"	24.1779276	48.0284497	4.1406
"H8"	24.1778835	48.0283235	2.01804
"H8"	24.1778371	48.028198	3.90744
"H8"	24.1777873	48.0280737	2.8542
"H8"	24.1777329	48.0279521	2.80596
"H8"	24.1776729	48.0278336	2.7336
"H8"	24.1776064	48.0277165	2.74164
"H8"	24.1775407	48.0276012	2.78184
"H8"	24.1774459	48.0274525	2.09844
"H8"	24.1773686	48.0273447	4.1808
"H8"	24.1772901	48.0272397	2.1306
"H8"	24.1771781	48.0271045	1.58388
"H8"	24.17712	48.0270393	3.04716
"H8"	24.1769971	48.0269163	1.4874
"H8"	24.1769116	48.0268399	2.19492
"H8"	24.1767992	48.0271027	0.43416
"H8"	24.1768756	48.0271781	0.57084
"H8"	24.1769258	48.0272294	0.57888
"H8"	24.1769495	48.0272564	1.11756
"H8"	24.17702	48.0273387	0.5628
"H8"	24.1770889	48.0274203	1.206
"H8"	24.1771553	48.0275067	1.21404
"H8"	24.1772436	48.0276284	1.46328
"H8"	24.1773142	48.0277403	2.0904
"H8"	24.1773815	48.0278567	2.14668
"H8"	24.1774452	48.0279752	2.18688
"H8"	24.1775093	48.0280928	2.34768
"H8"	24.1775662	48.0282161	2.40396
"H8"	24.1776165	48.0283424	2.50044
"H8"	24.1776778	48.0285139	1.92156
"H8"	24.1776907	48.0285575	5.61192
"H8"	24.1777168	48.0286457	2.7738
"H8"	24.1777496	48.0287786	2.8542
"H8"	24.1777792	48.0289128	2.80596
"H8"	24.1778097	48.0290927	2.412
"H8"	24.1778274	48.0292277	2.814
"H8"	24.1778333	48.0293513	0.31356
"H8"	24.1778377	48.0294149	0.21708
"H8"	24.1778423	48.0295294	0.49848
"H8"	24.1778448	48.0296317	0.5628
"H8"	24.1778367	48.0298717	1.27032
"H8"	24.1778248	48.0300073	1.59192
"H8"	24.17782	48.0300523	1.59192
"H8"	24.1778087	48.0301418	1.58388
"H8"	24.1777868	48.0302751	2.24316
"H8"	24.1777603	48.0304082	2.20296
"H8"	24.1777188	48.0305832	2.88636
"H8"	24.1776828	48.0307129	2.70144
"H8"	24.1776434	48.0308423	2.66124
"H8"	24.1775948	48.0309688	2.66124
"H8"	24.1775246	48.0311348	1.96176
"H8"	24.1774862	48.0312154	3.95568
"H8"	24.1774035	48.0313728	1.96176
"H8"	24.1773606	48.0314504	4.02
"H8"	24.1772695	48.0316014	2.66124
"H8"	24.177195	48.0317116	2.68536
"H8"	24.1770879	48.0318503	2.23512
"H8"	24.1770035	48.0319507	2.51652
"H8"	24.1769167	48.0320485	3.39288
"H8"	24.1767326	48.0322325	2.50044
"H8"	24.1766347	48.0323192	2.38788
"H8"	24.1765325	48.0323994	2.33964
"H8"	24.176429	48.0324769	2.24316
"H8"	24.1762874	48.0325705	1.6884
"H8"	24.1761776	48.0326358	2.1708
"H8"	24.1760663	48.0326968	2.87832
"H8"	24.1759516	48.0327542	2.34768
"H8"	24.1758351	48.0328054	2.02608
"H8"	24.1757171	48.0328502	2.04216
"H8"	24.1755589	48.0329036	1.59996
"H8"	24.1754378	48.032938	2.12256
"H8"	24.1753145	48.0329661	2.7738
"H8"	24.1751909	48.0329901	2.07432
"H8"	24.1750676	48.0330079	1.9698
"H8"	24.1749435	48.0330183	1.96176
"H8"	24.1748195	48.0330232	1.90548
"H8"	24.1746949	48.0330263	2.17884
"H8"	24.1744048	48.0330071	1.82508
"H8"	24.1742811	48.0329904	1.87332
"H8"	24.174158	48.0329688	1.85724
"H8"	24.1740356	48.0329417	1.8894
"H8"	24.1739149	48.0329084	1.90548
"H8"	24.1737556	48.0328567	1.39896
"H8"	24.1736382	48.0328104	1.91352
"H8"	24.1735225	48.0327607	2.5728
"H8"	24.1734079	48.0327059	1.91352
"H8"	24.173295	48.0326479	1.9296
"H8"	24.1731493	48.0325614	1.68036
"H8"	24.1730389	48.032707	1.05324
"H8"	24.1731477	48.0327745	0.603
"H8"	24.173296	48.0328582	0.45024
"H8"	24.1734095	48.0329159	0.73968
"H8"	24.173526	48.0329668	0.9648
"H8"	24.1736432	48.0330141	1.27032
"H8"	24.1737224	48.0330438	1.25424
"H8"	24.1737624	48.0330576	1.2462
"H8"	24.1738829	48.0330953	1.74468
"H8"	24.1740051	48.0331247	1.7286
"H8"	24.1741684	48.0331615	2.21904
"H8"	24.1742923	48.033182	1.82508
"H8"	24.1744161	48.0331997	1.83312
"H8"	24.1745404	48.0332118	1.80096
"H8"	24.174666	48.0332141	1.78488
"H8"	24.1748337	48.0332097	1.34268
"H8"	24.1749594	48.0332025	1.7688
"H8"	24.1750841	48.0331925	1.8894
"H8"	24.1751254	48.0331876	3.79488
"H8"	24.1752079	48.0331759	1.89744
"H8"	24.1753307	48.0331531	1.97784
"H8"	24.1754535	48.0331271	1.97784
"H8"	24.175575	48.0330948	2.27532
"H8"	24.1757358	48.0330445	1.5276
"H8"	24.1758537	48.0330003	2.0904
"H8"	24.1759693	48.03295	2.82204
"H8"	24.1760831	48.0328955	2.16276
"H8"	24.176196	48.0328363	2.16276
"H8"	24.1763072	48.0327742	2.16276
"H8"	24.1763803	48.0327299	2.20296
"H8"	24.1764514	48.0326823	1.11756
"H8"	24.1765551	48.0326074	2.27532
"H8"	24.1766557	48.0325276	2.35572
"H8"	24.1767554	48.0324474	3.62604
"H8"	24.1768534	48.0323633	2.40396
"H8"	24.1769466	48.0322738	2.46828
"H8"	24.1770662	48.0321479	1.90548
"H8"	24.1771508	48.0320479	2.59692
"H8"	24.1772338	48.0319451	3.66624
"H8"	24.1773145	48.0318418	2.79792
"H8"	24.177341	48.0318069	2.80596
"H8"	24.1773911	48.0317347	2.95872
"H8"	24.1774606	48.0316227	3.07932
"H8"	24.1775476	48.0314677	2.60496
"H8"	24.1776078	48.0313489	3.9396
"H8"	24.1776654	48.0312284	3.11148
"H8"	24.1777196	48.0311078	3.216
"H8"	24.1777702	48.0309843	3.19188
"H8"	24.1778145	48.0308572	3.11952
"H8"	24.1778517	48.0307272	3.19188
"H8"	24.1778873	48.0305972	2.14668
"H8"	24.1778981	48.0305536	3.3366
"H8"	24.1779283	48.0304218	4.4622
"H8"	24.1779557	48.0302885	3.28836
"H8"	24.177975	48.0301531	3.83508
"H8"	24.1779877	48.0300177	3.24816
"H8"	24.1780009	48.0298363	2.43612
"H8"	24.1780075	48.0297011	3.28836
"H8"	24.1780082	48.029566	4.39788
"H8"	24.1780044	48.0294313	3.3768
"H8"	24.1779931	48.0292967	3.34464
"H8"	24.1779796	48.0291621	3.26424
"H8"	24.1779603	48.029029	3.24816
"H8"	24.1779358	48.0288972	3.28836
"H8"	24.1778989	48.0287214	3.73056
"H8"	24.177868	48.0285911	3.15168
"H8"	24.1778311	48.028463	3.11148
"H8"	24.1777865	48.0283378	3.06324
"H8"	24.177738	48.028213	3.0954
"H8"	24.1776687	48.02805	2.27532
"H8"	24.177611	48.0279305	2.92656
"H8"	24.1775698	48.0278524	2.90244
"H8"	24.177549	48.0278134	2.8944
"H8"	24.1774843	48.0276971	3.72252
"H8"	24.1774158	48.0275843	2.75772
"H8"	24.1773169	48.0274393	2.30748
"H8"	24.177238	48.027335	2.70948
"H8"	24.177156	48.027233	3.59388
"H8"	24.1770728	48.0271327	2.6532
"H8"	24.1769846	48.027037	2.63712
"H8"	24.1768925	48.0269465	2.62908
"H8"	24.1770083	48.0268089	1.25424
"H8"	24.1771016	48.0269008	0.70752
"H8"	24.1771914	48.0269959	0.71556
"H8"	24.1773055	48.02713	0.81204
"H8"	24.1773859	48.0272343	0.98088
"H8"	24.1774642	48.0273419	1.95372
"H8"	24.1775411	48.0274507	1.47936
"H8"	24.177613	48.0275638	2.08236
"H8"	24.1776796	48.0276799	2.13864
"H8"	24.1777637	48.0278378	1.72056
"H8"	24.1778028	48.027918	3.52152
"H8"	24.1778748	48.0280824	1.81704
"H8"	24.1779232	48.0282084	2.47632
"H8"	24.1779679	48.0283369	3.42504
"H8"	24.1780084	48.0284674	2.59692
"H8"	24.178045	48.028599	2.91852
"H8"	24.1780873	48.0287769	1.84116
"H8"	24.1781134	48.0289118	2.58084
"H8"	24.1781354	48.0290472	3.55368
"H8"	24.1781533	48.0291827	2.72556
"H8"	24.1781671	48.0293185	2.60496
"H8"	24.1781762	48.0294539	2.62908
"H8"	24.1781815	48.0295899	2.78184
"H8"	24.1781793	48.0297255	2.78988
"H8"	24.1781722	48.0298611	2.82204
"H8"	24.1781589	48.0300407	2.12256
"H8"	24.178145	48.0301753	3.69036
"H8"	24.1781246	48.0303091	2.70948
"H8"	24.178091	48.0304873	2.24316
"H8"	24.1780616	48.0306201	2.60496
"H8"	24.1780276	48.0307503	3.31248
"H8"	24.1779899	48.0308789	2.46024
"H8"	24.1779473	48.0310066	2.37984
"H8"	24.1778977	48.0311323	2.30748
"H8"	24.1778431	48.0312567	2.21904
"H8"	24.1777884	48.0313795	2.23512
"H8"	24.1777121	48.0315398	1.69644
"H8"	24.1776464	48.0316552	2.28336
"H8"	24.1775759	48.0317682	2.22708
"H8"	24.1775046	48.0318788	2.25924
"H8"	24.1774302	48.0319863	3.42504
"H8"	24.1773514	48.0320907	2.23512
"H8"	24.1772385	48.0322241	1.62408
"H8"	24.1771512	48.0323215	2.10648
"H8"	24.1770621	48.0324172	2.78184
"H8"	24.1769672	48.0325086	1.92156
"H8"	24.1768694	48.0325946	1.90548
"H8"	24.1767682	48.0326756	1.92156
"H8"	24.1766665	48.0327536	1.9296
"H8"	24.176598	48.0328046	1.91352
"H8"	24.1765635	48.0328298	1.90548
"H8"	24.1764219	48.0329228	1.41504
"H8"	24.1763117	48.0329871	1.84116
"H8"	24.176199	48.0330474	2.42004
"H8"	24.1760847	48.0331043	2.04216
"H8"	24.1759694	48.0331562	1.7286
"H8"	24.1758522	48.0332027	1.73664
"H8"	24.1756947	48.033258	1.30248
"H8"	24.175574	48.0332921	1.70448
"H8"	24.1754544	48.033321	2.33964
"H8"	24.1753324	48.0333469	1.72056
"H8"	24.1752103	48.0333691	1.83312
"H8"	24.1751696	48.0333755	1.83312
"H8"	24.1750469	48.0333906	1.22208
"H8"	24.1749647	48.0333981	2.76576
"H8"	24.1747982	48.033408	1.38288
"H8"	24.1746734	48.033408	2.72556
"H8"	24.1745494	48.0334022	1.809
"H8"	24.1744244	48.033393	1.75272
"H8"	24.1742588	48.0333729	1.31856
"H8"	24.1741353	48.0333503	1.73664
"H8"	24.1740119	48.0333257	1.73664
"H8"	24.1738901	48.0332968	1.6482
"H8"	24.1737698	48.0332619	2.211
"H8"	24.1736507	48.0332224	1.66428
"H8"	24.1735724	48.0331923	1.68036
"H8"	24.1735331	48.0331764	1.6482
"H8"	24.1734166	48.0331268	1.68036
"H8"	24.1733012	48.0330733	1.67232
"H8"	24.1731507	48.0329963	1.27032
"H8"	24.1730407	48.0329311	2.67732
"H8"	24.1729326	48.0328626	1.86528
"H8"	24.1731281	48.0326546	1.3266
"H8"	24.1732381	48.032721	0.70752
"H8"	24.1733507	48.0327823	0.69948
"H8"	24.1734653	48.0328377	0.69144
"H8"	24.1735815	48.0328889	0.69144
"H8"	24.1736997	48.0329347	1.14168
"H8"	24.1738595	48.0329893	0.8442
"H8"	24.1739809	48.0330238	1.64016
"H8"	24.1741043	48.0330537	2.18688
"H8"	24.1742277	48.0330782	2.1306
"H8"	24.1743932	48.0331035	1.43916
"H8"	24.1745183	48.0331144	1.88136
"H8"	24.174644	48.0331178	2.46828
"H8"	24.1747694	48.0331149	1.88136
"H8"	24.1748949	48.0331106	1.92156
"H8"	24.1750203	48.0331033	1.90548
"H8"	24.175145	48.0330895	1.9698
"H8"	24.1752688	48.033069	1.97784
"H8"	24.1754318	48.0330352	1.59996
"H8"	24.1755534	48.0330021	3.24012
"H8"	24.1756739	48.0329632	2.19492
"H8"	24.1757924	48.0329198	2.24316
"H8"	24.175909	48.0328732	2.27532
"H8"	24.176024	48.032821	2.2914
"H8"	24.1761744	48.0327426	1.7286
"H8"	24.1762856	48.0326794	2.32356
"H8"	24.1763937	48.0326099	2.95068
"H8"	24.1764984	48.0325359	2.211
"H8"	24.1766008	48.0324581	2.23512
"H8"	24.1767336	48.0323502	1.97784
"H8"	24.1768295	48.0322635	2.2512
"H8"	24.1769223	48.032172	2.33964
"H8"	24.1770105	48.0320768	2.3718
"H8"	24.1770961	48.0319761	3.38484
"H8"	24.1771781	48.0318732	2.59692
"H8"	24.1772567	48.0317676	2.78184
"H8"	24.1773063	48.0316951	1.42308
"H8"	24.1773542	48.0316209	2.87028
"H8"	24.1774228	48.0315073	2.94264
"H8"	24.1774881	48.0313917	4.63908
"H8"	24.1775492	48.0312721	3.18384
"H8"	24.1776047	48.0311513	3.2562
"H8"	24.1776578	48.0310294	3.32856
"H8"	24.1777202	48.0308623	2.55672
"H8"	24.1777465	48.0307758	5.04108
"H8"	24.177796	48.0306025	2.5326
"H8"	24.1778281	48.0304716	3.48936
"H8"	24.177857	48.0303391	3.39288
"H8"	24.1778809	48.0302047	3.417
"H8"	24.1779047	48.0300248	2.86224
"H8"	24.1779144	48.029888	3.3366
"H8"	24.1779226	48.0297524	4.5024
"H8"	24.1779252	48.0296172	3.40092
"H8"	24.1779211	48.0294827	3.417
"H8"	24.1779119	48.0293478	3.39288
"H8"	24.1778994	48.0292138	3.46524
"H8"	24.177894	48.0291695	3.46524
"H8"	24.1778828	48.0290798	3.417
"H8"	24.1778554	48.0289019	2.60496
"H8"	24.1778225	48.0287716	3.78684
"H8"	24.1777911	48.0286409	4.57476
"H8"	24.1777545	48.0285113	3.32856
"H8"	24.177695	48.0283433	2.46828
"H8"	24.1776643	48.0282593	4.73556
"H8"	24.1775951	48.0280959	2.34768
"H8"	24.1775374	48.0279758	3.015
"H8"	24.1774766	48.0278574	3.96372
"H8"	24.1774108	48.0277414	2.7738
"H8"	24.1773414	48.0276282	2.70144
"H8"	24.1772683	48.0275183	2.63712
"H8"	24.1771647	48.0273774	2.15472
"H8"	24.1770814	48.027276	3.34464
"H8"	24.1769941	48.0271803	2.50044
"H8"	24.1769046	48.0270856	2.42808
"H8"	24.176827	48.0270078	2.814
"H8"	24.1769524	48.0275519	1.06932
"H8"	24.1770317	48.0276577	1.07736
"H8"	24.1771309	48.0278032	1.97784
"H8"	24.1771996	48.0279174	1.21404
"H8"	24.1772643	48.0280336	3.36876
"H8"	24.1773261	48.028153	2.5728
"H8"	24.1773814	48.0282758	2.87028
"H8"	24.1774337	48.0284006	2.8944
"H8"	24.17748	48.0285276	3.00696
"H8"	24.1775073	48.028614	3.0552
"H8"	24.17752	48.0286581	3.0552
"H8"	24.1775648	48.0288347	2.33964
"H8"	24.1775958	48.0289663	3.1758
"H8"	24.1776209	48.0290983	4.88028
"H8"	24.1776384	48.0292325	3.24012
"H8"	24.1776534	48.0294133	2.4924
"H8"	24.1776583	48.0295501	3.36072
"H8"	24.1776574	48.0296865	4.51044
"H8"	24.177654	48.0298219	3.40092
"H8"	24.1776453	48.0299558	3.42504
"H8"	24.1776409	48.0300005	3.39288
"H8"	24.1776308	48.0300895	3.46524
"H8"	24.1776116	48.030222	3.44916
"H8"	24.1775867	48.0303538	3.819
"H8"	24.1775446	48.0305274	3.44916
"H8"	24.1775075	48.0306579	3.30444
"H8"	24.177465	48.0307864	3.20796
"H8"	24.1774172	48.0309129	3.16776
"H8"	24.1773647	48.0310358	3.12756
"H8"	24.1773089	48.0311568	3.22404
"H8"	24.1772437	48.0312872	2.8944
"H8"	24.177124	48.0314831	3.71448
"H8"	24.1770889	48.0315359	4.02804
"H8"	24.1770625	48.0315771	3.54564
"H8"	24.1770304	48.0316198	3.11148
"H8"	24.1769656	48.0317009	1.23816
"H8"	24.1769071	48.0317741	1.6482
"H8"	24.1768397	48.0318543	1.47132
"H8"	24.1767581	48.0319432	1.2462
"H8"	24.1766689	48.0320344	1.35072
"H8"	24.1765415	48.0321512	0.95676
"H8"	24.1764407	48.0322332	1.67232
"H8"	24.1763382	48.0323093	2.22708
"H8"	24.176268	48.0323575	2.01
"H8"	24.1762324	48.032381	1.99392
"H8"	24.176125	48.0324471	1.99392
"H8"	24.1760156	48.0325091	2.12256
"H8"	24.1758645	48.0325837	1.7688
"H8"	24.1757484	48.032634	2.84616
"H8"	24.1756312	48.0326787	2.09844
"H8"	24.1755119	48.032717	2.07432
"H8"	24.1753917	48.0327505	2.09844
"H8"	24.175269	48.0327774	2.06628
"H8"	24.1751449	48.0327975	2.11452
"H8"	24.1750209	48.0328143	2.11452
"H8"	24.1748563	48.0328284	1.61604
"H8"	24.1747318	48.0328293	2.87832
"H8"	24.1746078	48.0328268	2.50848
"H8"	24.1744837	48.0328186	2.20296
"H8"	24.1743189	48.0327978	1.608
"H8"	24.1741953	48.0327778	2.16276
"H8"	24.1740743	48.0327489	2.90244
"H8"	24.1739535	48.0327149	1.4472
"H8"	24.1738346	48.0326766	2.84616
"H8"	24.1737169	48.0326328	2.14668
