"energy"	"weight"	"gen"	"rod"	"damage"	"count"
"E1"	"W1"	"G1"	"R1"	"D1"	5
"E1"	"W1"	"G1"	"R2"	"D1"	8
"E1"	"W1"	"G1"	"R3"	"D1"	6
"E1"	"W1"	"G1"	"R4"	"D1"	2
"E1"	"W1"	"G1"	"R5"	"D1"	11
"E1"	"W1"	"G1"	"R6"	"D1"	12
"E1"	"W1"	"G1"	"R7"	"D1"	8
"E1"	"W1"	"G1"	"R8"	"D1"	15
"E1"	"W1"	"G2"	"R1"	"D1"	4
"E1"	"W1"	"G2"	"R2"	"D1"	8
"E1"	"W1"	"G2"	"R3"	"D1"	3
"E1"	"W1"	"G2"	"R4"	"D1"	1
"E1"	"W1"	"G2"	"R5"	"D1"	16
"E1"	"W1"	"G2"	"R6"	"D1"	16
"E1"	"W1"	"G2"	"R7"	"D1"	11
"E1"	"W1"	"G2"	"R8"	"D1"	10
"E1"	"W1"	"G3"	"R1"	"D1"	3
"E1"	"W1"	"G3"	"R2"	"D1"	18
"E1"	"W1"	"G3"	"R3"	"D1"	5
"E1"	"W1"	"G3"	"R4"	"D1"	1
"E1"	"W1"	"G3"	"R5"	"D1"	12
"E1"	"W1"	"G3"	"R6"	"D1"	16
"E1"	"W1"	"G3"	"R7"	"D1"	20
"E1"	"W1"	"G3"	"R8"	"D1"	18
"E1"	"W1"	"G4"	"R1"	"D1"	4
"E1"	"W1"	"G4"	"R2"	"D1"	12
"E1"	"W1"	"G4"	"R3"	"D1"	10
"E1"	"W1"	"G4"	"R4"	"D1"	2
"E1"	"W1"	"G4"	"R5"	"D1"	17
"E1"	"W1"	"G4"	"R6"	"D1"	18
"E1"	"W1"	"G4"	"R7"	"D1"	19
"E1"	"W1"	"G4"	"R8"	"D1"	15
"E1"	"W1"	"G5"	"R1"	"D1"	9
"E1"	"W1"	"G5"	"R2"	"D1"	17
"E1"	"W1"	"G5"	"R3"	"D1"	15
"E1"	"W1"	"G5"	"R4"	"D1"	12
"E1"	"W1"	"G5"	"R5"	"D1"	16
"E1"	"W1"	"G5"	"R6"	"D1"	20
"E1"	"W1"	"G5"	"R7"	"D1"	20
"E1"	"W1"	"G5"	"R8"	"D1"	20
"E1"	"W1"	"G6"	"R1"	"D1"	5
"E1"	"W1"	"G6"	"R2"	"D1"	18
"E1"	"W1"	"G6"	"R3"	"D1"	5
