gen	rep	row	col	yield
G19	R1	1	1	12
G29	R1	1	2	20.2
G08	R1	1	3	4.3
G02	R1	1	4	19.3
G28	R1	1	5	13.6
G31	R1	1	6	17.3
G25	R1	1	7	5.4
G23	R1	1	8	26.6
G03	R1	1	9	3.5
G09	R1	1	10	9.7
G05	R1	1	11	6.4
G01	R1	1	12	6.8
G24	R1	1	13	19.3
G35	R1	1	14	8
G21	R1	1	15	8.6
G27	R1	1	16	15.7
G34	R1	1	17	13.7
G30	R1	1	18	18.2
G18	R1	1	19	14.1
G11	R1	1	20	6.5
G20	R1	1	21	7.8
G32	R1	1	22	18.1
G10	R1	1	23	17.9
G06	R1	1	24	5.5
G13	R1	1	25	15.4
G17	R1	1	26	23.9
G26	R1	1	27	3.5
G14	R1	1	28	16.2
G22	R1	1	29	17.4
G36	R1	1	30	9.3
G12	R1	1	31	6.8
G16	R1	1	32	7.2
G33	R1	1	33	17.4
G15	R1	1	34	13.3
G04	R1	1	35	23.7
G07	R1	1	36	8.1
G23	R2	2	1	10.2
G30	R2	2	2	15.7
G13	R2	2	3	11.2
G28	R2	2	4	12.2
G03	R2	2	5	3.7
G05	R2	2	6	5.2
G32	R2	2	7	11.7
G33	R2	2	8	14.6
G04	R2	2	9	17.2
G31	R2	2	10	6.3
G18	R2	2	11	8.9
G26	R2	2	12	9.2
G11	R2	2	13	10.8
G12	R2	2	14	6.3
G16	R2	2	15	16.7
G10	R2	2	16	16.7
G09	R2	2	17	8.8
G08	R2	2	18	4.8
G02	R2	2	19	8.5
G24	R2	2	20	12.5
G07	R2	2	21	10.5
G19	R2	2	22	12.2
G06	R2	2	23	8.7
G20	R2	2	24	7.9
G29	R2	2	25	17.6
G21	R2	2	26	7.3
G34	R2	2	27	16.4
G25	R2	2	28	7.9
G27	R2	2	29	14.2
G17	R2	2	30	16.5
G35	R2	2	31	4.8
G36	R2	2	32	8.4
G22	R2	2	33	18.9
G01	R2	2	34	5.2
G15	R2	2	35	21.3
G14	R2	2	36	8.8
G03	R3	3	1	4
G02	R3	3	2	16.3
G05	R3	3	3	6.9
G11	R3	3	4	6
G13	R3	3	5	15.6
G10	R3	3	6	15.3
G34	R3	3	7	18.7
G26	R3	3	8	5.7
G06	R3	3	9	12.2
G35	R3	3	10	3.4
G14	R3	3	11	11.5
G22	R3	3	12	11.6
G15	R3	3	13	12.4
G25	R3	3	14	4.8
G30	R3	3	15	11.3
G23	R3	3	16	17.4
G32	R3	3	17	14.3
G21	R3	3	18	9.5
G16	R3	3	19	11.9
G20	R3	3	20	3.6
G29	R3	3	21	28.3
G18	R3	3	22	11.9
G19	R3	3	23	16.3
G28	R3	3	24	10.8
G33	R3	3	25	9
G07	R3	3	26	12
G36	R3	3	27	7.6
G24	R3	3	28	14.2
G01	R3	3	29	7.7
G04	R3	3	30	15.2
G27	R3	3	31	5.7
G31	R3	3	32	17.2
G12	R3	3	33	5.1
G17	R3	3	34	18.4
G08	R3	3	35	4.6
G09	R3	3	36	7.5
