rep	row	col	gen	yield
R1	1	1	G20	3.77
R1	1	2	G04	3.21
R1	1	3	G33	4.55
R1	1	4	G28	4.09
R1	1	5	G07	5.05
R1	1	6	G12	4.19
R1	1	7	G30	3.27
R1	2	1	G10	3.44
R1	2	2	G14	4.3
R1	2	4	G21	3.86
R1	2	5	G31	3.26
R1	2	6	G06	4.3
R1	2	7	G18	3.72
R1	3	1	G22	3.49
R1	3	2	G11	4.2
R1	3	3	G19	4.77
R1	3	4	G26	2.56
R1	3	5	G29	2.87
R1	3	6	G15	1.93
R1	3	7	G23	2.26
R1	4	1	G24	3.62
R1	4	2	G25	4.52
R1	4	3	G05	4.23
R1	4	4	G32	3.76
R1	4	5	G02	3.61
R1	4	6	G27 3.62
R1	4	7	G08	4.01
R1	5	1	G17	3.81
R1	5	2	G09	3.75
R1	5	3	G03	4.81
R1	5	4	G34	3.69
R1	5	5	G13	4.61
R1	5	6	G35	2.68
R1	5	7	G01	4.15
R2	1	1	G31	4.7
R2	1	2	G19	7.37
R2	1	3	G25	5.03
R2	1	4	G34	5.33
R2	1	5	G20	5.73
R2	1	6	G08	4.7
R2	1	7	G06	5.63
R2	2	1	G24	4.07
R2	2	2	G21	5.66
R2	2	3	G12	4.98
R2	2	4	G04	4.04
R2	2	5	G23	4.27
R2	2	6	G13	4.1
R2	2	7	G03	4.75
R2	3	1	G11	5.66
R2	3	2	G07	6.43
R2	3	3	G26	4.59
R2	3	4	G05	5.2
R2	3	5	G35	4.83
R2	3	6	G10	4.7
R2	3	7	G30	4.23
R2	4	1	G33	5.71
R2	4	2	G09	6.13
R2	4	3	G17	4.63
R2	4	4	G18	5.48
R2	4	5	G32	5.47
R2	4	7	G02	4.16
R2	5	1	G01	5.22
R2	5	2	G27	6.16
R2	5	3	G16	4.2
R2	5	4	G29	4.66
R2	5	5	G14	5.54
R2	5	6	G28	3.81
R2	5	7	G22	3.6
