rep	row	col	gen	yield
R1	1	1	G01	1003
R1	1	2	G02	1356
R1	1	3	G04	1412
R1	1	4	G03	1239
R1	1	5	G05	1508
R2	1	6	G19	1967
R2	1	7	G23	1572
R2	1	8	G02	1969
R2	1	9	G06	1747
R2	1	10	G15	1598
R3	1	11	G18	1630
R3	1	12	G25	1633
R3	1	13	G09	1255
R3	1	14	G11	1277
R3	1	15	G02	1572
R1	2	1	G06	1531
R1	2	2	G07	1540
R1	2	3	G09	1250
R1	2	4	G08	1658
R1	2	5	G10	1185
R2	2	6	G08	1605
R2	2	7	G12	1550
R2	2	8	G16	1500
R2	2	9	G25	1642
R2	2	10	G04	1504
R3	2	11	G05	1680
R3	2	12	G07	1526
R3	2	13	G16	1452
R3	2	14	G23	1480
R3	2	15	G14	1482
R1	3	1	G21	1126
R1	3	2	G22	1400
R1	3	3	G24	1329
R1	3	4	G23	1287
R1	3	5	G25	1555
R2	3	6	G11	1395
R2	3	7	G20	1696
R2	3	8	G24	1570
R2	3	9	G03	1404
R2	3	10	G07	1285
R3	3	11	G06	1473
R3	3	12	G13	1761
R3	3	13	G22	1695
R3	3	14	G04	1364
R3	3	15	G20	1790
R1	4	1	G11	1261
R1	4	2	G12	1423
R1	4	3	G14	1110
R1	4	4	G13	1735
R1	4	5	G15	1617
R2	4	6	G22	1820
R2	4	7	G01	1351
R2	4	8	G10	1297
R2	4	9	G14	1412
R2	4	10	G18	1506
R3	4	11	G24	1512
R3	4	12	G01	1355
R3	4	13	G15	1524
R3	4	14	G17	1478
R3	4	15	G08	1371
R1	5	1	G16	1458
R1	5	2	G17	2036
R1	5	3	G19	2119
R1	5	4	G18	1912
R1	5	5	G20	1893
R2	5	6	G05	1748
R2	5	7	G09	1450
R2	5	8	G13	1740
R2	5	9	G17	1450
R2	5	10	G21	1523
R3	5	11	G12	1364
R3	5	12	G19	1690
R3	5	13	G03	1334
R3	5	14	G10	1239
R3	5	15	G21	1557
R4	6	1	G03	1623
R4	6	2	G18	1862
R4	6	3	G08	1645
R4	6	4	G13	1888
R4	6	5	G23	1527
R5	6	6	G16	1606
R5	6	7	G24	1842
R5	6	8	G10	1186
R5	6	9	G13	1462
R5	6	10	G02	1242
R6	6	11	G10	1082
R6	6	12	G04	1304
R6	6	13	G17	1267
R6	6	14	G11	1266
R6	6	15	G23	1200
R4	7	1	G01	1331
R4	7	2	G16	1417
R4	7	3	G06	1611
R4	7	4	G11	1454
R4	7	5	G21	1790
R5	7	6	G12	1767
R5	7	7	G20	1917
R5	7	8	G01	1264
R5	7	9	G09	1060
R5	7	10	G23	951
R6	7	11	G12	1130
R6	7	12	G06	1266
R6	7	13	G24	1289
R6	7	14	G18	1260
R6	7	15	G05	1174
R4	8	1	G05	1211
R4	8	2	G20	1411
R4	8	3	G10	1183
R4	8	4	G15	1550
R4	8	5	G25	1660
R5	8	6	G04	1526
R5	8	7	G07	1681
R5	8	8	G18	1545
R5	8	9	G21	1290
R5	8	10	G15	976
R6	8	11	G19	1240
R6	8	12	G13	1181
R6	8	13	G01	917
R6	8	14	G25	1287
R6	8	15	G07	975
R4	9	1	G02	1388
R4	9	2	G17	1453
R4	9	3	G07	1384
R4	9	4	G12	1669
R4	9	5	G22	1738
R5	9	6	G25	1845
R5	9	7	G03	1700
R5	9	8	G14	1528
R5	9	9	G17	1373
R5	9	10	G06	1240
R6	9	11	G21	1252
R6	9	12	G20	1591
R6	9	13	G08	1428
R6	9	14	G02	1509
R6	9	15	G14	1273
R4	10	1	G04	1443
R4	10	2	G19	1667
R4	10	3	G09	1549
R4	10	4	G14	1459
R4	10	5	G24	1722
R5	10	6	G08	1583
R5	10	7	G11	1490
R5	10	8	G22	1607
R5	10	9	G05	1315
R5	10	10	G19	1174
R6	10	11	G03	1443
R6	10	12	G22	1649
R6	10	13	G15	1407
R6	10	14	G09	1315
R6	10	15	G16	1318
