"field"	"row"	"col"	"yield"
"F1"	1	1	116
"F1"	2	1	114
"F1"	3	1	112
"F1"	4	1	112
"F1"	5	1	110
"F1"	6	1	110
"F1"	7	1	110
"F1"	8	1	116
"F1"	9	1	96
"F1"	10	1	88
"F1"	11	1	104
"F1"	12	1	102
"F1"	13	1	92
"F1"	14	1	94
"F1"	15	1	92
"F1"	16	1	86
"F1"	17	1	100
"F1"	18	1	100
"F1"	1	2	86
"F1"	2	2	86
"F1"	3	2	90
"F1"	4	2	78
"F1"	5	2	88
"F1"	6	2	82
"F1"	7	2	96
"F1"	8	2	84
"F1"	9	2	74
"F1"	10	2	72
"F1"	11	2	68
"F1"	12	2	64
"F1"	13	2	80
"F1"	14	2	90
"F1"	15	2	90
"F1"	16	2	92
"F1"	17	2	88
"F1"	18	2	94
"F1"	1	3	106
"F1"	2	3	84
"F1"	3	3	80
"F1"	4	3	88
"F1"	5	3	90
"F1"	6	3	94
"F1"	7	3	100
"F1"	8	3	70
"F1"	9	3	84
"F1"	10	3	92
"F1"	11	3	78
"F1"	12	3	86
"F1"	13	3	106
"F1"	14	3	106
"F1"	15	3	90
"F1"	16	3	98
"F1"	17	3	80
"F1"	18	3	78
"F1"	1	4	98
"F1"	2	4	102
"F1"	3	4	92
"F1"	4	4	100
"F1"	5	4	84
"F1"	6	4	84
"F1"	7	4	106
"F1"	8	4	82
"F1"	9	4	94
"F1"	10	4	108
"F1"	11	4	100
"F1"	12	4	104
"F1"	13	4	110
"F1"	14	4	74
"F1"	15	4	64
"F1"	16	4	66
"F1"	17	4	98
"F1"	18	4	78
"F1"	1	5	112
"F1"	2	5	100
"F1"	3	5	100
"F1"	4	5	84
"F1"	5	5	86
"F1"	6	5	98
"F1"	7	5	108
"F1"	8	5	94
"F1"	9	5	94
"F1"	10	5	100
"F1"	11	5	100
"F1"	12	5	82
"F1"	13	5	108
"F1"	14	5	96
"F1"	15	5	76
"F1"	16	5	80
"F1"	17	5	104
"F1"	18	5	106
"F1"	1	6	78
"F1"	2	6	100
"F1"	3	6	84
"F1"	4	6	94
"F1"	5	6	82
"F1"	6	6	110
"F1"	7	6	100
