"row"	"col"	"yield"
1	1	7
2	1	7.5
3	1	7.25
4	1	6.5
5	1	5.5
6	1	6
7	1	7.75
8	1	5.75
9	1	5.25
10	1	6
11	1	6.25
12	1	6.25
13	1	5.5
14	1	6
15	1	6.5
16	1	6.5
17	1	5.25
18	1	7
19	1	6.5
20	1	6
21	1	7.5
22	1	5
23	1	6
24	1	7.25
25	1	4.75
26	1	7.5
27	1	6
28	1	6
29	1	4.5
30	1	4.25
31	1	5
32	1	5.75
33	1	6
34	1	4
35	1	5.5
36	1	6
1	2	7.75
2	2	10.25
3	2	9.25
4	2	8.25
5	2	6.5
6	2	7.75
7	2	6.5
8	2	7.5
9	2	5.25
10	2	5.5
11	2	5
12	2	6
13	2	6.25
14	2	5.25
15	2	6
16	2	6.5
17	2	6.75
18	2	5.75
19	2	7.5
20	2	6
21	2	8
22	2	5.5
23	2	6.5
24	2	6.5
25	2	7
26	2	7
27	2	5.5
28	2	5.5
29	2	5.25
30	2	6.5
31	2	7.25
32	2	5.75
33	2	7
34	2	5
35	2	6.5
36	2	7.75
1	3	5
2	3	7.75
3	3	7.25
4	3	6
5	3	6.25
6	3	6
7	3	5.5
8	3	5.25
9	3	4.5
10	3	4.25
11	3	5.5
12	3	5.5
13	3	5.5
14	3	5
15	3	5.25
16	3	5.5
17	3	5.5
18	3	4.75
19	3	4.75
20	3	5
21	3	6.5
22	3	5
23	3	4.25
24	3	6.75
25	3	5.75
26	3	7
27	3	5.5
28	3	5.75
29	3	5.5
30	3	5.75
31	3	5.5
32	3	5.5
33	3	6
34	3	5
35	3	6
36	3	6.25
1	4	6
2	4	9
3	4	9.5
4	4	7
5	4	7
6	4	8.5
7	4	8
8	4	6
9	4	4.75
10	4	5.75
11	4	5.75
12	4	4.5
13	4	5.75
14	4	5.75
15	4	5.75
16	4	5
17	4	6.25
18	4	5.75
19	4	6.5
20	4	7
21	4	7.5
22	4	4.25
23	4	6.5
24	4	6.5
25	4	6.25
26	4	7
27	4	6.5
28	4	8
29	4	7
30	4	6
31	4	6
32	4	8
33	4	6.75
34	4	5
35	4	7.5
36	4	6.5
1	5	7
2	5	8
3	5	9
4	5	7.5
5	5	7.5
6	5	6
7	5	7
8	5	6.75
9	5	5
10	5	5.25
11	5	6.5
12	5	7.5
13	5	6
14	5	5
15	5	6.25
16	5	6.25
17	5	6
18	5	6.5
19	5	6
20	5	7
21	5	7.25
22	5	5
23	5	6.25
24	5	7.5
25	5	6.5
26	5	6.75
27	5	7.5
28	5	5.75
29	5	6
30	5	5.5
31	5	5
32	5	6
33	5	6.25
34	5	6.5
35	5	5.75
36	5	6
1	6	7.5
2	6	8
3	6	6.5
4	6	6.25
5	6	6.25
6	6	6.25
7	6	6.5
8	6	5
9	6	5
10	6	5.25
11	6	6.5
12	6	4.5
13	6	5.5
14	6	6.75
15	6	5.25
16	6	6
17	6	5.75
18	6	6
19	6	5.75
20	6	6
21	6	9.75
22	6	5
23	6	6.25
24	6	7
25	6	5.5
26	6	5.75
27	6	6.5
28	6	7.5
29	6	6
30	6	5.5
31	6	5.25
32	6	6.5
33	6	7
34	6	5.25
35	6	5.75
36	6	7
1	7	5.25
2	7	10
3	7	9
4	7	6.5
5	7	10
6	7	8
7	7	10.25
8	7	7
9	7	6.5
10	7	6.75
11	7	6.25
12	7	6
13	7	7
14	7	6.75
15	7	7.5
16	7	7
17	7	6
18	7	6
19	7	7
20	7	7.5
21	7	8.5
22	7	6.5
23	7	7
24	7	6.5
25	7	9
26	7	7.25
27	7	6.5
28	7	6.5
29	7	6
30	7	6
31	7	6.75
32	7	7.5
33	7	7.5
34	7	4.5
35	7	7.25
36	7	7
1	8	7
2	8	8
3	8	6.75
4	8	7.5
5	8	6.5
6	8	8
7	8	6.75
8	8	8
9	8	6.25
10	8	5.5
11	8	7.25
12	8	5.25
13	8	5
14	8	5.75
15	8	5.5
16	8	5.25
17	8	7.25
18	8	5.25
19	8	6
20	8	6.5
21	8	6.25
22	8	5
23	8	4.5
24	8	5
25	8	6.25
26	8	5.5
27	8	6.25
28	8	6.5
29	8	4.5
30	8	5.5
31	8	7.5
32	8	7.25
33	8	6.5
34	8	4.75
35	8	6
36	8	8
1	9	5.5
2	9	6.5
3	9	6.25
4	9	6.5
5	9	6.5
6	9	7.5
7	9	8.5
8	9	8
9	9	6.25
10	9	5.5
11	9	6.5
12	9	5.5
13	9	7
14	9	5.5
15	9	6.5
16	9	6
17	9	7
18	9	6.5
19	9	6
20	9	6
21	9	5.5
22	9	4.5
23	9	6
24	9	7
25	9	6
26	9	6
27	9	5.5
28	9	5.5
29	9	6
30	9	7.5
31	9	8
32	9	6.75
33	9	6.5
34	9	6
35	9	6
36	9	6
1	10	7
2	10	9
3	10	8
4	10	7.75
5	10	8.5
6	10	7.5
7	10	8
8	10	8.5
9	10	7
10	10	8.25
11	10	10
12	10	5.75
13	10	6.75
14	10	6
15	10	6.75
16	10	6.5
17	10	6.25
18	10	5
19	10	7.5
20	10	6.5
21	10	10
22	10	6
23	10	8
24	10	8.75
25	10	8.25
26	10	8.75
27	10	7.5
28	10	7.75
29	10	7.75
30	10	7.5
31	10	7.75
32	10	8.25
33	10	8
34	10	6
35	10	5.75
36	10	7
1	11	6.5
2	11	6
3	11	7.5
4	11	5
5	11	7.5
6	11	7.75
7	11	7.75
8	11	6.75
9	11	7.25
10	11	5.75
11	11	7
