"row"	"col"	"yield"
1	1	75.5
2	1	84.8
3	1	86.3
4	1	84.4
5	1	84.8
6	1	85.3
7	1	81.6
8	1	84.8
9	1	80.2
10	1	79.7
11	1	79.2
12	1	83
13	1	80.2
14	1	86.3
15	1	81.1
16	1	77.8
17	1	75.5
18	1	68.4
19	1	78.8
20	1	80.6
21	1	82.5
22	1	85.3
23	1	78.8
24	1	80.2
25	1	78.8
26	1	85.8
27	1	64.7
28	1	88.1
29	1	76.9
30	1	83.4
31	1	80.6
32	1	79.7
33	1	83.4
34	1	81.1
35	1	82.5
36	1	80.2
37	1	79.7
38	1	81.6
39	1	83.4
40	1	78.8
41	1	86.7
42	1	82.5
43	1	85.8
44	1	78.8
45	1	79.7
46	1	69.4
47	1	78.8
48	1	83
49	1	79.7
50	1	82.5
51	1	85.3
52	1	83.9
53	1	83.4
54	1	81.6
55	1	75
56	1	75
57	1	83.4
58	1	85.3
59	1	76.4
60	1	69.4
61	1	81.6
62	1	78.3
63	1	79.7
64	1	80.6
65	1	79.2
66	1	76.9
67	1	76.9
68	1	83
69	1	73.6
1	2	87.2
2	2	81.9
3	2	84.8
4	2	84.4
5	2	87.2
6	2	82
7	2	85.3
8	2	82
9	2	77.3
10	2	79.8
11	2	80.2
12	2	82.2
13	2	64.7
14	2	70.8
15	2	79.2
16	2	77.8
17	2	75.5
18	2	88.1
19	2	87.7
20	2	88.6
21	2	81.6
22	2	85.3
23	2	82
24	2	75
25	2	75.9
26	2	89.1
27	2	84.4
28	2	86.3
29	2	88.1
30	2	79.2
31	2	80.6
32	2	86.7
33	2	81.6
34	2	82
35	2	81.6
36	2	89.5
37	2	75.9
38	2	71.3
39	2	73.6
40	2	83
41	2	68.9
42	2	73.6
43	2	84.4
44	2	76.9
45	2	82
46	2	71.7
47	2	72.7
48	2	74.5
49	2	73.1
50	2	71.3
51	2	67
52	2	67
53	2	80.2
54	2	70.3
55	2	77.3
56	2	73.6
57	2	81.1
58	2	73.6
59	2	75
60	2	78.8
61	2	79.2
62	2	81.1
63	2	92.8
64	2	79.2
65	2	84.8
66	2	82.5
67	2	88.1
68	2	85.3
69	2	78.8
1	3	81.6
2	3	83
3	3	83.9
4	3	75.5
5	3	77.3
6	3	76.9
7	3	76.9
8	3	82
9	3	75
10	3	75.5
11	3	75.5
12	3	74.1
13	3	69.8
14	3	71.7
15	3	77.8
16	3	75.9
17	3	72.7
18	3	73.1
19	3	75
20	3	78.8
21	3	76.9
22	3	72.7
23	3	75.9
24	3	75.9
25	3	80.6
26	3	78.8
27	3	75.9
28	3	75.5
29	3	71.3
30	3	72.2
31	3	72.7
32	3	72.2
33	3	77.3
34	3	78.3
35	3	78.8
36	3	75.9
37	3	78.8
38	3	80.6
39	3	70.8
40	3	72.7
41	3	78.3
42	3	77.3
43	3	81.6
44	3	74.1
45	3	75.5
46	3	72.7
47	3	82
48	3	65.6
49	3	71.3
50	3	64.7
51	3	70.3
52	3	68.4
53	3	75.9
54	3	79.2
55	3	69.4
56	3	73.1
57	3	67
58	3	82.5
59	3	71.3
60	3	71.3
61	3	56.7
62	3	57.7
63	3	63.8
64	3	66.6
65	3	70.3
66	3	68.4
67	3	79.8
68	3	78.8
69	3	75
