"plot"	"gen"	"name"	"block"	"tsw"	"row"	"col"
101	"G08"	"31"	"B1"	9.25	1	1
102	"G45"	"126"	"B1"	9.43	1	2
103	"G90"	"MF183"	"B1"	10.3	1	3
104	"G09"	"34"	"B1"	9.02	1	4
105	"G27"	"89"	"B1"	10.97	1	5
106	"G28"	"90"	"B1"	10.52	1	6
107	"G89"	"Ross"	"B1"	9.86	1	7
108	"G42"	"121"	"B1"	10.56	1	8
109	"G18"	"68"	"B1"	10.39	1	9
110	"G14"	"57"	"B1"	10.97	1	10
111	"G41"	"118"	"B1"	10.32	1	11
112	"G91"	"Starlight"	"B1"	10.44	1	12
113	"G31"	"96"	"B2"	11.58	2	12
114	"G03"	"15"	"B2"	9.95	2	11
115	"G90"	"MF183"	"B2"	9.24	2	10
116	"G36"	"105"	"B2"	10.27	2	9
117	"G44"	"125"	"B2"	9.34	2	8
118	"G30"	"95"	"B2"	11.01	2	7
119	"G05"	"27"	"B2"	10.05	2	6
120	"G13"	"47"	"B2"	9.84	2	5
121	"G07"	"30"	"B2"	8.81	2	4
122	"G91"	"Starlight"	"B2"	9.4	2	3
123	"G11"	"39"	"B2"	10.98	2	2
124	"G89"	"Ross"	"B2"	9.18	2	1
125	"G24"	"77"	"B3"	10.35	3	1
126	"G34"	"102"	"B3"	11.01	3	2
127	"G50"	"149"	"B3"	9.39	3	3
128	"G49"	"143"	"B3"	9.3	3	4
129	"G04"	"23"	"B3"	10.31	3	5
130	"G89"	"Ross"	"B3"	10.32	3	6
131	"G20"	"71"	"B3"	10.86	3	7
132	"G02"	"12"	"B3"	9.86	3	8
133	"G35"	"104"	"B3"	8.29	3	9
134	"G19"	"70"	"B3"	10.54	3	10
135	"G90"	"MF183"	"B3"	10.27	3	11
136	"G91"	"Starlight"	"B3"	10.5	3	12
137	"G47"	"135"	"B4"	11.15	4	12
138	"G32"	"100"	"B4"	9.63	4	11
139	"G16"	"61"	"B4"	10.35	4	10
140	"G22"	"74"	"B4"	10.4	4	9
141	"G89"	"Ross"	"B4"	10.06	4	8
142	"G48"	"141"	"B4"	9.91	4	7
143	"G40"	"113"	"B4"	10.88	4	6
144	"G90"	"MF183"	"B4"	10.02	4	5
145	"G15"	"58"	"B4"	9.84	4	4
146	"G23"	"75"	"B4"	11.34	4	3
147	"G01"	"9"	"B4"	10.72	4	2
148	"G91"	"Starlight"	"B4"	10.61	4	1
149	"G06"	"28"	"B5"	9.6	5	1
150	"G12"	"44"	"B5"	10.53	5	2
151	"G89"	"Ross"	"B5"	9.48	5	3
152	"G43"	"123"	"B5"	10.27	5	4
153	"G39"	"111"	"B5"	10.85	5	5
154	"G29"	"92"	"B5"	10.64	5	6
155	"G38"	"110"	"B5"	10.76	5	7
156	"G37"	"109"	"B5"	10.73	5	8
157	"G91"	"Starlight"	"B5"	9.92	5	9
158	"G10"	"35"	"B5"	10.05	5	10
159	"G21"	"72"	"B5"	10.29	5	11
160	"G90"	"MF183"	"B5"	10.4	5	12
161	"G91"	"Starlight"	"B6"	10.15	6	12
162	"G89"	"Ross"	"B6"	10.44	6	11
163	"G25"	"85"	"B6"	10.85	6	10
164	"G46"	"132"	"B6"	9.52	6	9
165	"G90"	"MF183"	"B6"	10.14	6	8
166	"G26"	"87"	"B6"	10.73	6	7
167	"G33"	"101"	"B6"	9.24	6	6
168	"G17"	"66"	"B6"	8.79	6	5
