"gen"	"year"	"date"	"raindays"	"rain"	"temp"	"parentseed"	"roots"	"leaves"	"stem"	"tassel"	"grain"	"plantweight"	"plantheight"	"leafcount"	"leafarea"
"Huhner"	1875	"11 May 1875"	NA	NA	NA	0.127	NA	NA	NA	NA	NA	0.127	NA	NA	NA
"Huhner"	1875	"1 Jun 1875"	6	6.7	14	0.015	0.036	NA	NA	NA	NA	0.149	13.3	4	28.9
"Huhner"	1875	"8 Jun 1875"	0	0.02	19.25	0.013	0.101	NA	NA	NA	NA	0.476	23	6	86.3
"Huhner"	1875	"15 Jun 1875"	5	3.27	17.12	0.014	0.142	NA	NA	NA	NA	0.824	31.3	8	153
"Huhner"	1875	"23 Jun 1875"	6	4.13	16.62	0.012	0.277	NA	NA	NA	NA	1.765	44.5	9	371
"Huhner"	1875	"30 Jun 1875"	5	27.02	17	0.006	0.296	NA	NA	NA	NA	2.847	58.3	10	627
"Huhner"	1875	"7 Jul 1875"	6	39.11	19.88	NA	0.404	NA	NA	NA	NA	7.292	79.2	12	895
"Huhner"	1875	"13 Jul 1875"	4	7.83	18.12	NA	0.364	NA	NA	NA	NA	11.57	91.6	15	749
"Huhner"	1875	"21 Jul 1875"	6	52.21	18.76	NA	0.912	NA	NA	NA	NA	21.576	111.1	15	1416
"Huhner"	1875	"27 Jul 1875"	3	2.9	17.62	NA	1.397	12.46	26.88	NA	NA	40.735	120	24	2126
"Huhner"	1875	"3 Aug 1875"	2	2.36	16.88	NA	1.729	11.77	42.42	NA	NA	55.918	127.5	25	1917
"Huhner"	1875	"10 Aug 1875"	4	17.26	19.12	NA	1.761	11.54	41.6	NA	5.75	60.648	130.8	22	2196
"Huhner"	1875	"17 Aug 1875"	2	4.02	21.5	NA	1.886	11.61	46.52	NA	13.93	73.946	136.5	19	2154
"Huhner"	1875	"24 Aug 1875"	1	0.59	19.75	NA	1.203	13.21	52.78	NA	23.29	90.491	135	20	2090
"Huhner"	1875	"31 Aug 1875"	4	9.65	19	NA	1.517	12.71	44.57	NA	29.42	88.212	129.5	18	2032
"Huhner"	1875	"7 Sep 1875"	4	10.42	16.12	NA	0.951	11.53	33.97	NA	35.17	81.618	128.5	14	1367
"Huhner"	1875	"15 Sep 1875"	1	3.97	17.5	NA	1.045	11.06	24.44	NA	39.84	76.385	120	13	665
"Oberlander"	1875	"11 May 1875"	NA	NA	NA	0.107	NA	NA	NA	NA	NA	0.107	NA	NA	NA
"Oberlander"	1875	"1 Jun 1875"	6	6.7	14	0.012	0.048	NA	NA	NA	NA	0.162	13.5	4	31
"Oberlander"	1875	"8 Jun 1875"	0	0.02	19.25	0.012	0.099	NA	NA	NA	NA	0.467	25.8	6	96.7
"Oberlander"	1875	"15 Jun 1875"	5	3.27	17.12	0.013	0.133	NA	NA	NA	NA	0.955	30	8	165.3
"Oberlander"	1875	"23 Jun 1875"	6	4.13	16.62	0.01	0.246	NA	NA	NA	NA	1.839	46.3	9	374.1
