"row"	"col"	"yield"
1	1	176
2	1	161
3	1	176
4	1	165
1	2	167
2	2	151
3	2	169
4	2	160
5	2	163
6	2	213
7	2	180
8	2	220
9	2	210
10	2	206
1	3	170
2	3	147
3	3	168
4	3	156
5	3	146
6	3	171
7	3	174
8	3	203
9	3	173
10	3	179
11	3	187
1	4	161
2	4	147
3	4	163
4	4	149
5	4	151
6	4	176
7	4	152
8	4	171
9	4	168
10	4	172
11	4	184
1	5	158
2	5	153
3	5	165
4	5	150
5	5	148
6	5	163
7	5	153
8	5	164
9	5	159
10	5	158
11	5	176
1	6	159
2	6	156
3	6	158
4	6	142
5	6	150
6	6	165
7	6	144
8	6	154
9	6	171
10	6	168
11	6	172
1	7	148
2	7	155
3	7	159
4	7	148
5	7	176
6	7	163
7	7	157
8	7	160
9	7	154
10	7	160
11	7	195
1	8	159
2	8	155
3	8	162
4	8	145
5	8	166
6	8	158
7	8	147
8	8	158
9	8	163
10	8	169
11	8	178
1	9	153
2	9	163
3	9	160
4	9	147
5	9	165
6	9	158
7	9	155
8	9	155
9	9	151
10	9	166
11	9	176
1	10	162
2	10	171
3	10	164
4	10	148
5	10	161
6	10	150
7	10	160
8	10	155
9	10	166
10	10	173
11	10	185
1	11	170
2	11	186
3	11	174
4	11	163
5	11	168
6	11	170
7	11	154
8	11	155
9	11	156
10	11	186
11	11	180
1	12	172
2	12	179
3	12	178
4	12	149
5	12	173
6	12	164
7	12	162
8	12	164
9	12	170
10	12	187
11	12	183
1	13	183
2	13	178
3	13	179
4	13	154
5	13	182
6	13	171
7	13	166
8	13	177
9	13	160
10	13	200
11	13	192
1	14	188
2	14	186
3	14	189
4	14	159
5	14	184
6	14	173
7	14	165
8	14	180
9	14	176
10	14	202
11	14	198
1	15	193
2	15	177
3	15	200
4	15	170
5	15	195
6	15	191
7	15	188
8	15	189
9	15	175
10	15	200
11	15	198
1	16	195
2	16	194
3	16	205
4	16	173
5	16	200
6	16	183
7	16	189
8	16	191
9	16	182
10	16	199
11	16	220
1	17	227
2	17	213
3	17	220
4	17	187
5	17	203
6	17	174
7	17	182
8	17	195
9	17	188
10	17	200
11	17	200
1	18	243
2	18	251
3	18	238
4	18	212
5	18	215
6	18	198
7	18	203
8	18	188
9	18	190
10	18	200
11	18	218
1	19	237
2	19	228
3	19	238
4	19	229
5	19	224
6	19	187
7	19	196
8	19	189
9	19	193
10	19	214
11	19	216
1	20	230
2	20	238
3	20	233
4	20	228
5	20	229
6	20	204
7	20	201
8	20	201
9	20	200
10	20	205
11	20	211
1	21	251
2	21	248
3	21	243
4	21	245
5	21	230
6	21	196
7	21	208
8	21	185
9	21	208
10	21	218
11	21	210
1	22	242
2	22	256
3	22	248
4	22	252
5	22	231
6	22	212
7	22	188
8	22	195
9	22	209
10	22	211
11	22	211
